N	4gram	Losev_Prob_4	KulturaY
1	д и т д	1	2
2	заключается в том что	1	2
3	и т д и	1	2
4	только в том чтобы	1	2
5	т д и т	1	2
6	мы имеем в виду	1	1
7	и с точки зрения	3	1
8	и вместе с тем	1	1
9	вовсе не только в	1	1
10	с этой точки зрения	1	1
11	и в то же	1	1
12	не говоря уже об	1	1
13	а вместе с тем	1	1
14	на известной ступени культурного	1	1
15	в том смысле что	1	1
16	в литературе и искусстве	1	1
17	о том что он	1	1
18	по крайней мере в	1	1
19	в этом смысле есть	1	1
20	ни в какой мере	4	1
21	заключается не в том	1	1
22	еще и потому что	1	1
23	это можно было бы	1	1
24	свидетельствует о том что	1	1
25	не что иное как	2	1
26	можно было бы сказать	1	1
27	известной ступени культурного развития	1	1
