N	3gram	Trubetskoy_1	KulturaY
1	в том что	3	10
2	с точки зрения	6	8
3	для того чтобы	5	8
4	в самом деле	1	7
5	с другой стороны	1	7
6	по крайней мере	5	6
7	тем не менее	3	5
8	во всяком случае	6	5
9	в этой области	1	4
10	не может быть	1	4
11	в то же	2	3
12	точно так же	3	3
13	что все эти	1	3
14	в конце концов	3	3
15	в этом отношении	2	3
16	в связи с	3	3
17	то же время	2	3
18	так же как	3	2
19	так или иначе	3	2
20	и потому что	2	2
21	а следовательно и	1	2
22	можно сказать что	2	2
23	широком смысле этого	1	2
24	этой точки зрения	2	2
25	на то что	2	2
26	в отличие от	1	2
27	в широком смысле	1	2
28	в нашем смысле	1	2
29	но все же	4	2
30	вместе с тем	8	2
31	то или иное	2	2
32	в соответствии с	1	2
33	в свою очередь	1	2
34	с этой точки	2	2
35	не только для	2	1
36	о том что	4	1
37	что оно имеет	1	1
38	должны признать что	2	1
39	с самого начала	2	1
40	не потому что	1	1
41	мы должны признать	2	1
42	с течением времени	3	1
43	приблизительно то же	1	1
44	потому что и	2	1
45	ясно что и	1	1
46	бы то ни	2	1
47	это однако не	1	1
48	только тогда когда	1	1
49	с одной стороны	7	1
50	точки зрения а	1	1
51	по сравнению с	2	1
52	в одном и	1	1
53	однако несмотря на	1	1
54	все те же	1	1
55	одни из этих	1	1
56	в первую очередь	1	1
57	не в том	1	1
58	и никогда не	1	1
59	главным образом через	1	1
60	может быть и	2	1
61	до сих пор	5	1
62	то ни было	2	1
63	к тому же	4	1
64	а именно само	1	1
65	влечет за собой	2	1
66	все это для	1	1
67	в этом последнем	1	1
68	но и для	2	1
69	тем или иным	1	1
70	и далее в	1	1
71	но с другой	1	1
72	главным образом в	3	1
73	ничего общего с	2	1
74	том или ином	1	1
75	может и не	1	1
76	одном и том	1	1
77	мы видели выше	1	1
78	в силу самой	1	1
79	состоит в том	1	1
80	в то время	1	1
81	и здесь не	1	1
82	а так как	3	1
83	не более как	1	1
84	в том или	1	1
85	и в этой	1	1
86	тех пор как	1	1
87	несмотря на все	1	1
88	решиться взглянуть на	1	1
89	сих пор еще	2	1
90	совершенно ясно что	1	1
91	но все это	2	1
92	в настоящее время	1	1
93	таким образом в	2	1
94	речь идет о	1	1
95	вследствие того что	1	1
96	из этих слов	1	1
97	таким образом при	1	1
98	чуть ли не	1	1
99	только то что	1	1
100	и том же	1	1
101	могут рассматриваться как	1	1
102	после того как	1	1
103	смысле этого слова	1	1
104	общего с теориями	1	1
105	с тех пор	2	1
106	в связь с	1	1
107	сами по себе	1	1
108	того момента как	1	1
109	не только от	1	1
110	с того момента	2	1
111	и некоторые другие	1	1
112	более и более	1	1
113	все более и	1	1
114	не имеет никакого	1	1
115	в данном случае	1	1
116	иметь в виду	1	1
117	оно превращается в	1	1
