1	может быть	15	17
2	и в	23	16
3	и пр	8	12
4	мы можем	1	9
5	в этом	18	9
6	таким образом	5	9
7	прежде всего	8	9
8	и только	1	9
9	и его	3	8
10	точки зрения	14	8
11	совершенно не	3	8
12	не может	9	8
13	и с	7	8
14	сказать что	4	7
15	с его	1	7
16	не только	20	7
17	для него	1	6
18	с точки	8	6
19	при этом	2	6
20	конечно не	2	6
21	и это	3	6
22	и к	1	6
23	самом деле	9	6
24	ни в	4	5
25	все эти	12	5
26	только для	2	5
27	что такое	3	5
28	в него	1	5
29	как бы	4	5
30	еще не	5	5
31	нуждается в	2	5
32	до сознания	1	5
33	в чем	1	5
34	отношение к	1	5
35	и их	1	4
36	все это	5	4
37	в нем	4	4
38	и все	2	4
39	но в	11	4
40	в этой	6	4
41	с ними	2	4
42	самого начала	1	4
43	отнюдь не	4	4
44	но и	7	4
45	на самом	2	4
46	только в	5	4
47	в его	5	4
48	и даже	2	4
49	и на	6	4
50	так и	4	4
51	с самого	1	4
52	и не	16	4
53	а потому	1	4
54	как мы	3	4
55	можно сказать	4	4
56	хотя бы	9	4
57	с ее	1	4
58	так как	15	4
59	могут быть	4	3
60	на язык	1	3
61	по крайней	6	3
62	как это	5	3
63	по сравнению	2	3
64	и есть	2	3
65	вместе с	5	3
66	но оно	2	3
67	во всяком	5	3
68	и потому	2	3
69	только как	2	3
70	том что	11	3
71	на этой	4	3
72	что в	10	3
73	едва ли	1	3
74	и др	1	3
75	их в	1	3
76	быть это	1	3
77	те же	3	3
78	то что	9	3
79	и как	1	3
80	между ними	1	3
81	тех же	2	3
82	в области	11	3
83	большинстве случаев	2	3
84	всяком случае	5	3
85	до сих	1	3
86	этом смысле	5	3
87	в том	19	3
88	а в	3	3
89	на этом	3	3
90	в большинстве	1	3
91	сравнению с	1	3
92	мы знаем	4	3
93	и вот	5	3
94	сих пор	1	3
95	пр и	1	3
96	никаких оснований	2	3
97	в конечном	2	3
98	крайней мере	6	3
99	в одном	1	3
100	в этих	1	3
101	в общем	1	3
102	отношения к	2	3
103	связанные с	2	2
104	связанных с	1	2
105	что оно	3	2
106	как не	3	2
107	что и	3	2
108	сводится к	3	2
109	не могут	5	2
110	на протяжении	1	2
111	не есть	1	2
112	переводе на	1	2
113	ту же	6	2
114	и вся	1	2
115	было бы	15	2
116	в область	1	2
117	нашу работу	1	2
118	но ведь	1	2
119	что это	7	2
120	меньше всего	1	2
121	для нас	4	2
122	в частности	2	2
123	но зато	2	2
124	и содержание	1	2
125	к этому	4	2
126	они не	1	2
127	и для	2	2
128	того же	3	2
129	один из	5	2
130	оно и	1	2
131	и о	4	2
132	понятия и	1	2
133	и по	3	2
134	он не	3	2
135	что мы	6	2
136	в свое	2	2
137	никогда не	2	2
138	по своему	1	2
139	что на	4	2
140	для этого	3	2
141	не нуждается	1	2
142	потому и	1	2
143	с этим	3	2
144	что он	5	2
145	нет никаких	1	2
146	в пределах	4	2
147	для меня	1	2
148	сознания и	2	2
149	мы уже	1	2
150	за счет	2	2
151	не менее	7	2
152	в своей	2	2
153	оно не	2	2
154	на них	1	2
155	как и	2	2
156	нет и	1	2
157	не будет	1	2
158	знаем что	3	2
159	и говорить	1	2
160	есть в	3	2
161	не знает	3	2
162	находится в	1	2
163	из этих	1	2
164	у него	3	2
165	так же	4	2
166	может иметь	1	2
167	только то	1	2
168	к ним	1	2
169	что не	6	2
170	же как	2	2
171	конечном счете	2	2
172	а на	2	2
