N	3gram	Savitsky_E_1	KulturaY
1	с точки зрения	16	16
2	для того чтобы	5	11
3	можно было бы	3	10
4	в том что	6	8
5	и т д	1	8
6	той или иной	4	5
7	с одной стороны	8	4
8	в том случае	1	4
9	только тогда когда	1	4
10	и в этом	4	4
11	в связи с	1	4
12	в данном случае	2	4
13	с другой стороны	2	3
14	не только в	4	3
15	сплошь и рядом	2	3
16	так и в	2	3
17	того или иного	4	3
18	не может быть	2	3
19	не говоря уже	2	2
20	и тот же	1	2
21	в том числе	1	2
22	один и тот	1	2
23	в известном смысле	3	2
24	в отличие от	1	2
25	более или менее	1	2
26	одного и того	1	2
27	не могут быть	1	2
28	говоря уже о	1	2
29	смысле этого слова	1	2
30	как мы видели	2	2
31	только в том	2	2
32	то или иное	1	2
33	в той или	3	2
34	и того же	1	2
35	к тому же	1	2
36	заключается в том	2	1
37	очевидно также что	1	1
38	в этом смысле	3	1
39	так же как	5	1
40	мы не можем	1	1
41	принимая во внимание	1	1
42	в одном из	2	1
43	в то же	15	1
44	в одной из	1	1
45	бы то ни	4	1
46	на этот вопрос	1	1
47	то мы увидим	1	1
48	тех случаях когда	1	1
49	мы увидим что	1	1
50	а также в	1	1
51	и в то	8	1
52	из того что	2	1
53	это имело место	1	1
54	с разных точек	1	1
55	для нас в	1	1
56	чуть ли не	1	1
57	поскольку дело идет	1	1
58	а тем более	2	1
59	он мог бы	1	1
60	а именно в	1	1
61	тех или иных	1	1
62	вовсе не в	1	1
63	может быть и	1	1
64	в противном случае	1	1
65	эти два условия	1	1
66	к тому что	1	1
67	не более чем	2	1
68	этот вопрос мы	1	1
69	хотя бы и	3	1
70	именно потому что	1	1
71	отнюдь не означает	1	1
72	можно рассматривать как	1	1
73	во всяком случае	3	1
74	с тем что	1	1
75	большем или меньшем	1	1
76	ответить на этот	1	1
77	следует прежде всего	1	1
78	в то время	1	1
79	такой же смысл	1	1
80	именно к этой	1	1
81	не может дать	1	1
82	в данной области	2	1
83	в том смысле	1	1
84	же смысл имеет	1	1
85	ту или иную	3	1
86	и в отношении	1	1
87	в пределах данной	1	1
88	в тех случаях	1	1
89	то же время	14	1
90	но также и	1	1
91	прежде всего в	2	1
92	как это имело	1	1
93	нужно помнить что	1	1
94	том смысле что	1	1
95	это потому что	1	1
96	выходит за пределы	1	1
97	но и в	1	1
98	или иной степени	1	1
99	тому или иному	2	1
100	друг от друга	2	1
101	также и в	1	1
102	в каком смысле	1	1
103	не будет уже	1	1
104	само по себе	4	1
105	что же касается	1	1
106	от того в	1	1
107	следует отметить что	1	1
108	в свою очередь	2	1
109	как и всякая	1	1
110	этой точки зрения	5	1
111	и прежде всего	3	1
112	слова т е	1	1
113	с этой точки	5	1
114	хотя и не	1	1
115	ни на минуту	1	1
