N	3gram	Tiupa_Anal_3	KulturaY
1	с точки зрения	2	16
2	в самом деле	1	11
3	для того чтобы	1	11
4	тем не менее	2	9
5	до сих пор	1	8
6	в том что	7	8
7	в зависимости от	1	7
8	той или иной	3	5
9	в этом случае	1	4
10	в данном случае	3	4
11	с одной стороны	2	4
12	в связи с	1	4
13	до тех пор	1	4
14	на самом деле	1	3
15	того или иного	1	3
16	сам по себе	1	3
17	было бы сказать	1	3
18	в том чтобы	1	3
19	не только в	1	3
20	а с другой	1	3
21	не только как	1	3
22	с другой стороны	5	3
23	не может быть	1	3
24	так и в	1	3
25	о том что	5	3
26	в той или	1	2
27	и того же	3	2
28	по отношению к	7	2
29	не говоря уже	1	2
30	один и тот	1	2
31	говоря уже о	1	2
32	в таком случае	1	2
33	в отличие от	2	2
34	при этом что	1	2
35	то у нас	1	2
36	в первом случае	1	2
37	и тот же	1	2
38	в известном смысле	1	2
39	не в том	1	2
40	не могут быть	1	2
41	лишь в том	1	2
42	одного и того	3	2
43	тем более что	1	2
44	сама по себе	2	2
45	дело не в	1	2
46	тот или иной	2	2
47	что и в	1	2
48	к тому же	3	2
49	в свое время	2	2
50	на этот вопрос	1	1
51	хотя и не	1	1
52	и той же	2	1
53	не более чем	2	1
54	предлогов союзов и	1	1
55	в этом смысле	1	1
56	что он не	1	1
57	по крайней мере	4	1
58	обратить внимание на	1	1
59	значении этого слова	1	1
60	не только не	3	1
61	и роман и	1	1
62	но и как	1	1
63	ту или иную	1	1
64	хотя бы и	1	1
65	заключается в том	1	1
66	не столько в	1	1
67	они как бы	1	1
68	по природе своей	1	1
69	по себе еще	1	1
70	уже по одному	1	1
71	а не с	1	1
72	а не как	1	1
73	тем или иным	2	1
74	во всяком случае	2	1
75	не должно быть	1	1
76	лишь в самом	1	1
77	в тех случаях	1	1
78	а в том	2	1
79	то же время	3	1
80	однако что и	1	1
81	в свою очередь	4	1
82	само по себе	1	1
83	в конечном счете	2	1
84	и прежде всего	2	1
85	имеет в своем	1	1
86	тех случаях когда	1	1
87	в то же	3	1
88	в рамках одного	1	1
89	в одном из	1	1
90	одной и той	2	1
91	друг от друга	1	1
92	себе еще не	1	1
93	именно потому что	1	1
