N	4gram	Vygotskiy__6	KulturaY
1	в зависимости от того	1	3
2	одного и того же	4	2
3	один и тот же	1	2
4	только в силу того	1	1
5	с точки зрения изучения	1	1
6	то же самое что	1	1
7	ясно что в первом	1	1
8	заключается в том что	5	1
9	одной и той же	3	1
10	в том смысле что	2	1
11	в силу того что	5	1
12	возможным только в силу	1	1
13	с этой точки зрения	1	1
14	и в зависимости от	1	1
15	как самостоятельная и независимая	1	1
16	в зависимости от той	1	1
17	не с точки зрения	1	1
18	после того как ему	1	1
19	в собственном смысле слова	1	1
20	и не может быть	1	1
21	становится возможным только в	1	1
22	в самом деле как	1	1
23	в то время когда	1	1
24	и не могут быть	1	1
25	когда мы говорим что	2	1
26	по отношению к таким	1	1
27	что в первом случае	1	1
28	в этом смысле можно	1	1
