1	с этой точки зрения	1	4
2	заключается в том что	1	4
3	собственном смысле этого слова	1	3
4	в какой мере не	2	2
5	одной и той же	1	2
6	отношения между словом и	1	2
7	то же самое что	1	2
8	той мере в какой	1	2
9	и вместе с тем	1	2
10	одним и тем же	2	2
11	ни в какой мере	2	2
12	в той мере в	1	2
13	только после того как	2	1
14	сделать некоторые существенные выводы	1	1
15	фразы с точки зрения	1	1
16	но если это так	1	1
17	до тех пор пока	4	1
18	в силу того что	1	1
19	нельзя было бы вообще	1	1
20	в самое последнее время	1	1
21	было бы вообще говорить	1	1
22	друг от друга в	1	1
23	то не удивительно что	1	1
24	и не может быть	1	1
25	но для того чтобы	1	1
