N	2gram	Bakhtin_fo_1	Literetu
1	не только	9	24
2	при этом	3	19
3	в качестве	3	17
4	но и	8	17
5	а не	3	16
6	в том	9	16
7	в частности	6	15
8	том что	4	14
9	может быть	11	13
10	и не	14	12
11	в этом	25	12
12	прежде всего	15	11
13	своего рода	1	11
14	в своем	4	11
15	то что	6	10
16	не в	5	8
17	в целом	2	8
18	только в	4	8
19	и в	50	8
20	в себе	3	7
21	как бы	2	7
22	я и	1	7
23	в его	13	7
24	уже не	2	7
25	я не	1	7
26	как и	8	6
27	связи с	6	6
28	в жизни	6	6
29	точки зрения	5	6
30	то есть	33	6
31	и я	1	6
32	того что	2	6
33	и сам	1	6
34	себя в	1	6
35	одним из	1	5
36	же время	9	5
37	не может	6	5
38	для себя	7	5
39	же в	3	5
40	то же	11	5
41	в отличие	2	5
42	отличие от	2	5
43	в то	9	5
44	не столько	1	5
45	с его	9	5
46	а также	2	5
47	как в	6	5
48	что он	1	5
49	уже в	2	5
50	в данном	2	5
51	все же	6	4
52	еще не	5	4
53	данном случае	1	4
54	в связи	5	4
55	так и	12	4
56	в чужом	1	4
57	по преимуществу	3	4
58	в конце	9	4
59	в своей	2	4
60	но не	5	4
61	культуры в	1	4
62	мир в	2	4
63	это не	6	4
64	никогда не	2	4
65	и его	16	4
66	лишь в	6	4
67	и т.п	4	4
68	друг друга	3	4
69	в этой	1	4
70	с собой	1	4
71	не как	2	4
72	в своих	1	4
73	как раз	13	4
74	из них	1	4
75	приводит к	1	3
76	самого себя	1	3
77	во всяком	3	3
78	тех же	2	3
79	жизни и	8	3
80	еще и	2	3
81	не было	7	3
82	таким образом	11	3
83	при всей	1	3
84	бы не	1	3
85	например в	6	3
86	и есть	1	3
87	а в	3	3
88	его в	3	3
89	по своей	1	3
90	что в	5	3
91	при всем	1	3
92	потому что	4	3
93	и даже	2	3
94	по отношению	3	3
95	и прежде	2	3
96	к себе	4	3
97	да и	3	3
98	один из	3	3
99	же и	2	3
100	в основе	5	3
101	в их	6	3
102	с их	2	3
103	и др	9	3
104	дело в	2	3
105	у него	6	3
106	том же	2	3
107	в самом	8	3
108	далеко не	2	3
109	также и	2	3
110	с другой	2	3
111	одно из	3	3
112	но в	10	3
113	всего в	1	3
114	той же	2	3
115	тем же	1	3
116	мира в	3	3
117	в пределах	5	3
118	в виду	3	3
119	одна из	2	3
120	все эти	9	2
121	все они	1	2
122	и того	6	2
123	в другом	1	2
124	на второй	1	2
125	так называемого	1	2
126	мир и	2	2
127	того же	8	2
128	на том	1	2
129	героя как	1	2
130	для своего	1	2
131	отношению к	5	2
132	не к	2	2
133	и является	2	2
134	для них	3	2
135	самим собой	2	2
136	человека и	11	2
137	здесь как	2	2
138	не оставляет	6	2
139	то он	1	2
140	в нем	24	2
141	хотя бы	2	2
142	дело не	1	2
143	та же	1	2
144	а только	2	2
145	жизни на	2	2
146	xx века	1	2
147	не обладает	1	2
148	в искусстве	1	2
149	и только	1	2
150	самим собою	3	2
151	вплоть до	1	2
152	для него	2	2
153	по этому	1	2
154	в себя	1	2
155	а как	3	2
156	из этих	1	2
157	то и	1	2
158	в мире	1	2
159	на почве	2	2
160	как он	2	2
161	что не	3	2
162	к тому	3	2
163	отнюдь не	5	2
164	не на	1	2
165	в сущности	3	2
166	не является	2	2
167	только на	3	2
168	тому же	2	2
169	всяком случае	1	2
170	тем что	2	2
171	не могло	5	2
172	ту же	2	2
173	на один	2	2
174	оставляет места	1	2
175	одной стороны	2	2
176	их не	1	2
177	всем и	1	2
178	своей собственной	3	2
179	могут быть	5	2
180	с одной	3	2
181	этом отношении	3	2
182	и само	1	2
183	роль в	9	2
184	для нее	1	2
185	нет ничего	4	2
186	с точки	2	2
187	но без	1	2
188	должен быть	1	2
189	жизни не	3	2
190	одну из	1	2
191	xviii века	3	2
192	и нет	2	2
193	так называемый	2	2
194	о том	1	2
195	могло быть	4	2
196	самом деле	1	2
197	тем более	1	2
198	все более	1	2
199	раз и	2	2
200	на себя	2	2
201	и то	4	2
202	было бы	2	2
203	это уже	1	2
204	из того	1	2
205	или иной	2	2
206	с чем	1	2
207	к своей	2	2
208	во втором	2	2
209	и позволяет	1	1
210	день и	1	1
211	основные моменты	1	1
212	в которой	2	1
213	из форм	1	1
214	собственной жизни	2	1
215	для всех	2	1
216	себя и	3	1
217	и внешнее	1	1
218	значительную роль	1	1
219	в словах	1	1
220	природу и	1	1
221	и здесь	1	1
222	в значительной	2	1
223	для изучения	1	1
224	не знает	3	1
225	с более	1	1
226	места в	2	1
227	для нас	2	1
228	последующее развитие	1	1
229	и вот	1	1
230	второй план	1	1
231	его на	2	1
232	ко мне	1	1
233	от всех	1	1
234	однако эти	1	1
235	конститутивным моментом	1	1
236	но дело	2	1
237	где бы	1	1
238	или в	3	1
239	проходит через	3	1
240	в литературе	16	1
241	развития человечества	1	1
242	в плане	1	1
243	и характеризуется	1	1
244	было и	4	1
245	или не	2	1
246	отличается от	1	1
247	становится лишь	1	1
248	в них	4	1
249	никто не	2	1
250	игра с	1	1
251	это время	7	1
