N	3gram	Nazirov_Tv_2	Literetu
1	в том что	2	11
2	в отличие от	2	5
3	то же время	7	5
4	в то же	7	5
5	на наш взгляд	2	5
6	в связи с	1	4
7	в конечном счете	1	4
8	русской классической литературы	1	3
9	в русской литературе	1	3
10	не сводится к	1	3
11	том же году	2	3
12	и прежде всего	1	3
13	в том же	2	3
14	дело в том	1	2
15	по отношению к	3	2
16	но при этом	1	2
17	во всяком случае	2	2
18	о том что	2	2
19	в другом месте	1	1
20	может быть назван	1	1
21	только потому что	1	1
22	как уже говорилось	1	1
23	у достоевского всегда	1	1
24	в соответствии с	4	1
25	решающую роль в	1	1
26	так и не	1	1
27	начале xix века	1	1
28	в одной из	2	1
29	в романе достоевского	5	1
30	и в литературе	1	1
31	в наше время	2	1
32	можно было бы	1	1
33	является все произведение	1	1
34	а во второй	1	1
35	по крайней мере	2	1
36	в этой связи	1	1
37	тем самым его	1	1
38	преступления и наказания	2	1
39	но в то	1	1
40	в самом деле	2	1
41	в xix веке	2	1
42	лишь в диалоге	1	1
43	в начале xix	1	1
44	и в этом	1	1
45	а с другой	1	1
46	что он сам	1	1
47	не в силах	2	1
48	в целом ряде	1	1
49	с другой стороны	2	1
50	не может быть	3	1
51	едва ли не	2	1
52	только то что	1	1
53	ничего общего с	1	1
54	в диалоге с	1	1
55	нет ничего кроме	1	1
56	в свою очередь	1	1
57	до сих пор	3	1
58	с самого начала	1	1
59	войне и мире	1	1
60	может и не	1	1
61	в том числе	1	1
62	это еще не	1	1
63	о ком другом	1	1
64	к тому же	1	1
