N	4gram	Tiupa_Anal_1	Literetu
1	в то же время	6	5
2	состоит в том что	3	4
3	в том же году	1	3
4	с этой точки зрения	1	3
5	только в том что	1	2
6	как совокупность факторов художественного	2	2
7	не только в том	1	2
8	дело не только в	1	2
9	совокупность факторов художественного впечатления	2	2
10	внутреннего я во внешнем	1	1
11	себя один в другом	1	1
12	в них дает им	1	1
13	целого а утверждают свое	1	1
14	и поэтапно изменяющуюся ментальность	1	1
15	творческих актов автора или	1	1
16	как единосущную пусть и	1	1
17	бытие на единой всеобщей	1	1
18	полагают себя один в	1	1
19	взяв формализм структурализм постструктурализм	1	1
20	покойного ивана петровича белкина	1	1
21	когда наконец в-третьих эта	1	1
22	актов автора или перцептивных	1	1
23	а раскрывая себя в	1	1
24	им полный простор в	1	1
25	интенциональные намерения творческих актов	1	1
26	друга а напротив взаимно	1	1
27	во-вторых они не исключают	1	1
28	не исключают целого а	1	1
29	в другом солидарны между	1	1
30	одного и того же	2	1
31	на единой всеобщей основе	1	1
32	какой бы то ни	2	1
33	ментальность мы вынуждены констатировать	1	1
34	собою когда во-вторых они	1	1
35	структурализм постструктурализм как единосущную	1	1
36	напротив взаимно полагают себя	1	1
37	плодом сверхиндивидуального и вневременного	1	1
38	и внутреннее есть глубочайшее	1	1
39	частное бытие на единой	1	1
40	всеобщей основе когда наконец	1	1
41	автора или перцептивных актов	1	1
42	полный простор в себе	1	1
43	до тех пор пока	1	1
44	субъекта объекта и адресата	1	1
45	другом солидарны между собою	1	1
46	присутствия внутреннего я во	1	1
47	внешнее и внутреннее есть	1	1
48	формализм структурализм постструктурализм как	1	1
49	к которой устремляются интенциональные	1	1
50	коммуникативного события особого рода	1	1
51	намерения творческих актов автора	1	1
52	самим собою без другого	1	1
53	границей к которой устремляются	1	1
54	в-третьих эта всеединая основа	1	1
55	в виду не только	1	1
56	единосущную пусть и поэтапно	1	1
57	не исключают друг друга	1	1
58	само бытие человека и	1	1
59	постструктурализм как единосущную пусть	1	1
60	пусть и поэтапно изменяющуюся	1	1
61	присутствия я в мире	1	1
62	из классических текстов русской	1	1
63	бы то ни было	3	1
64	подавляет и не поглощает	1	1
65	и внешнее и внутреннее	1	1
66	однако с точки зрения	1	1
67	них дает им полный	1	1
68	наконец в-третьих эта всеединая	1	1
69	в том что он	2	1
70	устремляются интенциональные намерения творческих	1	1
71	изменяющуюся ментальность мы вынуждены	1	1
72	свое частное бытие на	1	1
73	но в то же	2	1
74	единой всеобщей основе когда	1	1
75	я во внешнем мире	1	1
76	не поглощает частных элементов	1	1
77	солидарны между собою когда	1	1
78	дает им полный простор	1	1
79	раскрывая себя в них	1	1
80	сверхиндивидуального и вневременного творчества	1	1
81	на том или ином	1	1
82	мы вынуждены констатировать ее	1	1
83	утверждают свое частное бытие	1	1
84	взаимно полагают себя один	1	1
85	п тейяр де шарден	1	1
86	когда во-вторых они не	1	1
87	стать самим собою без	1	1
88	внутреннее есть глубочайшее общение	1	1
89	одного из классических текстов	1	1
90	основе когда наконец в-третьих	1	1
91	один в другом солидарны	1	1
92	бытие человека и внешнее	1	1
93	объекта и адресата эстетического	1	1
94	между собою когда во-вторых	1	1
95	частных элементов а раскрывая	1	1
96	которой устремляются интенциональные намерения	1	1
97	они не исключают целого	1	1
98	а утверждают свое частное	1	1
99	поэтапно изменяющуюся ментальность мы	1	1
100	не подавляет и не	1	1
101	поглощает частных элементов а	1	1
102	исключают целого а утверждают	1	1
103	а напротив взаимно полагают	1	1
104	не говоря уже о	1	1
105	друг друга а напротив	1	1
106	человека и внешнее и	1	1
107	и не поглощает частных	1	1
108	элементов а раскрывая себя	1	1
109	исключают друг друга а	1	1
110	себя в них дает	1	1
