1	и т	2	39
2	потому что	2	25
3	т п	2	24
4	и в	19	23
5	не только	8	20
6	в том	10	19
7	в этом	9	18
8	и не	11	16
9	было бы	2	15
10	может быть	17	15
11	ни к	1	15
12	так как	3	15
13	точки зрения	4	14
14	все эти	1	12
15	в самом	1	12
16	у нас	5	12
17	того чтобы	1	11
18	том что	7	11
19	в области	4	11
20	но в	2	11
21	а не	20	10
22	что в	4	10
23	в русском	2	10
24	в сущности	3	9
25	вовсе не	2	9
26	то что	7	9
27	можно было	1	9
28	не может	9	9
29	самом деле	1	9
30	для того	2	9
31	хотя бы	2	9
32	с точки	3	8
33	уже не	2	8
34	в качестве	5	8
35	и что	2	8
36	с другой	8	8
37	не в	4	8
38	прежде всего	4	8
39	что это	1	7
40	но и	10	7
41	и с	3	7
42	не менее	6	7
43	в нашем	2	7
44	другой стороны	4	7
45	все же	2	7
46	по крайней	2	6
47	о революции	1	6
48	то же	12	6
49	вопроса о	1	6
50	в этой	3	6
51	слово это	1	6
52	русский язык	1	6
53	ту же	2	6
54	но не	5	6
55	тем не	2	6
56	что не	2	6
57	и на	6	6
58	что мы	1	6
59	слова в	1	6
60	крайней мере	2	6
61	это не	1	6
62	не следует	1	5
63	должна быть	1	5
64	не могут	1	5
65	слова и	7	5
66	приводит к	1	5
67	я не	5	5
68	как это	2	5
69	вместе с	5	5
70	мы имеем	1	5
71	что он	3	5
72	речь в	2	5
73	и то	3	5
74	тот же	2	5
75	по существу	3	5
76	один из	4	5
77	еще не	2	5
78	в его	4	5
79	таким образом	1	5
80	что же	1	5
81	и вот	1	5
82	подобного рода	1	5
83	могут быть	2	4
84	для нас	2	4
85	ничего не	3	4
86	к этому	1	4
87	в разговоре	3	4
88	и о	1	4
89	в нем	3	4
90	в конце	2	4
91	не имеет	1	4
92	что на	1	4
93	но только	2	4
94	на себе	1	4
95	отнюдь не	4	4
96	в результате	2	4
97	со стороны	3	4
98	что я	2	4
99	однако не	1	4
100	на то	1	4
101	как бы	2	4
102	к тому	1	4
103	в данном	3	4
104	так же	1	4
105	в них	2	4
106	в особенности	1	4
107	не было	2	4
108	так и	7	4
109	в то	9	4
110	в пределах	1	4
111	можно сказать	1	4
112	своего рода	13	4
113	в статье	1	3
114	сводится к	1	3
115	различие между	1	3
116	же в	2	3
117	и его	3	3
118	этом отношении	3	3
119	никак не	1	3
120	здесь не	1	3
121	же время	9	3
122	того же	4	3
123	гораздо более	1	3
124	так в	5	3
125	живет и	1	3
126	ср также	1	3
127	уже в	2	3
128	и по	1	3
129	он не	5	3
130	уже о	2	3
131	всего в	1	3
132	конце концов	1	3
133	вот почему	1	3
134	что слово	1	3
135	не все	1	3
136	от слова	3	3
137	в соответствии	1	3
138	как мы	1	3
139	в ней	4	3
140	данный момент	1	3
141	тем что	4	3
142	именно в	1	3
143	в первый	2	3
144	политики в	1	3
145	языка в	1	3
146	к этой	2	3
147	есть в	1	3
148	а в	3	3
149	как раз	2	3
150	на этом	2	3
151	это и	1	3
152	не надо	2	3
153	что и	2	3
154	а также	2	3
155	связи с	1	3
156	в виду	2	3
157	до конца	2	3
158	не знает	2	3
159	на фоне	5	3
160	как в	1	3
161	казалось бы	1	3
162	всех этих	1	3
163	этой книге	1	3
164	но это	3	3
165	всего лишь	3	3
166	того что	5	3
167	то и	3	3
168	для этого	2	3
169	меньшей степени	1	3
170	у него	2	3
171	слова не	1	3
172	из которых	2	3
173	в сфере	4	3
174	от этого	1	2
175	для этой	1	2
176	свою очередь	1	2
177	в своих	2	2
178	тех пор	1	2
179	быть не	2	2
180	этой цели	1	2
181	того как	1	2
182	он и	2	2
183	за ними	1	2
184	свое время	2	2
185	говоря уже	2	2
186	в свою	1	2
187	есть наиболее	1	2
188	но зато	1	2
189	одного из	1	2
190	при этом	6	2
191	и до	2	2
192	ли не	4	2
193	в частности	4	2
194	и для	3	2
195	а если	2	2
196	и потому	1	2
197	только как	1	2
198	нам не	1	2
199	отличие от	1	2
200	с одной	7	2
201	и все	1	2
202	мы говорим	1	2
203	этом случае	2	2
204	никогда не	3	2
205	на том	1	2
206	с первого	1	2
207	тем самым	3	2
208	за собой	1	2
209	отношений в	1	2
210	не более	2	2
211	не слова	1	2
212	не говоря	2	2
213	очевидно что	2	2
214	здесь мы	1	2
215	соответствии с	2	2
216	состоит в	9	2
217	однако и	1	2
218	рядом с	1	2
219	но уже	2	2
220	данном случае	3	2
221	по преимуществу	2	2
222	как и	10	2
223	той же	2	2
224	даже и	2	2
225	в своей	1	2
226	еще и	1	2
227	а именно	3	2
228	в их	3	2
229	как у	1	2
230	этой точки	1	2
231	и даже	8	2
232	же как	2	2
233	конечном счете	5	2
234	думаю что	1	2
235	в глазах	3	2
236	после того	1	2
237	и вовсе	1	2
238	на самом	1	2
239	в отличие	1	2
240	был бы	2	2
241	тем же	3	2
242	мы с	3	2
243	революции и	1	2
244	с этой	2	2
245	в отношении	1	2
246	в году	5	2
247	и где	1	2
248	не всегда	1	2
249	это конечно	1	2
250	ответ на	1	2
251	себе не	2	2
252	в другом	3	2
253	в конечном	5	2
254	в свое	2	2
255	мы в	1	2
256	и от	1	2
257	и всякой	1	2
258	и еще	2	2
259	речь идет	3	2
260	всего что	1	2
261	все равно	2	2
262	в своем	1	2
263	мы видели	1	2
264	всякой иной	1	2
265	отношения к	1	2
266	не просто	1	2
267	но даже	1	2
268	с тем	2	2
269	для него	4	1
270	и др	3	1
271	и вместо	1	1
272	есть не	1	1
273	в действительности	1	1
274	путь для	1	1
275	могло бы	2	1
276	далеко не	1	1
277	за это	1	1
278	это я	1	1
279	переходит в	1	1
280	однако в	6	1
281	у которых	1	1
282	в поэзии	3	1
283	и когда	1	1
284	все ту	2	1
285	на протяжении	1	1
286	в искусстве	4	1
287	себе во	1	1
288	и вся	1	1
289	по земле	3	1
290	на жизнь	2	1
291	одно из	2	1
292	в данный	1	1
293	на деле	1	1
294	но он	1	1
295	несомненно что	1	1
296	как правило	3	1
297	тех или	1	1
298	есть по	2	1
299	ни было	2	1
300	до тех	1	1
301	последнем случае	1	1
302	этом же	1	1
303	человек в	1	1
304	нужно поставить	1	1
305	дело с	1	1
306	так что	4	1
307	с полным	1	1
308	здесь я	1	1
309	на таких	1	1
310	вещей и	1	1
311	место в	1	1
312	говорит и	1	1
313	идет о	3	1
314	в наши	1	1
315	эта аналогия	1	1
316	перестает быть	3	1
317	а скорее	1	1
318	вниманием к	1	1
319	состоит не	1	1
320	а по	1	1
321	с большой	1	1
322	над языком	1	1
323	свое собственное	1	1
324	характерный для	2	1
325	нам его	1	1
326	автора но	1	1
327	пор пока	1	1
328	но с	3	1
329	нуждающихся в	1	1
330	речь шла	1	1
331	нет в	2	1
332	они не	1	1
333	здесь дело	1	1
334	то как	2	1
335	в ее	2	1
336	раз его	1	1
337	строки и	1	1
338	или иных	1	1
339	революции в	1	1
340	что по	1	1
341	разумеется не	2	1
342	роль что	1	1
343	именно такой	1	1
344	слова так	1	1
345	некоторые другие	1	1
346	должен был	1	1
347	по чужому	1	1
348	свой литературный	1	1
349	и было	1	1
350	в принципе	5	1
351	во всем	1	1
352	одной стороны	6	1
353	себе как	1	1
354	а потому	2	1
355	обращается к	3	1
356	слова которое	1	1
357	не играет	1	1
358	не раз	2	1
359	свою жизнь	1	1
360	едва ли	4	1
361	случае мы	1	1
362	их в	1	1
363	может для	1	1
364	как к	3	1
365	одно слово	1	1
366	быть это	1	1
367	нам ясен	1	1
368	том чтобы	3	1
369	не стоит	1	1
370	из всех	1	1
371	например о	1	1
372	как от	1	1
373	первого и	1	1
374	наряду с	1	1
375	революцию как	1	1
376	это путь	1	1
377	то ни	1	1
378	этой же	1	1
379	к делу	1	1
380	бы в	1	1
381	и прежде	1	1
382	которого является	1	1
383	на первом	2	1
384	но беда	1	1
385	как на	3	1
386	что только	1	1
387	процесса в	1	1
388	в одном	2	1
389	эти строки	2	1
390	в случае	1	1
391	и выступает	1	1
392	установки на	1	1
393	и просто	1	1
394	даже в	4	1
395	русской культуры	1	1
