N	3gram	Vygotskiy__1	Literetu
1	к тому же	1	5
2	в отличие от	3	5
3	в этом отношении	2	5
4	о том что	7	4
5	с одной стороны	5	4
6	в том что	9	4
7	в том числе	1	3
8	не может быть	8	3
9	с точки зрения	2	3
10	подобно тому как	5	2
11	и в частности	1	2
12	и вместе с	1	2
13	с другой стороны	5	2
14	то же самое	2	2
15	в одном из	2	2
16	не только в	1	2
17	и в самом	2	2
18	одной стороны и	1	2
19	в самом деле	7	2
20	том числе и	1	2
21	в том чтобы	7	2
22	на то что	8	2
23	как например в	1	2
24	то что я	2	2
25	не удивительно что	1	2
26	состоит в том	2	2
27	я хотел сказать	1	1
28	не может как	1	1
29	может быть в	1	1
30	это и есть	1	1
31	который может быть	1	1
32	с таким расчетом	3	1
33	изучалось переживание зрителя	1	1
34	исследование искусства всегда	1	1
35	вслед за ним	1	1
36	вопрос о том	1	1
37	расчетом чтобы вызвать	2	1
38	весна лето осень	1	1
39	и там где	1	1
40	в связи с	1	1
41	либо изучалось переживание	1	1
42	при этом не	2	1
43	а также в	1	1
44	мы находимся в	1	1
45	в действительности же	1	1
46	психологическое исследование искусства	1	1
47	не только не	3	1
48	самый механизм действия	1	1
49	из двух направлений	1	1
50	так как мы	1	1
51	для того чтобы	5	1
52	и т п	15	1
53	всегда производилось в	1	1
54	между тем как	1	1
55	к этой идее	1	1
56	тогда когда оно	1	1
57	вместе с ними	1	1
58	со всеми другими	1	1
59	уже не может	1	1
60	в целом ряде	2	1
61	именно то что	1	1
62	переживание зрителя читателя	1	1
63	механизм действия художественного	1	1
64	едва ли не	1	1
65	не что иное	1	1
66	этой точки зрения	5	1
67	как бы в	1	1
68	в области искусства	2	1
69	на самом деле	2	1
70	как система раздражителей	1	1
71	и то что	1	1
72	мы все время	1	1
73	либо изучалась психология	1	1
74	и тем не	1	1
75	более или менее	2	1
76	то что в	1	1
77	точки зрения искусство	1	1
78	оно в своей	1	1
79	между искусством и	1	1
80	в конечном счете	3	1
81	как будто бы	2	1
82	изучалась психология творца	1	1
83	выразить то что	1	1
84	может быть только	1	1
85	что иное как	1	1
86	искусства всегда производилось	1	1
87	одном из двух	1	1
88	сама по себе	2	1
89	потому не может	2	1
90	только в том	3	1
91	и в том	1	1
92	которое может быть	1	1
93	действия художественного произведения	1	1
94	производилось в одном	1	1
95	чтобы вызвать эстетическую	1	1
96	в своей основе	1	1
97	с этой точки	4	1
98	начинается там где	3	1
99	вместе с тем	2	1
100	направлений либо изучалась	1	1
101	ту или иную	1	1
102	организованных с таким	1	1
103	тем не менее	2	1
104	вызвать эстетическую реакцию	1	1
105	и не всегда	1	1
106	в свою очередь	1	1
107	двух направлений либо	1	1
108	что я хотел	1	1
109	хотя и не	2	1
110	и потому не	1	1
111	таким расчетом чтобы	2	1
