N	3gram	Vinokur_Ku_2	Marksizm
1	с точки зрения	8	20
2	не может быть	4	13
3	в самом деле	7	9
4	бы то ни	1	8
5	до сих пор	1	8
6	то ни было	1	8
7	в связи с	3	7
8	в настоящее время	1	6
9	как мы знаем	1	5
10	в отличие от	2	5
11	с другой стороны	7	5
12	с самого начала	1	4
13	связи с этим	1	3
14	в то же	3	3
15	в большинстве случаев	1	3
16	и здесь мы	1	3
17	можно сказать что	2	3
18	может быть и	1	3
19	для того чтобы	8	3
20	в том что	10	3
21	в этом случае	2	3
22	то же время	3	3
23	но все же	2	3
24	языка и его	1	3
25	в конце концов	3	3
26	в этом отношении	3	3
27	на этот вопрос	2	3
28	в узком смысле	2	2
29	не могут быть	1	2
30	так же как	2	2
31	одной и той	1	2
32	до тех пор	1	2
33	в данный момент	1	2
34	во всяком случае	5	2
35	в этом смысле	5	2
36	в достаточной степени	1	2
37	и прежде всего	1	2
38	ничего общего с	1	2
39	пр и пр	1	2
40	и пр и	1	2
41	первым и вторым	1	2
42	свое выражение в	1	2
43	и той же	1	2
44	смысле этого слова	1	2
45	сама по себе	1	2
46	тех пор пока	1	2
47	между первым и	1	2
48	тем не менее	5	2
49	в свою очередь	2	2
50	можно было бы	9	2
51	так или иначе	2	1
52	с одной стороны	1	1
53	от того чтобы	1	1
54	этот вопрос о	1	1
55	не выходит за	1	1
56	если мы признаем	1	1
57	большей или меньшей	3	1
58	какой бы то	1	1
59	не должен быть	1	1
60	а следовательно и	2	1
61	языка как специфической	1	1
62	мы взглянем на	1	1
63	не хочет и	1	1
64	одна из основных	1	1
65	в данном отношении	2	1
66	в другом случае	1	1
67	хотя бы и	2	1
68	языка но и	2	1
69	в русском языке	9	1
70	к тому что	1	1
71	же и здесь	1	1
72	к этому сводится	1	1
73	разрешения этой проблемы	1	1
74	отнюдь не следует	1	1
75	тот или иной	1	1
76	совершается в пределах	1	1
77	на самом деле	2	1
78	находит свое выражение	1	1
79	по природе своей	1	1
80	таким образом в	1	1
81	вместо того чтобы	1	1
82	в значительной степени	1	1
83	не было бы	1	1
84	в широком смысле	2	1
85	не только в	4	1
86	все же и	2	1
87	сами по себе	1	1
88	и в самом	2	1
89	чуть ли не	1	1
90	с этой точки	2	1
91	только может быть	1	1
92	если мы взглянем	1	1
93	может быть только	2	1
94	нашего анализа мы	1	1
95	имеет первостепенное значение	1	1
96	прежде всего в	1	1
97	как мы видели	1	1
98	различие между речью	1	1
99	не следует что	1	1
100	в наше время	2	1
101	и в другом	2	1
102	в особенности же	2	1
103	в последнее время	1	1
104	к этому же	1	1
105	к языку как	1	1
106	в этом слове	2	1
107	и вовсе не	2	1
108	само по себе	5	1
109	языка и здесь	1	1
110	более и более	1	1
111	все более и	1	1
112	выражение в том	1	1
113	уже с самого	1	1
114	и пр но	2	1
115	этой точки зрения	2	1
116	в большей или	3	1
117	это вовсе не	1	1
