1	в том что	6	9
2	в связи с	7	8
3	тем не менее	1	6
4	во всяком случае	2	6
5	как мы знаем	1	4
6	по крайней мере	2	4
7	дело в том	1	3
8	с точки зрения	13	3
9	в отличие от	3	3
10	более или менее	2	3
11	в то же	8	3
12	так или иначе	1	3
13	то же время	8	3
14	никакого отношения к	1	3
15	о том что	3	3
16	говоря уже о	1	2
17	не только в	1	2
18	в последнее время	1	2
19	а именно к	1	2
20	на то что	2	2
21	как мы сказали	3	2
22	том что он	2	2
23	не говоря уже	1	2
24	нам кажется что	1	2
25	само по себе	1	2
26	в свою очередь	5	2
27	как мы видели	3	2
28	сам по себе	1	2
29	мужчины и женщины	1	1
30	на первых порах	1	1
31	и основан на	1	1
32	было не так	1	1
33	что иное как	1	1
34	он есть но	1	1
35	в какой мере	1	1
36	в том числе	1	1
37	мы знаем в	1	1
38	он не может	1	1
39	к этому нужно	1	1
40	этому нужно прибавить	1	1
41	до конца и	1	1
42	собственном смысле слова	2	1
43	и в свою	1	1
44	то что его	1	1
45	и в более	1	1
46	прежде всего на	1	1
47	не что иное	1	1
48	ни к чему	1	1
49	в той же	1	1
50	по себе в	1	1
51	может быть и	5	1
52	но тем не	1	1
53	во всех своих	1	1
54	именно здесь в	1	1
55	так сказать с	1	1
56	как и везде	1	1
57	было конечно не	1	1
58	в первую очередь	1	1
59	в отрыве от	1	1
60	в этом случае	1	1
61	для того чтобы	6	1
62	в этом отношении	1	1
63	есть но он	1	1
64	они не могут	1	1
65	не может быть	10	1
66	последнее время в	1	1
67	так же и	1	1
68	к тому же	2	1
69	конечно не в	1	1
70	а может быть	1	1
71	в собственном смысле	2	1
72	и все его	1	1
73	в высшей степени	3	1
74	так и из	1	1
75	мы уже сказали	1	1
76	как мы уже	3	1
77	это было не	1	1
78	с самого начала	5	1
79	можно сказать что	1	1
80	во франции и	1	1
81	той же самой	1	1
82	в самом деле	5	1
83	уже с самого	1	1
84	является как бы	1	1
85	но все же	1	1
86	и в том	1	1
87	именно в смысле	1	1
88	у него с	1	1
89	здесь как и	1	1
90	и прежде всего	2	1
91	не было бы	2	1
92	бы то ни	4	1
93	и не в	3	1
94	к чему не	1	1
95	чуть ли не	1	1
96	но помимо этого	1	1
97	но в то	5	1
98	но во всяком	1	1
99	себе не может	1	1
100	до сих пор	3	1
101	до известной степени	1	1
