1	с точки зрения	13	10
2	по отношению к	8	9
3	с самого начала	5	5
4	в то же	8	5
5	то же время	8	5
6	в самом деле	5	5
7	и прежде всего	2	5
8	в том что	6	4
9	в большинстве случаев	5	4
10	как мы уже	3	4
11	как мы видели	3	4
12	до сих пор	3	3
13	не могут быть	1	3
14	во всяком случае	2	3
15	не может быть	10	3
16	если бы он	3	3
17	можно сказать что	1	3
18	что все эти	1	3
19	в следующей главе	2	3
20	мы уже указывали	1	3
21	но в то	5	3
22	одним из наиболее	1	2
23	следующей главе глава	1	2
24	так и в	1	2
25	что же такое	1	2
26	и с помощью	1	2
27	в высшей степени	3	2
28	тем не менее	1	2
29	том что он	2	2
30	в зависимости от	2	2
31	можем сказать что	1	2
32	а следовательно и	1	2
33	то или иное	1	2
34	мы можем сказать	2	2
35	в этом отношении	1	2
36	в этом –	1	2
37	и все его	1	2
38	условиях социальной среды	1	2
39	на самом деле	4	2
40	в таком случае	3	2
41	связанных с ними	1	2
42	сам по себе	1	2
43	мы уже знаем	2	2
44	при этом совершенно	1	2
45	с другой –	1	1
46	и значение в	1	1
47	не совсем так	1	1
48	но и в	2	1
49	тот или иной	1	1
50	есть прежде всего	1	1
51	дело в том	1	1
52	одно из важнейших	1	1
53	точки зрения в	1	1
54	в каком направлении	1	1
55	превращения его в	1	1
56	далеко не так	1	1
57	нам кажется что	1	1
58	является для него	2	1
59	и дать ему	1	1
60	не нуждается в	1	1
61	бы он был	2	1
62	во всех этих	1	1
63	в узком смысле	2	1
64	до конца и	1	1
65	– одна из	2	1
66	мы никогда не	2	1
67	может быть ничего	1	1
68	а иногда и	2	1
69	или может быть	2	1
70	в отличие от	3	1
71	вовсе не является	3	1
72	а с другой	1	1
73	до известной степени	1	1
74	однако и здесь	1	1
75	может быть и	5	1
76	и тогда когда	1	1
77	как и всякое	1	1
78	и хотя бы	1	1
79	и на все	1	1
80	к сохранению и	1	1
81	но во всяком	1	1
82	глубже и существеннее	1	1
83	мы полагаем что	1	1
84	они не могут	1	1
85	во всех своих	1	1
86	– это та	1	1
87	она слагается из	1	1
88	по сравнению с	1	1
89	отнюдь не является	2	1
90	в которой мы	1	1
91	в основе всей	1	1
92	у нас –	1	1
93	и его формы	2	1
94	в данный момент	1	1
95	является как бы	1	1
96	о том что	3	1
97	по крайней мере	2	1
98	в одной плоскости	1	1
99	для того чтобы	6	1
100	это не совсем	1	1
101	и пр далее	1	1
102	в индивидуальной душе	1	1
103	своего исторического существования	1	1
104	все это –	1	1
105	при этом мы	1	1
106	находятся в состоянии	1	1
107	жизни и в	1	1
108	ввести его в	1	1
109	распадается на ряд	1	1
110	быть не может	1	1
111	в двух направлениях	2	1
112	и развитию ее	1	1
113	в собственном смысле	2	1
114	обратное влияние на	2	1
115	но не только	1	1
116	а может быть	1	1
117	никакого отношения к	1	1
118	возможно только на	1	1
119	на этой почве	5	1
120	оно становится уже	1	1
121	одно и то	3	1
122	с одной стороны	3	1
123	в нем и	1	1
124	в свою очередь	5	1
125	ни в какой	2	1
126	может стать и	1	1
127	во внутренней речи	1	1
128	достигнутого в данный	1	1
129	мы видели что	1	1
130	и не может	3	1
131	но все же	1	1
132	сохранению и развитию	1	1
133	и пр все	1	1
134	не было бы	2	1
135	данной социальной группы	3	1
136	с помощью которых	1	1
137	и у самого	1	1
138	могут быть и	1	1
139	в конечном счете	1	1
140	и следовательно вне	1	1
141	выходят за пределы	2	1
142	тесно связана с	1	1
143	бы то ни	4	1
144	при этом как	1	1
145	таким образом в	1	1
146	же время это	1	1
147	– как в	1	1
148	– всецело определяется	2	1
149	в этом случае	1	1
150	но как раз	1	1
151	в жизни и	1	1
152	и то же	3	1
153	наиболее ярким и	1	1
154	к нему и	1	1
155	два основных направления	1	1
156	том что это	1	1
