N	2gram	Tiupa_Narr_1	Mirosoze
1	и в	11	46
2	в нем	4	22
3	у него	7	22
4	может быть	15	21
5	в этом	12	20
6	и не	23	18
7	для него	4	18
8	не только	31	18
9	никогда не	4	18
10	не может	8	15
11	но и	27	15
12	человека в	2	14
13	ведет к	1	13
14	как и	13	13
15	а не	13	13
16	друг друга	2	12
17	прежде всего	4	12
18	потому что	5	12
19	не было	3	11
20	и он	6	11
21	у нас	3	11
22	в ней	4	11
23	в себе	6	10
24	та же	2	10
25	он не	3	10
26	но в	7	10
27	не знает	1	9
28	не в	6	9
29	он был	1	9
30	любовь к	1	8
31	отношение к	1	8
32	она не	2	8
33	на земле	1	8
34	в своем	3	8
35	и есть	1	8
36	так как	1	8
37	как бы	6	8
38	но это	1	8
39	хотя бы	2	7
40	в нашем	3	7
41	как в	4	7
42	человек не	1	7
43	и потому	1	7
44	в этой	6	7
45	и для	2	7
46	в мире	4	7
47	и к	1	7
48	что он	3	7
49	и здесь	1	6
50	жизни и	6	6
51	так же	1	6
52	что это	1	6
53	он сам	3	6
54	того что	4	6
55	в русской	3	6
56	и вот	2	5
57	и все	3	5
58	в конце	2	5
59	в своей	5	5
60	к тому	6	5
61	это не	3	5
62	что она	1	5
63	то же	8	5
64	то что	9	5
65	в его	6	5
66	привести к	1	5
67	и его	10	5
68	образ и	1	5
69	во всем	1	5
70	для того	3	5
71	один из	6	5
72	в самом	6	5
73	него нет	1	5
74	тот кто	2	5
75	его на	1	4
76	они не	1	4
77	так и	5	4
78	в жизни	3	4
79	жизни это	1	4
80	в свою	2	4
81	что в	3	4
82	к чему	3	4
83	у них	1	4
84	они и	2	4
85	того чтобы	4	4
86	что у	4	4
87	уже не	8	4
88	вопроса о	1	4
89	для этого	1	4
90	чем у	1	4
91	тому что	1	4
92	что и	1	4
93	до конца	2	4
94	также и	3	4
95	с его	4	4
96	должен быть	1	4
97	не имеет	2	4
98	себя в	2	4
99	все что	2	4
100	том что	7	4
101	по своей	1	3
102	момент в	1	3
103	отношении к	1	3
104	людей и	1	3
105	не будет	2	3
106	сих пор	2	3
107	с ним	2	3
108	до сих	2	3
109	связано со	1	3
110	и с	3	3
111	его в	1	3
112	в образе	1	3
113	не мог	6	3
114	в чем	2	3
115	иное как	1	3
116	и на	5	3
117	и самого	2	3
118	в том	8	3
119	что иное	1	3
120	это и	1	3
121	что было	1	3
122	как он	1	3
123	только с	1	3
124	и от	2	3
125	связано с	1	3
126	сказать что	2	3
127	можно ли	1	3
128	тем что	1	3
129	любви и	1	3
130	если бы	7	3
131	одна и	1	3
132	о бессмертии	1	3
133	же как	1	3
134	не существует	3	3
135	того как	1	3
136	чтобы не	1	3
137	в творчестве	1	3
138	и тогда	2	3
139	той же	1	3
140	о том	4	3
141	все равно	2	3
142	жизни в	2	3
143	только в	12	3
144	в пределе	1	2
145	ни одного	1	2
146	жизни а	3	2
147	на какой	1	2
148	это все	1	2
149	но личное	1	2
150	в которой	1	2
151	сам по	1	2
152	мир и	1	2
153	в более	1	2
154	в сфере	2	2
155	отношению к	3	2
156	связи с	2	2
157	и тот	1	2
158	точки зрения	5	2
159	человеческой жизни	2	2
160	не до	1	2
161	в смысл	2	2
162	к нему	4	2
163	сознания и	1	2
164	в сущности	2	2
165	бы не	1	2
166	в центре	3	2
167	во всех	1	2
168	по себе	4	2
169	это была	2	2
170	а в	13	2
171	то в	4	2
172	на людей	1	2
173	принадлежит к	1	2
174	оно не	2	2
175	человек и	1	2
176	вместе с	2	2
177	он понял	1	2
