N	3gram	Savitsky_E_1	Morfolog
1	и т д	1	47
2	в связи с	1	8
3	не может быть	2	8
4	связи с этим	1	5
5	а также и	1	4
6	с точки зрения	16	4
7	с другой стороны	2	4
8	в последнем случае	1	3
9	независимо от того	1	3
10	не могут быть	1	3
11	с одной стороны	8	2
12	в большинстве случаев	2	2
13	тех случаях когда	1	2
14	может быть и	1	2
15	для того чтобы	5	2
16	в том что	6	2
17	в то время	1	2
18	более или менее	1	2
19	в тех случаях	1	2
20	то время как	1	2
21	и в качестве	1	1
22	между прочим и	2	1
23	это значит что	1	1
24	в то же	15	1
25	в том случае	1	1
26	бы то ни	4	1
27	друг с другом	3	1
28	нужно помнить что	1	1
29	этот вопрос мы	1	1
30	то мы увидим	1	1
31	во многих отношениях	1	1
32	можно сказать что	3	1
33	так как мы	1	1
34	в противном случае	1	1
35	всех этих случаях	1	1
36	это один из	1	1
37	что же касается	1	1
38	к тому что	1	1
39	не означает что	1	1
40	во всех этих	1	1
41	том случае если	1	1
42	т е не	1	1
43	он не дает	1	1
44	вместо того чтобы	1	1
45	можно было бы	3	1
46	нужно заметить что	2	1
47	во всех случаях	3	1
48	на то что	2	1
49	и в начале	1	1
50	в некоторых случаях	1	1
51	той или иной	4	1
52	вопрос о характере	1	1
53	то же время	14	1
54	друг к другу	1	1
55	в других случаях	1	1
56	в пределах этих	2	1
57	в качестве примера	1	1
58	на этот вопрос	1	1
59	в применении к	3	1
60	но так как	1	1
61	ответить на этот	1	1
62	во всяком случае	3	1
63	в данном случае	2	1
64	хотя и не	1	1
