N	3gram	Trubetskoy_1	Myshleni
1	с точки зрения	6	18
2	для того чтобы	5	15
3	в том что	3	15
4	с другой стороны	1	9
5	с одной стороны	7	8
6	с самого начала	2	8
7	по отношению к	1	7
8	о том что	4	6
9	вместе с тем	8	5
10	по сравнению с	2	5
11	так же как	3	5
12	не может быть	1	5
13	в то время	1	5
14	до сих пор	5	4
15	но вместе с	2	4
16	в этом отношении	2	4
17	можно сказать что	2	4
18	друг с другом	5	4
19	смысле этого слова	1	3
20	в силу этого	1	3
21	на то что	2	3
22	то же самое	2	3
23	в первую очередь	1	3
24	во всяком случае	6	3
25	в свою очередь	1	3
26	влечет за собой	2	2
27	указывает на то	1	2
28	между этими двумя	2	2
29	виде в каком	1	2
30	то же время	2	2
31	представить себе связь	1	2
32	в данном случае	1	2
33	а с другой	5	2
34	все более и	1	2
35	и таким образом	3	2
36	однако несмотря на	1	2
37	тем и другим	1	2
38	в одном из	1	2
39	более и более	1	2
40	в самом деле	1	2
41	речь идет о	1	2
42	в то же	2	2
43	только тогда когда	1	2
44	не к одному	1	1
45	в том виде	2	1
46	самых древних времен	2	1
47	а следовательно и	1	1
48	что самый термин	1	1
49	еще только в	2	1
50	с первого взгляда	1	1
51	чем именно заключается	1	1
52	лишь постольку поскольку	1	1
53	но и как	1	1
54	но и потому	1	1
55	и в то	1	1
56	еще на одном	1	1
57	в отличие от	1	1
58	только то что	1	1
59	с тем чтобы	4	1
60	том числе и	4	1
61	на каждом шагу	1	1
62	все эти особенности	1	1
63	точно так же	3	1
64	одном и том	1	1
65	с этой точки	2	1
66	по крайней мере	5	1
67	не указывает на	1	1
68	в одном и	1	1
69	все эти черты	1	1
70	в этой области	1	1
71	в себе две	1	1
72	может показаться что	1	1
73	в конце концов	3	1
74	тот факт что	1	1
75	состоит в том	1	1
76	и потому что	2	1
77	и в этом	2	1
78	тем что в	1	1
79	психологической точки зрения	1	1
80	которые могли бы	1	1
81	или по крайней	1	1
82	не только как	1	1
83	хотя бы с	1	1
84	все что мы	1	1
85	друг к другу	1	1
86	с психологической точки	1	1
87	мы видели что	1	1
88	этой точки зрения	2	1
89	и от слова	1	1
90	которой не было	1	1
91	том виде в	2	1
92	а вместе с	1	1
93	что даже в	1	1
94	в общих чертах	1	1
95	но тем не	1	1
96	по всей вероятности	1	1
97	что в этой	1	1
98	в течение приблизительно	1	1
99	показаться что учение	1	1
100	и что она	1	1
101	в соответствии с	1	1
102	и вместе с	4	1
103	первого взгляда может	1	1
104	и никогда не	1	1
105	не только не	1	1
106	в связь с	1	1
107	он не имеет	2	1
108	потому что в	1	1
109	что мы знаем	1	1
110	но все же	4	1
111	в чем именно	1	1
112	с тем и	2	1
113	и том же	1	1
114	того что оно	1	1
115	заключает в себе	2	1
116	в том числе	5	1
117	тем не менее	3	1
118	что мы можем	1	1
119	таким образом если	2	1
120	той или иной	2	1
