N	2gram	Medvedev_V_1	Myshleni
1	в том	15	33
2	том что	8	27
3	точки зрения	3	26
4	то что	6	20
5	в этом	26	19
6	того что	3	17
7	мышления и	1	16
8	и в	26	15
9	не только	25	15
10	таким образом	31	14
11	что в	10	14
12	и речи	1	13
13	того чтобы	3	12
14	говорит он	1	12
15	что он	4	12
16	в самом	4	11
17	в процессе	16	11
18	для того	3	10
19	но и	10	10
20	в целом	4	10
21	было бы	7	10
22	о том	10	9
23	не может	17	9
24	связи с	4	9
25	мышления в	2	9
26	может быть	22	9
27	не является	5	9
28	что мы	2	9
29	в своем	8	9
30	так и	5	8
31	не в	6	8
32	казалось бы	1	8
33	к действительности	1	8
34	никогда не	4	8
35	и что	1	8
36	заключается в	2	8
37	если бы	3	8
38	во всяком	1	7
39	как бы	5	7
40	по себе	2	7
41	потому что	1	7
42	к тому	4	7
43	и не	19	7
44	он не	2	7
45	на основе	5	7
46	одной стороны	2	7
47	с одной	2	7
48	мы знаем	3	7
49	как и	7	6
50	вовсе не	3	6
51	на то	1	6
52	в теории	1	6
53	как это	12	6
54	вместе с	7	6
55	по этому	9	6
56	в связи	3	6
57	мы видели	3	6
58	зависимости от	5	6
59	и к	3	6
60	развития в	1	6
61	как мы	1	6
62	как он	2	6
63	сказать что	5	6
64	в истории	1	6
65	всяком случае	1	6
66	в виду	4	6
67	в зависимости	6	6
68	в этой	4	6
69	как известно	2	6
70	что эта	1	6
71	по отношению	7	6
72	но в	2	6
73	с другой	11	6
74	в частности	11	6
75	на этот	1	6
76	самом деле	1	6
77	по сравнению	1	5
78	вопрос о	1	5
79	отношению к	7	5
80	теории познания	1	5
81	приводит к	5	5
82	сравнению с	1	5
83	видели что	3	5
84	и ошибок	1	5
85	это не	7	5
86	и даже	2	5
87	то же	10	5
88	тогда когда	2	5
89	смысле слова	2	5
90	друг друга	1	5
91	во всей	2	5
92	говорит что	1	5
93	по существу	3	5
94	и др	9	5
95	и их	3	5
96	уже в	1	5
97	можно было	2	5
98	этот вопрос	3	5
99	в которой	2	4
100	в них	4	4
101	все же	5	4
102	для нас	1	4
103	так же	3	4
104	прежде всего	13	4
105	что его	2	4
106	значение для	1	4
107	как раз	3	4
108	даже в	5	4
109	поэтому что	1	4
110	хотя бы	19	4
111	связана с	2	4
112	в своей	4	4
113	а в	3	4
114	к этому	9	4
115	в начале	1	4
116	на вопрос	2	4
117	не имеет	1	4
118	в пользу	2	4
119	как в	1	4
120	из этих	7	4
121	и его	6	4
122	в качестве	11	4
123	не удивительно	4	4
124	конечном счете	5	4
125	является для	1	4
126	предисловии к	1	4
127	только в	7	4
128	что все	3	4
129	по поводу	2	4
130	в конечном	7	4
131	удивительно поэтому	1	4
132	того как	1	4
133	мы видим	1	4
134	их в	6	4
135	из того	1	4
136	несмотря на	1	4
137	все это	10	4
138	с его	3	4
139	при помощи	3	4
140	признать что	1	4
141	который в	1	4
142	том чтобы	2	4
143	что оно	3	4
144	от его	2	4
145	все эти	6	3
146	данном случае	1	3
147	что они	3	3
148	человека и	3	3
149	этому поводу	7	3
150	и все	1	3
151	числе и	2	3
152	с ним	1	3
153	действительности и	7	3
154	об этом	9	3
155	вот почему	4	3
156	бы и	6	3
157	он сам	2	3
158	но не	2	3
159	в которых	3	3
160	одной из	1	3
161	для него	8	3
162	в заключение	1	3
163	только что	4	3
164	что для	3	3
165	из которых	2	3
166	и сам	1	3
167	и особенно	1	3
168	они не	2	3
169	что при	2	3
170	с другими	2	3
171	что у	2	3
172	лишь в	2	3
173	или в	3	3
174	из тех	1	3
175	с этим	3	3
176	к этой	1	3
177	но на	1	3
178	в результате	5	3
179	очевидно что	7	3
180	мы имеем	3	3
181	в основе	1	3
182	больше того	1	3
183	лежит в	1	3
184	для этого	1	3
185	он в	1	3
186	когда он	3	3
187	этом отношении	13	3
188	он говорит	5	3
189	бы с	1	3
190	как совершенно	1	3
191	том числе	2	3
192	в общем	2	3
193	это представление	1	3
194	только для	1	3
195	утверждает что	3	3
196	а не	7	3
197	которых он	1	3
198	что она	2	3
199	и ее	4	3
200	в самой	1	3
201	и это	1	3
202	из них	9	3
203	во время	3	3
204	и по	3	3
205	в данном	1	3
206	и из	1	2
207	с целью	1	2
208	есть функция	1	2
209	в себе	6	2
210	как процесс	2	2
211	но с	2	2
212	которой мы	1	2
213	все те	1	2
214	в другом	2	2
215	говорить о	2	2
216	можно сказать	4	2
217	в противоположность	3	2
218	и самый	1	2
219	в более	1	2
220	и для	2	2
221	только тогда	1	2
222	учения о	1	2
223	мира и	3	2
224	в стороне	1	2
225	нет никаких	2	2
226	о наличии	2	2
227	у него	6	2
228	как нечто	1	2
229	это обстоятельство	1	2
230	более или	6	2
