N	2gram	Tiupa_Anal_2	Myshleni
1	в том	12	33
2	том что	12	27
3	точки зрения	4	26
4	то что	7	20
5	в этом	18	19
6	с точки	2	18
7	того что	2	17
8	мышления и	1	16
9	и в	16	15
10	не только	16	15
11	речи и	2	15
12	таким образом	2	14
13	что в	2	14
14	и речи	1	13
15	и т.д	3	12
16	в самом	6	11
17	но и	12	10
18	в целом	8	10
19	было бы	3	10
20	о том	7	9
21	не может	4	9
22	связи с	1	9
23	в сущности	4	9
24	может быть	6	9
25	не является	1	9
26	в своем	4	9
27	так и	15	8
28	не в	4	8
29	казалось бы	3	8
30	никогда не	3	8
31	и что	1	8
32	заключается в	1	8
33	если бы	3	8
34	как бы	10	7
35	по себе	2	7
36	потому что	1	7
37	к тому	7	7
38	и не	12	7
39	тот же	1	7
40	он не	2	7
41	и т.п	8	7
42	на основе	2	7
43	одной стороны	4	7
44	с одной	5	7
45	едва ли	3	7
46	по своей	1	6
47	как и	14	6
48	вовсе не	2	6
49	на то	2	6
50	как это	6	6
51	речи в	2	6
52	вместе с	2	6
53	в связи	1	6
54	и к	5	6
55	как мы	3	6
56	мы должны	1	6
57	как он	1	6
58	в отношении	1	6
59	сказать что	2	6
60	первых слов	1	6
61	в виду	1	6
62	мы уже	1	6
63	в этой	9	6
64	как известно	1	6
65	по отношению	4	6
66	но в	6	6
67	с другой	6	6
68	в частности	16	6
69	на этот	2	6
70	самом деле	1	6
71	отношению к	4	5
72	приводит к	3	5
73	это не	1	5
74	и даже	9	5
75	то же	4	5
76	тогда когда	1	5
77	полагает что	1	5
78	внутренней речи	4	5
79	по существу	2	5
80	и их	2	5
81	что с	2	5
82	уже в	1	5
83	можно было	3	5
84	этот вопрос	1	5
85	все что	2	5
86	в которой	1	4
87	для всех	2	4
88	в них	1	4
89	для нас	1	4
90	к которым	1	4
91	так же	2	4
92	прежде всего	3	4
93	что его	1	4
94	указание на	1	4
95	как раз	4	4
96	даже в	2	4
97	хотя бы	1	4
98	в своей	2	4
99	а в	3	4
100	в эту	3	4
101	независимо от	1	4
102	к этому	2	4
103	в начале	1	4
104	на вопрос	1	4
105	не имеет	2	4
106	что нам	1	4
107	как в	4	4
108	из этих	1	4
109	и его	4	4
110	в качестве	11	4
111	не удивительно	3	4
112	конечном счете	2	4
113	только в	4	4
114	что все	2	4
115	по поводу	3	4
116	переход от	1	4
117	в конечном	3	4
118	мы видим	1	4
119	из того	1	4
120	несмотря на	3	4
121	все это	4	4
122	с его	1	4
123	мы могли	1	4
124	который в	1	4
125	со всей	1	4
126	в совершенно	1	4
127	так как	1	4
128	все эти	1	3
129	языка и	2	3
130	данном случае	5	3
131	отличие от	2	3
132	того же	4	3
133	в игре	7	3
134	при этом	10	3
135	для себя	1	3
136	здесь и	1	3
137	этого слова	3	3
138	и все	3	3
139	с ним	2	3
140	но мы	1	3
141	действительности и	1	3
142	при рассмотрении	1	3
143	об этом	1	3
144	бы и	1	3
145	речи как	1	3
146	но не	4	3
147	отношения между	1	3
148	одной из	3	3
149	для него	4	3
150	только что	1	3
151	и сам	3	3
152	в отличие	2	3
153	и особенно	4	3
154	идет о	1	3
155	что при	1	3
156	речи ее	1	3
157	лишь в	9	3
158	или в	3	3
159	из тех	1	3
160	к этой	1	3
161	но на	1	3
162	в результате	3	3
163	ничего не	9	3
164	очевидно что	1	3
165	мы имеем	3	3
166	он в	4	3
167	значение в	1	3
168	когда он	1	3
169	этом отношении	3	3
170	с собой	1	3
171	бы с	1	3
172	те же	2	3
173	тем более	1	3
174	в общем	2	3
175	только для	1	3
176	в следующем	1	3
177	и до	2	3
178	а не	10	3
179	таким же	1	3
180	которых он	1	3
181	что она	2	3
182	и ее	1	3
183	но эта	2	3
184	со стороны	3	3
185	из них	3	3
186	состоит в	8	3
187	об отношении	1	3
188	тем самым	4	3
189	и по	1	3
190	в данном	8	3
191	и из	1	2
192	в споре	2	2
193	его речи	1	2
194	в полном	1	2
195	в себе	7	2
196	научного мышления	1	2
197	в другом	1	2
198	то он	1	2
199	говорить о	6	2
200	на всем	1	2
201	можно сказать	4	2
202	в противоположность	2	2
203	в один	4	2
204	и для	2	2
205	для всего	1	2
206	и другой	1	2
207	с ней	1	2
208	мышления но	1	2
209	для обозначения	1	2
210	у него	4	2
211	более или	1	2
212	говорит сам	1	2
213	на место	1	2
214	прийти к	1	2
215	друг с	1	2
216	относятся к	1	2
217	что на	3	2
218	только его	1	2
219	в их	3	2
220	и речь	1	2
221	в одном	2	2
222	определенной социальной	1	2
223	его к	1	2
224	иначе говоря	11	2
225	и другое	1	2
226	что же	1	2
227	известно из	1	2
228	этом смысле	2	2
229	и самого	1	2
230	с этой	1	2
231	с другом	1	2
232	для человека	1	2
233	на этой	2	2
234	раз в	1	2
235	в себя	4	2
236	в ином	1	2
237	но если	1	2
238	для данного	1	2
239	с с	1	2
240	на втором	1	2
241	в его	2	2
242	в этих	2	2
243	его внутренней	1	2
244	стало быть	2	2
245	сама по	1	2
246	и более	1	2
247	следующим образом	1	2
248	на которой	1	2
249	нас к	2	2
250	с ее	2	2
251	нисколько не	1	2
252	ее в	1	2
253	к его	2	2
254	с действительностью	2	2
255	что и	3	2
256	представляет собой	8	2
257	в силу	1	2
258	во всех	4	2
259	всем протяжении	1	2
260	на протяжении	2	2
261	во все	1	2
262	ни в	1	2
263	моментов в	1	2
264	тем что	3	2
265	той же	2	2
266	но ведь	1	2
267	тому как	3	2
268	автора к	1	2
269	с их	2	2
270	и тем	4	2
271	в котором	2	2
272	могут быть	10	2
273	как основной	2	2
274	том же	1	2
275	именно в	3	2
276	не возникает	1	2
277	остается в	1	2
278	как уже	3	2
279	говоря словами	1	2
280	также и	1	2
281	в такой	1	2
282	как у	1	2
283	в известном	1	2
284	этих двух	1	2
285	из виду	1	2
286	столь же	4	2
287	в присутствии	1	2
288	а также	7	2
289	все равно	1	2
290	не следует	2	2
291	или менее	1	2
292	стороны и	1	2
293	самое что	1	2
294	что здесь	1	2
295	к личности	1	2
296	за пределы	4	2
297	этот жест	1	2
298	или иной	3	2
299	перед нами	1	2
300	уже и	2	2
301	как говорит	2	2
302	отнюдь не	8	2
303	еще один	1	2
304	указывает на	1	2
305	и как	1	2
306	и тогда	1	2
307	же самое	1	2
308	в первой	3	2
309	речь идет	2	2
310	в применении	1	2
311	подобно тому	3	2
312	свою собственную	1	2
313	самого автора	1	2
314	той или	3	2
315	речи вообще	1	1
316	материал для	1	1
317	и там	1	1
318	не позволяет	2	1
319	этот раз	1	1
320	здесь совершенно	1	1
321	на это	1	1
322	в словах	3	1
323	как правило	4	1
324	не знает	3	1
325	говорит не	1	1
326	то его	1	1
327	исходя из	1	1
328	самого себя	1	1
329	как теперь	1	1
330	может не	1	1
331	таких случаях	1	1
332	во времени	2	1
333	по выражению	2	1
334	в свое	1	1
335	всю объективную	1	1
