N	2gram	Voloshinov_1	Myshleni
1	в том	3	42
2	том что	3	35
3	с помощью	2	31
4	таким образом	9	25
5	в развитии	2	25
6	в этом	9	24
7	точки зрения	8	24
8	в качестве	1	21
9	и в	16	20
10	что в	3	19
11	в основе	3	17
12	то же	2	16
13	мышления в	1	16
14	не только	7	15
15	то что	3	15
16	что они	1	14
17	у ребенка	1	13
18	как мы	4	13
19	при этом	6	12
20	может быть	17	12
21	с другой	1	12
22	с точки	6	11
23	в его	4	11
24	так же	2	11
25	мы должны	1	11
26	и то	1	10
27	на основе	2	10
28	своего развития	1	10
29	мы видим	2	10
30	только в	4	10
31	если мы	2	10
32	так как	4	10
33	того же	2	9
34	и как	3	9
35	как и	2	9
36	понятия и	2	9
37	что и	2	9
38	тот же	1	9
39	с одной	1	9
40	одной стороны	1	9
41	ребенка и	3	9
42	как это	3	9
43	но и	4	9
44	было бы	2	8
45	этом смысле	3	8
46	тогда когда	1	8
47	и что	1	8
48	вместе с	3	8
49	и не	4	8
50	самом деле	6	7
51	в своей	2	7
52	они являются	1	7
53	ребенка не	1	7
54	с другом	1	7
55	могут быть	3	7
56	же самое	1	7
57	того чтобы	1	7
58	этом отношении	1	7
59	а не	1	7
60	что мы	2	7
61	как бы	5	7
62	друг с	1	7
63	же как	2	6
64	в самом	2	6
65	той же	1	6
66	и на	4	6
67	те же	3	6
68	с тем	1	6
69	одного и	1	6
70	к тому	1	6
71	можно было	1	6
72	его в	4	6
73	что он	2	6
74	уже в	1	6
75	развития в	1	6
76	не может	8	6
77	сказать что	7	6
78	мы уже	2	5
79	между собой	2	5
80	друг на	2	5
81	с этим	2	5
82	все же	1	5
83	и к	6	5
84	увидим что	1	5
85	все эти	5	5
86	на друга	2	5
87	и того	1	5
88	только не	1	5
89	и его	8	5
90	никогда не	2	5
91	так и	4	5
92	если бы	1	5
93	о том	2	5
94	мы можем	9	5
95	для того	1	5
96	в частности	2	5
97	что такое	5	5
98	этой теории	2	4
99	в сущности	1	4
100	первый план	1	4
101	его к	1	4
102	в нашем	1	4
103	как он	1	4
104	как они	1	4
105	и с	8	4
106	с этой	2	4
107	на первый	2	4
108	по сравнению	3	4
109	которые в	1	4
110	на один	1	4
111	возникает в	2	4
112	что оно	2	4
113	роль в	1	4
114	в детском	1	4
115	и только	9	4
116	все время	1	4
117	только что	1	4
118	в сознании	1	4
119	во всей	2	4
120	в области	3	4
121	по своему	2	4
122	в смысле	1	4
123	и для	2	4
124	для нас	2	4
125	ключом к	1	4
126	между ними	3	4
127	к этому	2	4
128	во всяком	3	4
129	этой точки	1	4
130	как известно	1	3
131	не имеют	1	3
132	на место	1	3
133	в сновидении	1	3
134	в виду	1	3
135	столь же	1	3
136	в чем	5	3
137	отнюдь не	4	3
138	когда он	1	3
139	не являются	1	3
140	но в	4	3
141	в этой	4	3
142	на его	1	3
143	это значение	1	3
144	на этом	3	3
145	различие между	1	3
146	со всеми	2	3
147	по смыслу	1	3
148	на все	1	3
149	и других	2	3
150	ни в	5	3
151	в один	4	3
152	в этих	3	3
153	и мышления	1	3
154	мы говорили	1	3
155	не менее	2	3
156	во всем	1	3
157	связи с	1	3
158	не могут	2	3
159	ребенка к	1	3
160	ничего общего	1	3
161	приводит к	1	3
162	представлений и	3	3
163	внимание на	1	3
164	и история	1	3
165	один из	2	3
166	но не	1	3
167	всяком случае	3	3
168	себя в	1	3
169	эти понятия	2	3
170	от того	1	3
171	со стороны	1	3
172	нас в	1	3
173	на этот	1	3
174	в связи	1	3
175	сравнению с	3	3
176	ребенком и	1	3
177	формы и	1	3
178	не подлежит	1	3
179	основе их	1	3
180	совершенно не	8	3
181	говоря о	1	2
182	ту же	2	2
183	что эти	1	2
184	высшей степени	1	2
185	едва ли	3	2
186	мы имеем	1	2
187	что если	1	2
188	нам в	1	2
189	план в	1	2
190	мы и	1	2
191	их лежит	1	2
192	зависимости от	1	2
193	в ней	1	2
194	ступени развития	1	2
195	привести к	1	2
196	из этих	2	2
197	во многих	1	2
198	предметов и	1	2
199	не есть	2	2
200	вообще не	2	2
201	теории и	1	2
202	в нем	4	2
203	именно то	1	2
204	никакому сомнению	1	2
205	свое время	1	2
206	но вместе	1	2
207	из него	1	2
208	подобно тому	1	2
209	входит в	1	2
210	может стать	1	2
211	в высшей	1	2
212	момента в	2	2
213	никаких оснований	3	2
214	в следующем	1	2
215	мысли и	4	2
216	для объяснения	1	2
217	их в	3	2
218	этих трех	2	2
219	не имеет	1	2
220	к этим	1	2
221	это мы	1	2
222	уже и	1	2
223	что на	2	2
224	не совсем	1	2
225	мы узнаем	1	2
226	отличается от	1	2
227	что при	1	2
228	существует только	2	2
229	и это	6	2
230	данном случае	1	2
231	еще не	5	2
232	что такие	1	2
233	даны в	1	2
234	является по	2	2
235	и здесь	1	2
236	и т.д	1	2
237	другими словами	2	2
238	как наиболее	1	2
239	ранних ступенях	2	2
240	к нему	1	2
241	на одном	1	2
242	в другой	1	2
243	в него	5	2
244	для ребенка	1	2
245	что здесь	1	2
246	он что	1	2
247	но так	1	2
248	образов и	2	2
249	по мнению	1	2
250	но как	2	2
251	перенесения значения	1	2
252	в нашей	1	2
253	для него	6	2
254	у него	2	2
255	случае не	1	2
256	только на	3	2
257	в истинном	1	2
258	в каком	2	2
259	и тех	1	2
260	а с	1	2
261	прежде всего	9	2
262	думается нам	1	2
263	с которым	1	2
264	в данном	1	2
265	что это	2	2
266	тому как	1	2
267	а потом	1	2
268	том смысле	1	2
269	сейчас же	1	2
270	в начале	2	2
271	которая в	1	2
272	и т.п	2	2
273	а в	3	2
274	в свою	1	2
275	не знает	2	2
276	в свое	2	2
277	влияния на	1	2
278	это в	1	2
279	они не	2	2
280	переносятся на	1	1
281	отношении и	1	1
282	человека и	1	1
283	на самом	4	1
284	он может	1	1
285	шаг за	1	1
286	тех же	3	1
287	и есть	3	1
288	явления и	1	1
289	на две	3	1
290	каком отношении	1	1
291	но должны	1	1
292	его не	1	1
293	и значение	3	1
294	мы не	2	1
295	что между	1	1
296	всех его	2	1
297	та же	1	1
298	вопрос о	1	1
299	создало человеческое	1	1
300	в основных	1	1
301	из сказанного	2	1
302	так чтобы	1	1
303	говорить о	2	1
304	что иное	1	1
305	оно есть	1	1
306	я не	1	1
307	но даже	1	1
308	и со	1	1
309	что можно	2	1
310	же что	1	1
311	могущие быть	1	1
312	иное как	1	1
313	бы то	1	1
314	во всех	3	1
315	их так	1	1
316	совсем не	2	1
317	попытались вскрыть	1	1
318	ребенка можно	1	1
319	не входит	1	1
320	значение и	1	1
321	мы сейчас	1	1
322	общего с	1	1
323	однако не	1	1
324	оценок но	1	1
325	в этот	2	1
