N	2gram	Bakhtin_Fr_7	Myshleni
1	то что	8	26
2	в этом	15	25
3	что он	3	25
4	потому что	5	21
5	таким образом	19	19
6	точки зрения	5	18
7	в том	11	18
8	не может	3	18
9	не только	5	16
10	и в	41	16
11	того что	2	16
12	так как	3	16
13	что в	9	16
14	том что	4	15
15	так же	5	15
16	в сущности	4	13
17	в процессе	2	13
18	сказать что	1	13
19	по отношению	2	12
20	в области	2	12
21	и что	1	12
22	и не	7	12
23	и развития	1	12
24	отношению к	2	12
25	отношение к	2	11
26	в его	12	11
27	но не	1	10
28	в силу	1	10
29	было бы	4	10
30	как мы	11	10
31	только в	6	10
32	а не	2	10
33	с помощью	6	10
34	у ребенка	1	9
35	с точки	3	9
36	в отношении	3	9
37	может быть	4	9
38	то же	13	8
39	должно быть	4	8
40	как и	14	8
41	тем самым	3	8
42	в основе	1	8
43	о том	6	8
44	он не	4	8
45	точка зрения	2	8
46	как это	1	8
47	того же	3	7
48	и есть	3	7
49	в нем	7	7
50	но он	4	7
51	по себе	1	7
52	так и	10	7
53	если мы	1	7
54	и на	4	6
55	но в	8	6
56	в этой	13	6
57	как он	2	6
58	связанные с	3	6
59	в другом	1	6
60	не в	9	6
61	речи в	1	6
62	своего развития	1	6
63	что все	2	6
64	этот вопрос	1	6
65	у него	6	6
66	но и	9	6
67	в той	3	6
68	к тому	2	6
69	в такой	1	5
70	должна быть	1	5
71	что они	1	5
72	как в	5	5
73	в своем	9	5
74	говорит что	2	5
75	в которой	2	5
76	на все	1	5
77	мысли и	1	5
78	с ним	2	5
79	самого начала	1	5
80	в то	10	5
81	того как	5	5
82	никогда не	2	5
83	ничего не	4	5
84	этом отношении	2	5
85	с самого	2	5
86	можно было	3	5
87	тот же	2	5
88	для него	6	5
89	тем что	3	5
90	как бы	7	5
91	еще более	2	5
92	не знает	3	5
93	и то	2	4
94	той же	3	4
95	что между	2	4
96	оба эти	1	4
97	время как	1	4
98	а только	2	4
99	друг от	1	4
100	за пределы	1	4
101	процессе развития	1	4
102	в самом	1	4
103	все эти	13	4
104	с их	1	4
105	при этом	3	4
106	и по	3	4
107	это не	6	4
108	такой же	3	4
109	мысли в	1	4
110	не имеет	3	4
111	же самое	1	4
112	не есть	2	4
113	от друга	1	4
114	еще не	2	4
115	и т.д	2	4
116	в свете	3	4
117	в новой	7	4
118	в качестве	9	4
119	так что	1	4
120	и их	3	4
121	не могут	1	4
122	именно в	2	4
123	к которому	1	4
124	на этот	1	4
125	вместе с	5	4
126	в состоянии	2	4
127	с этой	1	4
128	мы видим	6	4
129	в результате	2	4
130	бы в	2	4
131	тем более	1	4
132	в системе	1	4
133	в свою	3	4
134	речи как	1	4
135	функции в	1	3
136	самом деле	1	3
137	это и	1	3
138	между двумя	1	3
139	в первом	1	3
140	с таким	1	3
141	к целому	1	3
142	мы не	2	3
143	как я	4	3
144	по своему	2	3
145	он может	3	3
146	с этим	2	3
147	все же	1	3
148	и как	2	3
149	он в	1	3
150	чем его	1	3
151	как с	1	3
152	на этом	5	3
153	и может	2	3
154	и тем	1	3
155	с тем	1	3
156	мы видели	5	3
157	что значит	2	3
158	в этих	2	3
159	таким же	3	3
160	в их	3	3
161	из которых	2	3
162	до конца	2	3
163	по своей	1	3
164	и его	9	3
165	связи с	1	3
166	ничего общего	1	3
167	свою очередь	3	3
168	в себя	2	3
169	и с	4	3
170	вот почему	1	3
171	в чем	2	3
172	к нему	5	3
173	что и	5	3
174	в лучшем	1	3
175	своей природе	1	3
176	одной из	2	3
177	между тем	1	3
178	как процесс	1	3
179	его и	1	3
180	в известной	1	3
181	в одном	3	3
182	а в	5	3
183	еще и	1	3
184	на которые	1	3
185	говорит о	1	3
186	прежде всего	11	3
187	не на	3	3
188	в частности	1	3
189	все основные	1	3
190	к жизни	4	3
191	чем в	1	3
192	по существу	8	3
193	но это	3	3
194	содержится в	2	3
195	к его	1	3
196	как на	1	3
197	ее в	1	3
198	к этому	5	3
199	они не	1	3
200	ту же	2	2
201	отношения к	1	2
202	одним из	1	2
203	к данному	1	2
204	такое же	1	2
205	все дело	1	2
206	момент когда	1	2
207	есть не	2	2
208	которую мы	1	2
209	принадлежит к	1	2
210	я не	3	2
211	есть совершенно	1	2
212	в ней	5	2
213	быть в	1	2
214	в различных	1	2
215	во всех	3	2
216	что я	1	2
217	что было	1	2
218	отличие от	1	2
219	в центре	1	2
220	его на	1	2
221	общего с	1	2
222	и к	5	2
223	помощью которого	1	2
224	ступени развития	1	2
225	бы сказать	1	2
226	учение о	2	2
227	то обстоятельство	1	2
228	нами в	1	2
229	тому же	1	2
230	в корне	1	2
231	свое время	2	2
232	теории и	1	2
233	именно это	1	2
234	но все	4	2
235	что является	1	2
236	в совершенно	1	2
237	в речевом	1	2
238	в жизни	1	2
239	в них	7	2
240	к которым	1	2
241	оно имеет	1	2
242	понятия и	1	2
243	во второй	2	2
244	в своей	3	2
245	в котором	1	2
246	мы говорили	1	2
247	должны были	1	2
248	из области	1	2
249	все это	10	2
250	их в	2	2
251	на всю	2	2
252	же мы	1	2
253	но они	1	2
254	но только	1	2
255	как два	1	2
256	видим что	1	2
257	во всем	1	2
258	обстоятельство что	1	2
259	и здесь	4	2
260	два момента	1	2
261	указывает на	1	2
262	этот путь	1	2
