N	3gram	Vinokur_St_2	Myshleni
1	с точки зрения	2	21
2	для того чтобы	5	18
3	в этом случае	1	14
4	в том что	16	13
5	не только не	2	9
6	по сравнению с	1	7
7	так же как	3	7
8	с самого начала	3	7
9	к тому что	5	6
10	по отношению к	1	5
11	свое выражение в	2	5
12	в данном случае	1	5
13	в самом деле	2	4
14	вместе с тем	5	4
15	заключается в том	1	4
16	о том что	11	4
17	на то что	2	4
18	только потому что	2	3
19	до сих пор	5	3
20	в этом отношении	9	3
21	одно и то	1	3
22	и то же	1	3
23	тем не менее	2	3
24	по этому поводу	2	3
25	как мы видели	1	3
26	том что в	2	2
27	том что она	1	2
28	одним и тем	1	2
29	на самом деле	1	2
30	том что он	5	2
31	в известном смысле	1	2
32	в той же	1	2
33	в отличие от	2	2
34	в сущности говоря	1	2
35	в той мере	2	2
36	точно так же	1	2
37	что в этом	1	2
38	именно в этом	1	2
39	как раз в	2	2
40	и тем же	1	2
41	в то время	1	2
42	никаких сомнений в	1	2
43	и вместе с	1	2
44	мере в какой	2	2
45	не до конца	2	2
46	в свою очередь	1	2
47	к выводу что	1	2
48	у нее есть	1	2
49	той мере в	2	2
50	таким образом в	1	2
51	в обоих случаях	1	1
52	того чтобы показать	1	1
53	возникает целый ряд	1	1
54	в том числе	1	1
55	так что в	1	1
56	в этом смысле	1	1
57	в том же	2	1
58	то что с	1	1
59	а в начале	1	1
60	не к тому	1	1
61	нашло свое выражение	2	1
62	в зависимости от	1	1
63	сам по себе	1	1
64	что он не	4	1
65	в первую очередь	1	1
66	вследствие того что	1	1
67	и потому недостаточно	1	1
68	с которыми он	1	1
69	по пути к	1	1
70	на первом месте	1	1
71	поэтому она не	1	1
72	котором мы привыкли	1	1
73	пользу того что	1	1
74	в высшей степени	1	1
75	тот факт что	4	1
76	что оба эти	2	1
77	в пользу того	1	1
78	оставляет никаких сомнений	1	1
79	должна была бы	1	1
80	что этот шаг	1	1
81	в определенном направлении	1	1
82	и в этом	2	1
83	сомнений в том	1	1
84	пришел к выводу	1	1
85	в одной из	2	1
86	с другой стороны	3	1
87	не только к	1	1
88	но вместе с	1	1
89	но именно в	1	1
90	никак не отражалось	1	1
91	во всяком случае	3	1
92	что у него	1	1
93	вместо того чтобы	1	1
94	потому что они	1	1
95	на вопрос о	1	1
96	нельзя было бы	1	1
97	друг к другу	1	1
98	так и в	2	1
99	и во втором	1	1
100	сих пор в	1	1
101	не оставляет никаких	1	1
102	но и он	1	1
103	этом случае и	1	1
104	внимание на то	1	1
105	после того как	4	1
106	ли нуждается в	1	1
107	но все же	2	1
108	но также и	1	1
109	в то же	1	1
110	нет как и	1	1
111	в конце концов	1	1
