1	с точки зрения	21	10
2	по отношению к	5	9
3	с самого начала	7	5
4	в то же	1	5
5	в самом деле	4	5
6	в том что	13	4
7	в большинстве случаев	2	4
8	как мы уже	1	4
9	как мы видели	3	4
10	по ту сторону	1	3
11	до сих пор	3	3
12	не могут быть	1	3
13	во всяком случае	1	3
14	и до конца	1	3
15	не может быть	4	3
16	можно сказать что	3	3
17	в данном случае	5	3
18	в этот период	2	3
19	но вместе с	1	2
20	так и в	1	2
21	в высшей степени	1	2
22	по отношению ко	1	2
23	тем не менее	3	2
24	том что он	2	2
25	из этих направлений	1	2
26	в зависимости от	1	2
27	внутренней речи мы	2	2
28	а следовательно и	1	2
29	в этом отношении	3	2
30	благодаря тому что	2	2
31	на самом деле	2	2
32	сам по себе	1	2
33	в углу комнаты	1	1
34	и значение в	1	1
35	связанное с ним	1	1
36	направлений в современной	1	1
37	различных направлений в	1	1
38	есть прежде всего	1	1
39	то что мы	1	1
40	сделать вывод что	2	1
41	одно из важнейших	1	1
42	друг на друга	1	1
43	отношению ко всему	1	1
44	в каком направлении	1	1
45	на вопрос о	1	1
46	объясняется и то	1	1
47	поэтому она не	1	1
48	в современной психологии	1	1
49	во всех этих	1	1
50	и связанное с	1	1
51	все больше и	2	1
52	что между ними	1	1
53	но не может	1	1
54	но при этом	1	1
55	на ряд отдельных	1	1
56	в отличие от	2	1
57	больше и больше	2	1
58	только оно и	1	1
59	на которой мы	1	1
60	самое последнее время	1	1
61	того и другого	2	1
62	что он не	1	1
63	и таким образом	1	1
64	о связи между	1	1
65	его речи и	1	1
66	в самое последнее	1	1
67	но именно в	1	1
68	том что в	2	1
69	по сравнению с	7	1
70	одного плана в	1	1
71	нет и не	2	1
72	в одной из	1	1
73	их различие и	1	1
74	субъективной и объективной	1	1
75	того что мы	1	1
76	а в начале	1	1
77	род отношений к	1	1
78	о том что	4	1
79	мы не можем	3	1
80	в одной плоскости	1	1
81	для того чтобы	18	1
82	она не может	1	1
83	чем иным как	2	1
84	из того что	2	1
85	к той же	1	1
86	одной и той	2	1
87	в первых двух	1	1
88	так как в	1	1
89	в собственном смысле	3	1
90	плана в другой	1	1
91	начала и до	1	1
92	различает два момента	1	1
93	которой мы остановимся	1	1
94	современных психологических направлений	1	1
95	из одного плана	1	1
96	и той же	2	1
97	одно и то	3	1
98	мы должны перейти	1	1
99	не давая себе	1	1
100	с одной стороны	5	1
101	из этих двух	1	1
102	в свою очередь	2	1
103	ни в какой	2	1
104	во внутренней речи	2	1
105	в то время	2	1
106	и не может	1	1
107	но все же	1	1
108	в конечном счете	2	1
109	но мы не	1	1
110	нуждается в слушателе	1	1
111	одним из важнейших	1	1
112	развития ребенка и	1	1
113	таким образом в	2	1
114	на этом пути	1	1
115	не чем иным	2	1
116	это и есть	1	1
117	только потому что	3	1
118	в этом случае	14	1
119	развития как и	1	1
120	и то же	3	1
121	том что это	1	1
