N	4gram	Vygotskiy__5	Myslijsy
1	одного и того же	2	6
2	и в свою очередь	1	4
3	в то время как	1	3
4	одно и то же	3	2
5	на то что в	1	2
6	в нашем сознании и	1	1
7	для того чтобы сделать	1	1
8	одной и той же	2	1
9	в том что он	1	1
10	состоит в том что	2	1
11	всегда заключает в себе	1	1
12	указывает нам на то	1	1
13	с одной стороны и	1	1
14	дело в том что	1	1
15	в том что оно	1	1
16	ли мы вместе с	1	1
17	в том смысле в	1	1
18	не в состоянии объяснить	2	1
19	нам кажется что мы	1	1
20	не прямо а в	1	1
21	один и тот же	1	1
22	страха и т п	1	1
