N	2gram	Propp_Isto_1	Myslijsy
1	потому что	4	46
2	в том	9	32
3	и в	28	30
4	может быть	25	28
5	то же	12	23
6	не только	12	21
7	только в	11	21
8	для нас	13	20
9	но и	10	19
10	того что	4	18
11	том что	7	18
12	то что	9	18
13	не есть	2	17
14	что в	12	17
15	в себе	2	16
16	по себе	3	16
17	и не	9	15
18	не в	9	15
19	а не	15	15
20	таким образом	8	14
21	что и	6	13
22	так как	6	13
23	если бы	8	12
24	вместе с	6	12
25	а в	7	12
26	точно так	3	12
27	так и	9	11
28	что оно	1	11
29	этого слова	1	11
30	как в	2	10
31	в этом	8	10
32	как и	4	10
33	в то	3	10
34	и что	10	10
35	мы не	10	9
36	только тогда	1	9
37	из этих	1	9
38	в нем	2	9
39	было бы	7	9
40	тогда когда	2	9
41	слово есть	1	9
42	между тем	2	9
43	для него	2	9
44	и то	1	8
45	в ней	7	8
46	что не	2	8
47	что мы	7	8
48	есть не	1	7
49	с одной	4	7
50	но не	5	7
51	с тем	4	7
52	тем что	3	7
53	как мы	3	7
54	так что	4	7
55	слова в	1	7
56	в языке	1	7
57	вовсе не	2	7
58	с другой	6	7
59	смысле этого	1	7
60	к тому	6	7
61	например в	5	6
62	то это	3	6
63	же что	1	6
64	с этим	4	6
65	между собою	1	6
66	с ним	2	6
67	указывает на	2	6
68	те же	1	6
69	там же	2	6
70	что он	10	6
71	уже не	3	6
72	то и	2	6
73	из них	3	6
74	зависит от	2	6
75	но оно	4	6
76	не может	15	6
77	но это	4	6
78	художественного произведения	1	5
79	и т	25	5
80	еще не	7	5
81	по отношению	3	5
82	независимо от	1	5
83	в своем	5	5
84	и как	2	5
85	и тем	2	5
86	в них	1	5
87	можно видеть	2	5
88	к ней	1	5
89	в каком	1	5
90	не могут	2	5
91	не менее	6	5
92	мысль о	2	5
93	словом и	1	5
94	одно из	1	5
95	только по	1	5
96	есть только	3	5
97	тому как	1	5
98	отношению к	3	5
99	должно быть	2	5
100	сказать что	5	5
101	только как	1	5
102	в действительности	2	5
103	тем же	1	4
104	или же	1	4
105	столь же	2	4
106	не все	4	4
107	относится к	2	4
108	что именно	1	4
109	не было	1	4
110	что это	8	4
111	бы не	1	4
112	он не	2	4
113	и по	3	4
114	и наоборот	1	4
115	мы видели	2	4
116	в один	1	4
117	себе не	1	4
118	в котором	3	4
119	себе а	1	4
120	есть нечто	1	4
121	того как	3	4
122	и его	3	4
123	для того	1	4
124	оно не	1	4
125	на это	2	4
126	и это	1	4
127	об отношении	1	4
128	то время	3	4
129	по мере	2	4
130	можно бы	1	4
131	в его	5	4
132	один из	4	4
133	и между	2	4
134	что для	1	4
135	быть только	1	4
136	не дается	1	4
137	и потому	2	4
138	все это	4	4
139	и от	2	4
140	мы должны	13	4
141	другой стороны	5	4
142	была бы	2	4
143	и есть	1	3
144	в первом	1	3
145	говорить о	1	3
146	и на	4	3
147	а только	2	3
148	не то	4	3
149	ответ на	2	3
150	дает нам	1	3
151	более или	5	3
152	не можем	3	3
153	в целом	2	3
154	что она	5	3
155	при этом	3	3
156	т д	22	3
157	в силу	5	3
158	его в	6	3
159	есть средство	1	3
160	этого не	1	3
161	и тогда	3	3
162	или менее	5	3
163	как бы	2	3
164	образом и	1	3
165	тем не	6	3
166	есть еще	2	3
167	что например	3	3
168	тому что	1	3
169	на него	4	3
170	тогда и	1	3
171	образом в	1	3
172	того чтобы	1	3
173	заметить что	1	3
174	могут быть	4	3
175	мере того	2	3
176	в образе	3	3
177	или в	5	3
