N	3gram	Vinokur_St_2	Myslijsy
1	в том что	16	16
2	сам по себе	1	5
3	в то же	1	5
4	не в том	2	5
5	одно и то	1	5
6	и то же	1	5
7	по отношению к	1	5
8	то же время	1	5
9	вместе с тем	5	4
10	с другой стороны	3	4
11	в то время	1	4
12	одним и тем	1	3
13	до сих пор	5	3
14	не только по	2	3
15	и тем же	1	3
16	что он не	4	3
17	и т д	6	3
18	в том смысле	2	3
19	более или менее	2	3
20	в свою очередь	1	3
21	для того чтобы	5	3
22	тем не менее	2	3
23	в том же	2	2
24	так и в	2	2
25	но и по	1	2
26	но вместе с	1	2
27	и в том	1	2
28	не только не	2	2
29	и т п	3	2
30	а между тем	1	2
31	к тому что	5	2
32	или лучше сказать	2	2
33	не следует однако	1	2
34	только потому что	2	2
35	потому что оно	1	2
36	в этом отношении	9	2
37	как бы ни	1	2
38	что в ней	1	2
39	том что он	5	2
40	в том чтобы	1	2
41	в чем же	1	1
42	заключается в том	1	1
43	о том что	11	1
44	так или иначе	1	1
45	том смысле что	1	1
46	и теперь еще	1	1
47	в котором была	1	1
48	должно было быть	1	1
49	для него самого	2	1
50	что мне представляется	1	1
51	тем что в	1	1
52	но все это	2	1
53	так что в	1	1
54	каждого из них	1	1
55	имея в виду	1	1
56	потому что они	1	1
57	по этому поводу	2	1
58	к тому же	2	1
59	на самом деле	1	1
60	при некотором внимании	1	1
61	не нуждаются в	1	1
62	ничего общего с	1	1
63	таким образом в	1	1
64	таких условиях и	1	1
65	за то что	2	1
66	там где нет	1	1
67	та что в	1	1
68	на то что	2	1
69	в связь с	1	1
70	уже потому что	1	1
71	есть нечто совершенно	1	1
72	при таких условиях	1	1
73	уже на первом	1	1
74	говоря уже о	1	1
75	но и с	2	1
76	между тем в	1	1
77	сами по себе	2	1
78	в самом деле	2	1
79	как мы видели	1	1
80	эти слова имеют	1	1
81	в данном случае	1	1
82	но столь же	1	1
83	не говоря уже	1	1
84	те или другие	1	1
85	него самого и	1	1
86	нет сомнения что	2	1
87	после того как	4	1
88	мы видели выше	1	1
89	том что она	1	1
90	в свое время	1	1
91	в этих словах	2	1
92	так и на	1	1
93	и как он	1	1
94	в том самом	1	1
95	того что и	1	1
96	том что слово	1	1
