N	2gram	Ircho_Kome_2	Narrotol
1	не только	7	32
2	может быть	11	25
3	но и	10	23
4	в качестве	5	21
5	и не	14	20
6	и в	26	19
7	в том	11	18
8	в этом	10	17
9	не в	2	14
10	в частности	4	14
11	том что	9	14
12	представляет собой	1	12
13	в рамках	1	12
14	а не	1	12
15	то что	6	11
16	а в	3	11
17	точки зрения	4	10
18	не может	3	10
19	в мире	2	9
20	так и	12	9
21	в его	4	9
22	со стороны	2	9
23	в себе	1	8
24	с другой	2	8
25	не является	2	8
26	еще не	6	7
27	по отношению	3	7
28	как в	3	7
29	все же	4	7
30	времени и	1	7
31	как и	4	7
32	к тому	12	7
33	а также	1	7
34	с одной	2	7
35	одной стороны	2	7
36	такого рода	1	7
37	с его	5	6
38	но не	3	6
39	в той	2	6
40	на протяжении	10	6
41	тем самым	1	6
42	в себя	1	6
43	о том	6	6
44	что он	5	6
45	именно в	1	6
46	как это	4	6
47	отношению к	3	6
48	том числе	3	6
49	но в	3	6
50	не все	1	5
51	отличие от	2	5
52	отнюдь не	2	5
53	и как	1	5
54	в этой	3	5
55	тому же	11	5
56	в отличие	2	5
57	по себе	1	5
58	в основе	1	5
59	и его	12	5
60	к себе	1	5
61	к нему	3	5
62	нуждается в	1	5
63	себя в	3	5
64	или иной	1	5
65	мира в	4	5
66	речь идет	3	4
67	то же	3	4
68	из которых	3	4
69	как правило	3	4
70	за собой	2	4
71	в нем	6	4
72	в принципе	2	4
73	в силу	2	4
74	но все	3	4
75	же не	2	4
76	и с	5	4
77	было бы	8	4
78	не мог	1	4
79	связи с	3	4
80	числе и	1	4
81	той или	1	4
82	не столько	1	4
83	одного из	1	4
84	же время	3	4
85	вслед за	2	4
86	только в	4	4
87	хотя бы	2	4
88	у него	4	4
89	что не	1	4
90	прежде всего	4	4
91	если не	2	4
92	как бы	2	4
93	да и	3	4
94	отличается от	1	4
95	же в	4	4
96	одной из	4	4
97	героя и	1	4
98	сказать что	1	4
99	другой стороны	1	4
100	в первом	2	3
101	в сущности	1	3
102	в ней	3	3
103	и на	7	3
104	бы то	2	3
105	в ее	2	3
106	если в	2	3
107	хотя и	4	3
108	когда он	1	3
109	что это	4	3
110	уже в	4	3
111	из этих	4	3
