1	и не	20	30
2	вовсе не	1	28
3	и в	19	27
4	может быть	25	25
5	не может	10	24
6	так и	9	21
7	и его	5	19
8	в этом	17	18
9	таким образом	1	18
10	а не	12	17
11	точки зрения	10	16
12	самом деле	2	16
13	то же	4	15
14	в нем	4	15
15	между ними	2	15
16	и пр	1	15
17	в процессе	1	15
18	с точки	2	14
19	как и	7	14
20	на самом	1	14
21	если бы	1	12
22	не в	14	12
23	в самом	1	11
24	и от	1	11
25	не могут	1	10
26	но и	23	10
27	место в	1	10
28	в действительности	1	9
29	так же	2	9
30	не только	32	9
31	лишь в	1	9
32	входит в	1	8
33	то что	11	8
34	и все	2	8
35	ни в	3	8
36	отнюдь не	5	8
37	как мы	3	8
38	как бы	4	8
39	как раз	2	8
40	только в	4	8
41	в пределах	2	8
42	что в	3	8
43	при этом	9	8
44	же время	4	7
45	его в	2	7
46	между тем	3	7
47	в том	18	7
48	совершенно не	2	7
49	в его	9	7
50	потому что	1	7
51	не менее	3	7
52	в то	3	7
53	здесь и	2	6
54	все эти	2	6
55	и для	2	6
56	более того	1	6
57	в литературе	2	6
58	действительности и	1	6
59	но в	6	6
60	оценки и	1	6
61	что он	6	6
62	с другой	8	6
63	все время	1	6
64	еще не	7	6
65	в данном	5	6
66	произведения в	1	6
67	и ее	2	6
68	хотя бы	4	6
69	все же	7	6
70	было бы	4	6
71	если же	1	5
72	сводится к	3	5
73	так сказать	1	5
74	без исключения	2	5
75	материала в	1	5
76	в ней	3	5
77	совсем не	1	5
78	ни было	3	5
79	лишь для	1	5
80	и потому	2	5
81	что именно	2	5
82	никогда не	3	5
83	в результате	2	5
84	независимо от	2	5
85	тем что	3	5
86	но не	6	5
87	между которыми	1	5
88	связи с	4	5
89	в художественном	1	5
90	и формы	1	5
91	тому как	2	5
92	не является	8	5
93	высказывания и	3	5
94	становится в	1	5
95	другой стороны	4	5
96	что они	3	5
97	мы можем	1	4
98	в ее	3	4
99	могут быть	3	4
100	не есть	3	4
101	произведение в	1	4
102	да и	4	4
103	его смысла	1	4
104	жанр есть	1	4
105	они не	2	4
106	том что	14	4
107	жизни и	3	4
108	к тому	7	4
109	в смысле	1	4
110	то ни	3	4
111	на ее	1	4
112	мы видели	1	4
113	в слове	1	4
114	и как	5	4
115	со стороны	9	4
116	между собой	2	4
117	бы то	3	4
118	подобно тому	2	4
119	данном случае	4	4
120	уже в	3	4
121	в связи	2	4
122	обстоит дело	1	4
123	роль в	2	4
124	как в	7	4
125	она не	2	4
126	как это	6	4
127	от всех	2	4
128	слов и	1	4
129	прежде всего	4	4
130	в целом	1	4
131	о том	6	4
132	по себе	5	4
133	и является	1	4
134	мы не	1	4
135	должна быть	2	3
136	для нас	1	3
137	всякое высказывание	1	3
138	высказывания как	1	3
139	он и	1	3
140	этом отношении	3	3
141	героя в	8	3
142	дело с	2	3
143	что это	3	3
144	они и	1	3
145	как таковой	1	3
146	уже не	5	3
147	является для	1	3
148	того же	1	3
149	может и	1	3
150	не нуждается	1	3
151	от его	1	3
152	в основе	5	3
153	не о	3	3
154	их в	1	3
155	как от	1	3
156	те же	4	3
157	в какой	2	3
158	во всех	1	3
159	столь же	3	3
160	и эта	1	3
161	в него	1	3
162	сказать что	4	3
163	его и	1	3
164	мы уже	1	3
165	и тем	4	3
166	нет и	2	3
167	оно не	2	3
168	имеет место	4	3
169	между людьми	1	3
170	все без	1	3
171	сливаются в	1	3
172	в той	6	3
173	одним из	2	3
174	только то	1	3
175	в виду	1	3
176	же как	3	3
177	к его	1	3
178	в них	1	3
179	отношению к	6	3
180	время в	2	3
181	и на	3	3
182	нуждается в	5	3
183	на фоне	1	3
184	в произведении	3	3
185	не на	2	3
186	и более	1	3
187	же самое	1	3
188	того что	1	3
189	между жизнью	1	3
190	о нем	4	3
191	у нас	1	3
192	формы в	1	3
193	можно сказать	5	3
194	мы и	1	3
195	и с	4	3
196	в себе	8	3
197	по отношению	7	3
198	в которых	1	3
199	в конце	1	3
200	целое и	1	3
201	это не	2	3
202	жизни в	3	3
203	жанров в	1	2
204	идет не	1	2
205	от этого	1	2
206	как не	1	2
207	отличается от	4	2
208	не знают	1	2
209	однако в	2	2
210	от него	1	2
211	является в	1	2
212	его от	1	2
213	жизни с	1	2
214	ни для	7	2
215	дело в	1	2
216	фабула и	1	2
217	сюжета как	1	2
218	что ни	1	2
219	отличная от	1	2
220	человека как	1	2
221	в сущности	3	2
222	от того	1	2
223	смысла но	2	2
224	связаны с	1	2
225	не являются	2	2
226	от одного	2	2
227	здесь не	4	2
228	не как	2	2
229	ту или	2	2
230	героя и	4	2
231	сами по	2	2
232	именно это	2	2
233	в единство	1	2
234	распадается на	1	2
235	бы быть	3	2
236	тем не	3	2
237	отличие от	5	2
238	с такой	1	2
239	и даже	3	2
240	в самой	1	2
241	ними и	1	2
242	одну из	2	2
243	одна из	3	2
244	не утрачивая	1	2
245	и во	1	2
246	в этой	5	2
247	и др	2	2
248	друга в	1	2
249	внутренней речи	1	2
250	мы увидим	1	2
251	совпадает с	1	2
252	к которому	2	2
253	из нее	1	2
254	на земле	1	2
255	автора с	1	2
256	на протяжении	6	2
257	какой бы	1	2
258	характерно что	1	2
259	принадлежат к	1	2
260	и внутреннего	1	2
261	ни с	1	2
262	даже в	2	2
263	случае с	1	2
264	поэтому и	1	2
265	не могло	2	2
266	ничего не	2	2
267	с его	6	2
268	что этот	1	2
269	человека в	2	2
270	в следующей	1	2
271	или иной	5	2
272	в таком	2	2
273	данный момент	1	2
274	в котором	1	2
275	и тогда	1	2
276	не от	2	2
277	известной степени	1	2
278	но уже	1	2
279	действующих лиц	1	2
280	в области	1	2
281	и сами	1	2
282	и со	1	2
283	жизнью и	2	2
284	одной из	4	2
285	а иногда	2	2
286	то по	1	2
287	дело не	1	2
288	лишь одним	1	2
289	отношения к	2	2
290	таким же	1	2
291	говорить о	2	2
292	отдельных элементов	1	2
293	что и	1	2
294	отношения между	1	2
295	может иметь	1	2
296	он может	1	2
297	ориентировано на	1	2
298	к самому	2	2
299	в отличие	5	2
300	вытекает из	1	2
301	этом смысле	1	2
302	что каждый	1	2
303	бы не	2	2
304	а на	1	2
305	быть только	1	2
306	неотделимо от	1	2
307	с таким	1	2
308	возможно лишь	1	2
309	или иное	2	2
310	входя в	1	2
311	но это	1	2
312	поскольку оно	2	2
313	отвлечении от	2	2
314	и тех	1	2
315	в россии	1	2
316	как о	1	2
317	становления и	1	2
318	акта и	1	2
319	в отвлечении	2	2
320	из этих	3	2
321	из них	3	2
322	этого слова	2	2
323	не об	1	2
324	от других	1	2
325	даль и	1	2
326	то в	6	2
327	к другому	2	2
328	какой это	1	2
329	то или	3	2
330	это и	3	2
331	в общем	1	2
332	в своем	2	2
333	и только	2	2
334	к полюсу	1	2
335	с ее	3	2
336	на этом	1	2
337	до известной	1	2
338	очевидно что	1	2
339	наконец в	2	1
340	различные формы	1	1
341	для него	2	1
342	есть система	1	1
343	всех без	1	1
344	ему в	2	1
345	ключ к	2	1
346	и того	1	1
347	словарного слова	1	1
348	мира в	5	1
349	том или	2	1
350	у большинства	1	1
351	друг с	1	1
352	сюжета или	1	1
353	утверждать что	2	1
354	один и	1	1
355	эпизодов и	1	1
356	к своему	1	1
357	в их	1	1
358	оно может	2	1
359	облекается в	1	1
360	быть не	1	1
361	что смысл	1	1
362	есть уже	1	1
363	всей его	2	1
364	ними не	1	1
365	и быть	1	1
366	границы между	1	1
367	же в	4	1
368	хотя и	3	1
369	формы их	1	1
370	существенную роль	1	1
371	в различные	1	1
372	от одной	2	1
373	в данный	1	1
374	как таковых	1	1
375	даже не	3	1
376	но он	1	1
377	с другом	1	1
378	для кого	1	1
379	ответную реакцию	1	1
380	а событие	1	1
381	там же	1	1
382	и должна	1	1
383	к этим	1	1
384	языка и	2	1
385	анекдот и	1	1
386	может приобрести	1	1
387	как результат	1	1
388	человека с	1	1
389	одной стороны	7	1
390	чтобы стать	2	1
391	не распадается	1	1
392	тематические и	1	1
393	имеем никакого	1	1
394	в начале	1	1
395	а от	1	1
396	одного из	4	1
397	и взаимодействия	1	1
398	в нашей	1	1
399	есть не	1	1
400	в собственном	2	1
401	и здесь	1	1
402	ни одного	1	1
403	очевидным что	1	1
404	событие общения	1	1
405	вопрос как	1	1
406	художественного высказывания	2	1
407	каков бы	1	1
408	мере в	1	1
409	иметь в	1	1
410	в частности	14	1
411	рассказываемого события	1	1
412	в какую	1	1
413	от тех	1	1
414	той мере	1	1
415	с ним	1	1
416	понимания жизни	1	1
417	мира и	2	1
418	глава вторая	1	1
419	ценностного кругозора	1	1
420	как известно	2	1
421	самым существенным	1	1
422	факт или	1	1
423	не сводится	2	1
424	к реальному	1	1
425	или иных	1	1
426	между двумя	5	1
427	но имеется	1	1
428	не самой	1	1
429	мы имеем	2	1
430	не входит	1	1
431	самого рассказывания	1	1
432	к единому	1	1
433	произведения не	1	1
434	высказывания не	1	1
435	в двух	2	1
436	европейского романа	1	1
437	этой точки	2	1
438	может заменить	1	1
439	ни одна	1	1
440	сыну а	1	1
441	должен был	1	1
442	за другой	1	1
443	то у	1	1
444	в принципе	4	1
445	той или	4	1
446	события но	2	1
447	и по	1	1
448	он не	3	1
449	рассказа в	1	1
450	что мы	2	1
451	не могла	1	1
452	при всем	2	1
453	данном контексте	1	1
454	таком случае	2	1
455	читателю больше	1	1
456	конца в	1	1
457	в речи	1	1
458	говорит о	2	1
459	начала и	1	1
460	оно есть	1	1
461	можно назвать	1	1
462	себе а	1	1
463	в художественных	1	1
464	высказываний в	1	1
465	или даже	2	1
466	жеста и	1	1
467	тому чтобы	1	1
468	событие самого	1	1
469	та же	2	1
470	глава первая	1	1
471	и у	1	1
472	исходя из	2	1
473	же обстоит	1	1
474	формы целого	1	1
475	высказывания а	1	1
476	в первый	1	1
477	в качестве	21	1
478	тем самым	6	1
479	литературы а	1	1
480	или ином	2	1
481	рассказываемое событие	2	1
482	и иных	1	1
483	во времени	8	1
484	в первом	3	1
485	а то	1	1
486	все окружающее	1	1
487	в готовом	1	1
488	но по	1	1
489	от понятия	1	1
490	в первую	1	1
491	в форме	5	1
492	и делает	1	1
493	об этом	1	1
494	единству где	1	1
495	отца к	1	1
496	есть акт	1	1
497	и то	1	1
498	настоящего времени	1	1
499	взаимодействия людей	1	1
500	поэтической речи	1	1
501	не противоречит	1	1
502	одного сознания	2	1
503	в жизненной	1	1
504	совершенно очевидно	2	1
505	связь и	1	1
506	по существу	2	1
507	к сыну	1	1
508	в развитии	1	1
509	сознания в	1	1
510	и определяется	1	1
511	или иначе	3	1
512	его жизненных	1	1
513	она могла	1	1
514	один из	3	1
515	в это	1	1
516	его жизненной	1	1
517	вместе со	1	1
518	ситуации высказывания	1	1
519	понимал и	1	1
520	или напротив	4	1
521	себя в	5	1
522	жизненной практике	1	1
523	события в	2	1
524	мир не	1	1
525	именно в	6	1
526	с другими	1	1
527	том числе	6	1
528	о котором	1	1
529	к прошлому	1	1
530	возможностей в	1	1
531	определяется не	1	1
532	и событие	1	1
533	материала не	1	1
534	внутреннее содержание	1	1
535	нет ничего	1	1
536	не будет	3	1
537	одно из	2	1
538	с начала	1	1
539	из двух	3	1
540	до сих	1	1
541	но все	4	1
542	можно было	2	1
543	обычно является	1	1
544	который в	2	1
545	не знает	1	1
546	а в	11	1
547	на другое	1	1
548	или иного	2	1
549	для всего	1	1
550	стороны высказывания	1	1
551	как ни	2	1
552	ее содержание	1	1
553	какую бы	1	1
554	классические образцы	1	1
555	в значительной	2	1
556	структуры в	2	1
557	типическая форма	1	1
558	самой его	1	1
559	все то	2	1
560	значительной степени	2	1
561	и столь	1	1
562	как у	1	1
563	герой вовсе	1	1
564	же не	4	1
565	неотделима от	1	1
566	тех или	1	1
567	в мире	9	1
568	сам по	1	1
569	а о	1	1
570	его по	2	1
571	не поддается	1	1
572	как таковое	1	1
573	не должен	1	1
574	иногда и	1	1
575	этом не	1	1
576	все те	4	1
577	и совершенно	1	1
578	не так	1	1
579	и через	1	1
580	глава третья	1	1
581	не с	3	1
582	одного слова	1	1
583	зависит от	2	1
584	в специальном	1	1
585	это же	1	1
586	видеть в	1	1
587	не имеем	1	1
588	с одной	7	1
589	этого понятия	2	1
590	в чистом	1	1
591	не было	2	1
592	ни был	1	1
593	в другое	1	1
594	в себя	6	1
595	этого единства	1	1
596	этот ряд	1	1
597	такого высказывания	1	1
598	с чисто	1	1
599	на него	3	1
600	к одному	1	1
601	к другой	2	1
602	и который	1	1
603	зрения на	2	1
604	быть и	1	1
605	двух сознаний	1	1
606	переход от	4	1
607	в общую	1	1
608	сих пор	1	1
609	если это	1	1
610	тот или	1	1
611	значении термина	1	1
612	может идти	1	1
613	это определение	1	1
614	чистом виде	1	1
615	в какой-то	1	1
616	высказывания в	6	1
617	что как	1	1
618	может оказаться	2	1
619	дело здесь	1	1
620	и при	1	1
621	нас в	1	1
622	на первый	2	1
623	х годов	1	1
624	ему не	1	1
625	связаны между	1	1
626	и существенно	1	1
627	из жизни	1	1
628	тот же	1	1
629	все их	2	1
630	не удается	1	1
631	высказывания жанр	1	1
632	и вообще	1	1
633	могла стать	1	1
634	служит для	1	1
635	ничем не	1	1
636	и символическое	1	1
637	не происходит	1	1
638	то и	1	1
639	с этой	1	1
640	ни единого	1	1
641	и до	2	1
642	слова в	1	1
643	и может	1	1
644	от отца	1	1
645	она может	2	1
646	теми же	1	1
647	и тот	2	1
648	всех его	2	1
649	и времени	1	1
650	тоже не	1	1
651	он существует	1	1
652	одного и	1	1
653	не видеть	1	1
654	числе и	4	1
655	здесь в	1	1
656	это ощущение	1	1
657	строго говоря	1	1
658	представляется нам	1	1
659	за пределами	1	1
660	обращения к	1	1
661	с читателем	1	1
662	или иную	2	1
663	двоякого рода	1	1
664	к предмету	1	1
665	предположению что	1	1
666	которое мы	1	1
667	есть в	2	1
668	того или	2	1
669	от всего	1	1
670	бы уже	1	1
671	то было	1	1
672	является как	1	1
673	о чем	2	1
674	формы высказывания	1	1
675	в современной	1	1
676	между художественным	1	1
677	так или	2	1
678	есть всегда	2	1
679	от предмета	1	1
680	есть типическая	1	1
681	том же	1	1
682	говорящих и	1	1
