N	3gram	Trubetskoy_1	Narrotol
1	в том что	3	8
2	с одной стороны	7	7
3	о том что	4	6
4	по отношению к	1	6
5	в том числе	5	6
6	в отличие от	1	5
7	не может быть	1	5
8	все те же	1	4
9	том числе и	4	4
10	в данном случае	1	4
11	к тому же	4	4
12	с другой стороны	1	4
13	той или иной	2	4
14	но все же	4	4
15	можно сказать что	2	4
16	состоит в том	1	3
17	бы то ни	2	3
18	в этом отношении	2	3
19	то ни было	2	3
20	тем не менее	3	3
21	то же время	2	3
22	в свою очередь	1	3
23	в то же	2	3
24	по всей вероятности	1	2
25	не может не	1	2
26	более или менее	5	2
27	в том или	1	2
28	с точки зрения	6	2
29	в таком случае	1	2
30	сами по себе	1	2
31	точно так же	3	2
32	то или иное	2	2
33	так же как	3	2
34	в первом случае	1	2
35	в связи с	3	2
36	этой точки зрения	2	2
37	речь идет о	1	2
38	том или ином	1	2
39	так или иначе	3	2
40	и того же	1	1
41	что в этом	1	1
42	поскольку с одной	1	1
43	в этом последнем	1	1
44	одной из этих	1	1
45	в самом деле	1	1
46	лишь постольку поскольку	1	1
47	то же самое	2	1
48	из двух или	1	1
49	по крайней мере	5	1
50	но далеко не	1	1
51	до сих пор	5	1
52	и в то	1	1
53	до известной степени	1	1
54	в первую очередь	1	1
55	только то что	1	1
56	и после смерти	2	1
57	жизни то есть	1	1
58	с этой точки	2	1
59	некоторые из них	2	1
60	может быть и	2	1
61	может и не	1	1
62	к нему в	1	1
63	же самое происходит	1	1
64	и т.д в	1	1
65	и тот же	1	1
66	в духовном отношении	1	1
67	а с другой	5	1
68	иметь в виду	1	1
69	то что он	2	1
70	а не как	1	1
71	так и от	2	1
72	один из этих	1	1
73	один и тот	1	1
74	но по существу	1	1
75	так и в	1	1
76	может показаться что	1	1
77	с этого момента	1	1
78	одного и того	1	1
79	не представляется возможным	1	1
80	друг с другом	5	1
81	в соответствии с	1	1
82	в себе не	1	1
