1	в том что	8	15
2	по отношению к	5	9
3	до сих пор	1	8
4	с точки зрения	2	8
5	а между тем	1	8
6	для того чтобы	1	7
7	более или менее	1	7
8	на самом деле	2	7
9	по сравнению с	1	5
10	к тому же	4	5
11	так или иначе	1	5
12	в самом деле	1	5
13	начало и конец	1	4
14	тем не менее	4	4
15	о том что	4	4
16	и того же	1	3
17	не может не	1	3
18	в связи с	1	3
19	одного и того	1	3
20	не может быть	2	3
21	никогда не будет	1	3
22	так же как	2	3
23	в данном случае	6	3
24	и все что	1	2
25	а с другой	1	2
26	во всяком случае	1	2
27	двух или нескольких	1	2
28	в то же	3	2
29	в том виде	1	2
30	с одной стороны	5	2
31	то же время	3	2
32	в то время	1	2
33	но с другой	1	1
34	по его мнению	1	1
35	не совпадающей с	1	1
36	только по отношению	1	1
37	на первый взгляд	1	1
38	и не может	2	1
39	к тому что	3	1
40	никак не может	1	1
41	тем более что	1	1
42	в зависимости от	1	1
43	именно в такой	1	1
44	но в целом	1	1
45	в то что	1	1
46	но при этом	3	1
47	в противоречие с	1	1
48	приходится искать в	1	1
49	то же самое	1	1
50	пока еще не	1	1
51	в другом только	1	1
52	а потому не	1	1
53	и в жизни	1	1
54	хотя и не	2	1
55	можно представить себе	1	1
56	иначе говоря для	1	1
57	что у него	1	1
58	можно было бы	1	1
59	том или ином	1	1
60	в данный момент	1	1
61	с этой точки	1	1
62	это действительно так	1	1
63	я не могу	1	1
64	то время как	1	1
65	точки зрения на	1	1
66	тогда как сам	1	1
67	и с точки	1	1
68	не в том	1	1
69	но и сам	1	1
70	вместо того чтобы	1	1
71	в нем не	1	1
72	точно так же	2	1
73	что все эти	1	1
74	том виде в	1	1
75	и в другом	1	1
76	этой точки зрения	1	1
77	что он может	1	1
78	в том или	1	1
79	лишь то что	1	1
80	а в том	2	1
81	состоит в том	4	1
82	то есть в	1	1
83	и у нас	2	1
84	мысль о том	2	1
85	таким образом для	1	1
86	и так или	1	1
87	все то что	2	1
88	иметь в виду	1	1
89	в этом последнем	1	1
90	точки зрения настоящего	1	1
91	не только не	2	1
92	свидетельствует о том	1	1
