N	3gram	Bakhtin_KF_1	NovoeSre
1	не может быть	11	4
2	в средние века	1	3
3	со всех сторон	1	3
4	не значит что	1	3
5	никогда не было	1	2
6	равно как и	1	2
7	в этом смысле	3	2
8	он не может	1	2
9	вместе с тем	1	2
10	это не значит	1	2
11	когда мы говорим	1	2
12	не в смысле	1	2
13	он не имеет	1	2
14	вопрос о том	2	2
15	и того же	1	1
16	для этого конечно	1	1
17	а не к	1	1
18	нужно помнить что	1	1
19	но это уже	2	1
20	а не в	2	1
21	одного и того	1	1
22	не есть принцип	1	1
23	не было и	1	1
24	но сам этот	1	1
25	характер и в	1	1
26	как это было	1	1
27	и во всех	1	1
28	в зависимости от	1	1
29	может быть только	7	1
30	и не в	1	1
31	в том случае	1	1
32	этого мира не	1	1
33	том смысле в	1	1
34	но нет и	1	1
35	я исхожу из	1	1
36	что в эту	1	1
37	в известном смысле	1	1
38	в котором и	3	1
39	не в том	1	1
40	жизнь не может	1	1
41	этого не знает	1	1
42	во всяком случае	1	1
43	не должно быть	1	1
44	я не могу	1	1
45	ни в чем	4	1
46	в значительной степени	1	1
47	других людей и	1	1
48	весь мир все	1	1
49	мы говорим о	1	1
50	в большинстве случаев	1	1
51	в том смысле	1	1
52	а это предполагает	1	1
53	это не есть	3	1
54	быть не может	1	1
55	в том что	2	1
56	должен быть признан	1	1
57	конечно не в	1	1
