N	3gram	Medvedev_F_3	NovoeSre
1	в высшей степени	2	6
2	не может быть	14	4
3	подобно тому как	4	3
4	со всех сторон	1	3
5	равно как и	2	2
6	в этом смысле	2	2
7	это совсем не	1	2
8	в нем нет	1	2
9	вместе с тем	3	2
10	так же как	1	2
11	с одной стороны	1	2
12	это не значит	1	2
13	с другой стороны	5	2
14	она не может	1	2
15	это связано с	1	1
16	и того же	1	1
17	что в этом	1	1
18	и в жизни	1	1
19	а не в	3	1
20	одного и того	1	1
21	в том числе	1	1
22	жизни и творчества	1	1
23	до сих пор	1	1
24	и не может	4	1
25	в зависимости от	5	1
26	сами по себе	2	1
27	в отличие от	2	1
28	в основе их	1	1
29	тому как в	1	1
30	том числе и	1	1
31	можно было бы	1	1
32	не привела бы	1	1
33	может быть только	2	1
34	привела бы к	1	1
35	человека и в	1	1
36	быть понята как	1	1
37	не только в	1	1
38	и не могут	3	1
39	в такой же	1	1
40	не в том	1	1
41	во всяком случае	6	1
42	никогда не привела	1	1
43	о том что	1	1
44	и пр в	1	1
45	в значительной степени	1	1
46	но для этого	1	1
47	и вместе с	1	1
48	место в жизни	2	1
49	выходит за пределы	1	1
50	которые могут быть	1	1
51	в большинстве случаев	4	1
52	и быть не	1	1
53	в том что	3	1
54	как и в	1	1
55	в россии и	1	1
