N	2gram	Tiupa_Lite_2	NovoeSre
1	а не	20	17
2	и в	19	16
3	не может	9	16
4	во имя	2	15
5	и не	11	11
6	что в	4	9
7	в том	10	8
8	жизни и	4	8
9	он не	5	8
10	культуры и	1	7
11	в этом	9	7
12	в новой	1	7
13	может быть	17	7
14	как и	10	7
15	от бога	1	6
16	не в	4	6
17	никогда не	3	6
18	но это	3	6
19	не знает	2	6
20	с ее	2	5
21	в ней	4	5
22	истории в	1	5
23	культуры в	1	5
24	и к	2	5
25	не только	8	5
26	в жизни	2	5
27	в нем	3	5
28	быть может	3	4
29	о том	2	4
30	и мы	1	4
31	перестает быть	3	4
32	в них	2	4
33	то что	7	4
34	это не	1	4
35	прежде всего	4	4
36	не было	2	4
37	есть лишь	1	4
38	и потому	1	4
39	истории к	1	4
40	не менее	6	4
41	и для	3	4
42	не имеет	1	4
43	и все	1	4
44	потому что	2	4
45	с другой	8	3
46	в ее	2	3
47	в ночи	1	3
48	должна быть	1	3
49	еще не	2	3
50	во всех	3	3
51	за пределы	1	3
52	в истории	2	3
53	наряду с	1	3
54	как в	1	3
55	подобно тому	2	3
56	в мире	9	3
57	но и	10	3
58	стремится к	1	3
59	с тем	2	3
60	в своей	1	3
61	к жизни	2	3
62	тому как	2	3
63	в россии	2	3
64	революции и	1	3
65	в основе	2	3
66	к ее	1	3
67	жизни в	4	3
68	к тому	1	3
69	в наши	1	3
70	дня и	1	3
71	же как	2	2
72	более не	1	2
73	это и	1	2
74	можно было	1	2
75	так и	7	2
76	мы не	4	2
77	мира и	1	2
78	и с	3	2
79	для этого	2	2
80	я не	5	2
81	жизни как	2	2
82	вот почему	1	2
83	и что	2	2
84	и на	6	2
85	времени в	1	2
86	должно было	1	2
87	на протяжении	1	2
88	но не	5	2
89	в новом	1	2
90	жизни все	1	2
91	все время	1	2
92	нового типа	1	2
93	ни к	1	2
94	но в	2	2
95	который в	1	2
96	в обществе	1	2
97	все эти	1	2
98	с одной	7	2
99	себя в	6	2
100	есть в	1	2
101	в себе	6	2
102	уже не	2	2
103	не к	2	2
104	том чтобы	3	2
105	у него	2	2
106	люди не	1	2
107	нет и	1	2
108	и даже	8	2
109	и т.п	10	2
110	к более	1	2
111	права на	3	2
112	и было	1	2
113	том что	7	2
114	вместе с	5	2
115	так же	1	2
116	мы говорим	1	2
117	место в	1	2
118	мысли и	2	2
119	одной стороны	6	2
120	такого рода	9	2
121	другой стороны	4	2
122	обращение к	1	2
123	по существу	3	2
124	в духовной	1	2
125	как это	2	2
126	такой же	3	2
127	в смысле	1	2
128	в то	9	2
129	одна из	5	2
130	того чтобы	1	2
131	и от	1	2
132	в русском	2	2
133	хотя бы	2	2
134	а в	3	2
135	в будущем	1	2
136	свободы от	1	2
137	могут быть	2	2
138	свободы и	1	2
139	и культуры	1	2
140	можно назвать	1	2
141	тоской по	1	1
142	зависимость от	2	1
143	что образ	1	1
144	их будет	1	1
145	ни одно	1	1
146	для себя	2	1
147	переход от	1	1
148	более широкого	1	1
149	перед лицом	1	1
150	по преимуществу	2	1
151	приводит к	1	1
152	и до	2	1
153	культуры на	1	1
154	превыше всего	1	1
155	слова а	1	1
156	в образе	1	1
157	на нее	1	1
158	не с	3	1
159	мысли мои	1	1
160	еще в	4	1
161	во тьму	1	1
162	и трудно	1	1
163	на место	1	1
164	советской россии	1	1
165	с ним	2	1
166	был понят	1	1
167	нас и	1	1
168	можно сказать	1	1
169	в дальний	1	1
170	без религиозного	1	1
171	на себя	2	1
172	движения и	1	1
173	как я	3	1
174	в виду	2	1
175	власти в	1	1
176	это я	1	1
177	еще при	1	1
178	думаю что	1	1
179	в недрах	1	1
180	творческий процесс	1	1
181	на нем	1	1
182	же мере	1	1
183	себя а	1	1
184	в чем	1	1
185	не могу	2	1
186	нет у	1	1
187	не могут	1	1
188	своего рода	13	1
189	он легко	1	1
190	то он	1	1
191	переходит в	1	1
192	мы вновь	1	1
193	в его	4	1
194	в эти	1	1
195	есть по	2	1
196	себе и	3	1
197	отличие от	1	1
198	и только	2	1
