1	и в	1	29
2	в этом	2	21
3	но и	1	19
4	не только	1	19
5	он не	4	9
6	а не	2	5
7	для него	2	4
8	в другом	1	4
9	должен был	1	4
10	никогда не	1	3
11	и он	1	3
12	но он	1	3
13	если бы	1	2
14	которой в	1	2
15	также и	1	2
16	говорит о	1	2
17	и дело	1	2
18	его в	1	2
19	как и	1	2
20	он был	1	2
21	другом месте	1	2
22	в отношении	1	2
23	было для	1	2
24	различие между	2	1
25	от него	2	1
26	том-то и	1	1
27	те которые	2	1
28	в борьбе	1	1
29	не совпадает	1	1
30	в том-то	1	1
31	но оно	1	1
32	над его	1	1
33	отношение к	1	1
34	что она	1	1
35	не те	1	1
36	у него	1	1
37	он сам	1	1
38	что для	1	1
39	одна из	1	1
