N	3gram	Vygotskiy__2	PoTuStor
1	с точки зрения	10	6
2	на самом деле	5	4
3	с самого начала	1	4
4	в этом смысле	1	3
5	до сих пор	5	3
6	по крайней мере	1	3
7	по сравнению с	2	3
8	во всяком случае	2	3
9	не может быть	8	3
10	может быть это	1	3
11	можно сказать что	1	3
12	а потому и	1	2
13	и может быть	1	2
14	по аналогии с	1	2
15	так же как	4	2
16	в самом деле	11	2
17	не могут быть	1	2
18	в переводе на	1	2
19	о том что	4	2
20	в конечном счете	3	2
21	нечего и говорить	1	2
22	и того же	1	1
23	и в практике	1	1
24	форма и содержание	1	1
25	мы имеем в	1	1
26	имеем в виду	1	1
27	знаем что и	1	1
28	методом и с	1	1
29	подобно тому как	2	1
30	он может быть	1	1
31	одного и того	1	1
32	то же самое	6	1
33	же как и	1	1
34	бы то ни	2	1
35	и та же	1	1
36	в области психологии	1	1
37	в этом отношении	5	1
38	можно было бы	4	1
39	как и всегда	1	1
40	все эти понятия	1	1
41	с этой точки	1	1
42	вместе с тем	1	1
43	полном согласии с	1	1
44	так как он	1	1
45	же что и	1	1
46	и со всеми	1	1
47	в данном случае	4	1
48	то ни было	1	1
49	с одной стороны	1	1
50	в высшей степени	1	1
51	и в чем	1	1
52	в связи с	1	1
53	бессознательное по самому	1	1
54	смысл и значение	1	1
55	а с другой	1	1
56	имеем дело с	1	1
57	и как всякий	1	1
58	и проч отсюда	1	1
59	в этом и	1	1
60	же самое и	1	1
61	в свое время	1	1
62	в том что	17	1
63	было на самом	1	1
64	этой точки зрения	2	1
65	и таким образом	2	1
66	мы видим и	1	1
67	что в этой	2	1
68	связи с этим	1	1
69	одна и та	1	1
70	любовь к матери	1	1
71	в область бессознательного	1	1
72	свой метод к	1	1
73	что иное как	1	1
74	в бессознательном и	1	1
75	мы знаем что	4	1
76	таким образом и	3	1
77	в полном согласии	1	1
78	в том смысле	1	1
79	не что иное	1	1
80	психологии а в	1	1
81	и что он	1	1
82	что в них	1	1
83	друг с другом	1	1
84	и мы можем	1	1
85	для того чтобы	13	1
86	случае не может	1	1
87	может быть даже	1	1
88	будет как раз	1	1
89	мы увидим что	1	1
