N	2gram	Bakhtin_Pr_1	Poddanst
1	не только	15	17
2	и в	29	14
3	и не	31	12
4	в области	1	11
5	в этом	22	10
6	в отношении	2	10
7	в качестве	1	9
8	но в	7	9
9	то же	14	9
10	в том	8	9
11	в пределах	13	8
12	хотя бы	2	8
13	только в	10	7
14	в то	10	7
15	же время	9	7
16	в ней	2	6
17	было бы	5	6
18	но и	14	6
19	в смысле	2	6
20	отношении к	3	5
21	в которых	2	5
22	с другой	3	5
23	может быть	24	5
24	и пр	3	5
25	не в	7	5
26	и о	5	5
27	если бы	9	4
28	тех кто	1	4
29	в своем	8	4
30	и к	2	4
31	как бы	19	4
32	и если	1	4
33	том что	7	4
34	не может	12	4
35	и потому	6	4
36	в котором	2	4
37	по себе	8	4
38	на пути	2	4
39	в русской	1	4
40	что в	8	4
41	мы должны	3	4
42	же в	2	4
43	а в	7	4
44	то что	15	4
45	и т	4	3
46	мы не	1	3
47	между тем	5	3
48	это не	9	3
49	хотя и	1	3
50	и как	7	3
51	тот же	2	3
52	в себе	7	3
53	в нем	19	3
54	сами по	3	3
55	в россии	2	3
56	для того	1	3
57	заключается в	1	3
58	прежде всего	7	3
59	что мы	1	3
60	с точки	13	3
61	но не	9	3
62	могут быть	6	3
63	т е	21	3
64	потому что	8	3
65	точки зрения	19	3
66	и это	5	2
67	отношения к	3	2
68	например в	3	2
69	в ее	1	2
70	и есть	2	2
71	в мире	6	2
72	начала и	2	2
73	по сравнению	1	2
74	является в	1	2
75	есть нечто	1	2
76	только это	1	2
77	никак не	2	2
78	во всех	1	2
79	во всей	2	2
80	со стороны	1	2
81	с этим	2	2
82	того что	1	2
83	стороны и	1	2
84	бы ни	1	2
85	в начале	1	2
86	и других	1	2
87	в его	24	2
88	из них	1	2
89	и вот	1	2
90	сторона вопроса	1	2
91	как раз	6	2
92	в статье	1	2
93	и с	4	2
94	точек зрения	3	2
95	полной мере	1	2
96	как факт	1	2
97	именно в	5	2
98	и мы	1	2
99	мира с	1	2
100	в жизни	2	2
101	для них	1	2
102	в них	3	2
103	не было	4	2
104	а не	22	2
105	должно быть	4	2
106	не столько	1	2
107	реальность и	1	2
108	друг другу	2	2
109	что из	2	2
110	все это	6	2
111	не о	2	2
112	на этих	1	2
113	одна из	3	2
114	русский народ	1	2
115	слова но	2	2
116	она ни	1	2
117	в полной	1	2
118	может и	1	2
119	в частности	1	2
120	как на	3	2
121	от этой	1	1
122	также что	1	1
123	проблема эта	1	1
124	же как	1	1
125	с другом	1	1
126	но чтобы	1	1
127	века но	1	1
128	нового не	1	1
129	тем же	1	1
130	и этим	3	1
131	в себя	3	1
132	культурной традиции	2	1
133	по преимуществу	2	1
134	на две	1	1
135	в рамки	2	1
136	должна быть	5	1
137	его нет	1	1
138	те же	2	1
139	по природе	1	1
140	в борьбе	1	1
141	и само	1	1
142	ибо только	1	1
143	что дело	1	1
144	для этого	1	1
145	творчества они	1	1
146	находится в	2	1
147	оно есть	1	1
148	на себя	2	1
149	и ее	2	1
150	слова о	1	1
151	именно потому	2	1
152	и здесь	3	1
153	судеб и	1	1
154	видение и	1	1
155	настоящее время	1	1
156	и что	2	1
157	как таковые	1	1
158	еще не	5	1
159	были бы	4	1
160	и на	7	1
161	мира а	1	1
162	оно ни	2	1
163	с его	9	1
164	высшая реальность	1	1
165	увидеть и	1	1
166	в противоречии	1	1
167	не все	1	1
168	что и	4	1
169	современности и	1	1
170	и достоевский	1	1
171	и чем	1	1
172	перед тем	1	1
173	в истории	2	1
174	в рамках	1	1
175	вот как	1	1
176	известном смысле	1	1
177	все же	9	1
178	современности в	1	1
179	сочетаются с	1	1
180	мы видим	2	1
181	более или	1	1
182	в какой	1	1
183	должен быть	1	1
184	тяготеет к	2	1
185	духа в	1	1
186	в самом	10	1
187	только то	3	1
188	в условиях	2	1
189	но как	3	1
190	в которой	2	1
191	во времени	3	1
192	бы и	4	1
193	что это	1	1
194	формы в	1	1
195	могли бы	2	1
196	у каждого	1	1
197	из этих	1	1
198	если мы	1	1
199	в окружающем	1	1
200	именно на	2	1
201	себя в	1	1
202	в известном	1	1
203	под его	1	1
204	сливаются в	1	1
205	мира но	2	1
206	уже в	3	1
207	говорить об	1	1
208	в большинстве	2	1
209	но на	1	1
210	в европейском	1	1
211	получили в	1	1
212	личный опыт	1	1
213	в мир	3	1
214	т д	1	1
215	к миру	1	1
216	только к	1	1
217	соприкасается с	1	1
218	мир в	3	1
219	одно из	2	1
220	есть та	1	1
221	не как	14	1
222	иная форма	1	1
223	иначе как	1	1
224	что каждая	1	1
225	к ним	1	1
226	друг друга	3	1
227	чтобы в	2	1
228	самосознание и	3	1
229	и только	1	1
230	само по	3	1
231	какой бы	2	1
232	и по	1	1
233	дело идет	5	1
234	прежде чем	1	1
235	одно и	1	1
236	от нее	1	1
237	бы это	1	1
238	в каждом	8	1
239	как автор	1	1
240	реальность в	1	1
241	ней и	1	1
242	из всех	1	1
243	развития в	1	1
244	большинстве случаев	2	1
245	его в	6	1
246	ощущается как	1	1
247	или чисто	1	1
248	но историческая	1	1
249	бы эти	1	1
250	и быть	1	1
251	весь мир	1	1
252	а с	1	1
253	что не	1	1
254	в живом	1	1
255	но есть	1	1
256	по всему	1	1
257	на свои	1	1
258	к более	2	1
259	из нее	1	1
260	где он	1	1
261	далеко не	3	1
262	в этой	4	1
263	идеи в	9	1
264	личности не	1	1
265	черты в	1	1
266	как и	12	1
267	и уже	2	1
268	в свете	4	1
269	ведет к	1	1
270	в бытии	1	1
271	не об	2	1
272	нисколько не	2	1
273	в одно	1	1
274	бы как	2	1
275	должна была	4	1
276	и еще	1	1
277	или менее	1	1
278	бы оно	1	1
279	в творчестве	5	1
280	творчестве достоевского	5	1
281	люди и	1	1
282	так же	6	1
283	и особенно	1	1
284	идеи идея	1	1
285	всяком случае	3	1
286	к предмету	1	1
287	что именно	1	1
288	место в	1	1
289	мысли и	5	1
290	в данном	2	1
291	вопрос о	2	1
292	только идея	1	1
293	сравнению с	1	1
294	как одна	1	1
295	общее ощущение	1	1
296	совершенно новое	2	1
297	он живет	1	1
298	теми же	1	1
299	что было	4	1
300	эти черты	1	1
301	и завершающего	1	1
302	как к	3	1
303	там где	10	1
304	в процесс	1	1
305	друг с	2	1
306	существенно и	3	1
307	того кто	1	1
308	и менее	1	1
309	и великого	1	1
310	к следующему	1	1
311	об идее	1	1
312	ни были	2	1
313	вячеслав иванов	3	1
314	сущности не	1	1
315	в основном	1	1
316	xviii века	1	1
317	лиц и	1	1
318	с которой	2	1
319	она не	7	1
320	к идеям	1	1
321	входят в	2	1
322	мире в	3	1
323	которые были	2	1
324	этом смысле	10	1
325	противоречии с	1	1
326	в сферу	1	1
327	того чтобы	1	1
328	нем в	2	1
329	та или	1	1
330	она может	1	1
331	не имеет	1	1
332	рассматривать как	1	1
333	никогда не	3	1
334	и всегда	1	1
335	в результате	4	1
336	в настоящее	1	1
337	или иным	1	1
338	творчества если	1	1
339	тот мир	1	1
340	или иная	1	1
341	они являются	1	1
342	и притом	1	1
343	среды в	1	1
344	другой стороны	3	1
345	духа а	1	1
346	только что	1	1
347	о смысле	1	1
348	над отдельными	1	1
349	над ним	1	1
350	в каком	1	1
351	конечно и	2	1
352	из тех	2	1
353	в философии	1	1
354	только как	2	1
355	и внутренне	3	1
356	в момент	1	1
357	и именно	1	1
358	когда ее	1	1
359	что все	1	1
360	этом не	1	1
361	есть и	2	1
362	в других	1	1
363	единства в	1	1
364	мысли но	1	1
365	что оно	2	1
366	к сожалению	1	1
367	к этой	1	1
368	ни на	1	1
369	и другие	1	1
370	не есть	2	1
371	все еще	1	1
372	это в	1	1
373	во всяком	5	1
374	они не	4	1
