1	и не	37	22
2	и в	35	16
3	при этом	3	15
4	в этом	17	14
5	но и	16	14
6	не только	24	14
7	а не	10	12
8	может быть	18	12
9	то что	38	12
10	в том	12	12
11	в частности	5	11
12	не в	2	10
13	такого рода	15	10
14	то же	5	9
15	так и	7	9
16	в то	6	9
17	того что	12	9
18	как бы	4	8
19	в этой	9	8
20	том что	19	8
21	не может	13	8
22	тем самым	7	7
23	точки зрения	2	7
24	со стороны	1	7
25	только в	14	7
26	и его	1	6
27	к тому	3	6
28	с другой	6	6
29	с его	1	6
30	еще не	10	6
31	в его	7	6
32	в другом	1	6
33	о том	18	6
34	в себе	5	6
35	то есть	39	5
36	этом отношении	1	5
37	вместе с	2	5
38	особого рода	1	5
39	в качестве	2	5
40	что он	4	5
41	как и	5	5
42	в основе	3	5
43	именно в	1	5
44	а в	4	5
45	а именно	6	5
46	как в	1	5
47	в целом	3	5
48	лишь в	3	5
49	это не	1	5
50	в рамках	1	4
51	как будто	6	4
52	хотя и	3	4
53	говоря уже	4	4
54	одной стороны	5	4
55	и для	6	4
56	и если	3	4
57	с одной	5	4
58	место в	1	4
59	никогда не	1	4
60	в одном	1	4
61	должно быть	2	4
62	даже в	2	4
63	не говоря	4	4
64	данном случае	5	4
65	но не	4	4
66	одним из	1	4
67	до конца	1	4
68	входит в	2	4
69	в данном	10	4
70	а также	2	4
71	мира в	1	3
72	свое место	2	3
73	в самом	5	3
74	те кто	1	3
75	как это	1	3
76	уже не	8	3
77	по своей	1	3
78	и тем	4	3
79	все время	1	3
80	но в	6	3
81	мыслится как	1	3
82	едва ли	9	3
83	обратим внимание	1	3
84	как на	2	3
85	в слове	3	3
86	и наконец	3	3
87	отнюдь не	5	3
88	и как	4	3
89	уже о	4	3
90	но уже	5	3
91	и а	2	3
92	в области	6	3
93	бы и	7	3
94	том числе	2	3
95	потому что	13	3
96	для которого	1	3
97	той же	2	3
98	и к	3	3
99	между тем	1	3
100	в глазах	1	3
101	самом деле	4	3
102	все еще	4	3
103	прежде всего	11	3
104	тому как	3	3
105	совершенно не	2	3
106	еще в	2	3
107	то в	1	3
108	о чем	6	3
109	отношения к	1	3
110	с ее	1	3
111	несмотря на	3	2
112	в глубине	1	2
113	что и	2	2
114	все они	1	2
115	могли бы	3	2
116	чтобы он	1	2
117	в своих	3	2
118	и одновременно	1	2
119	если бы	4	2
120	которой она	1	2
121	же в	1	2
122	субъект и	1	2
123	было бы	8	2
124	здесь как	2	2
125	или иначе	6	2
126	это будет	3	2
127	и вовсе	6	2
128	этот путь	1	2
129	то это	3	2
130	одного из	1	2
131	ни с	2	2
132	того чтобы	2	2
133	я не	1	2
134	в ту	1	2
135	здесь не	2	2
136	внимание на	3	2
137	мира и	1	2
138	но с	1	2
139	к этому	1	2
140	собой но	2	2
141	то она	1	2
142	о природе	1	2
143	один из	3	2
144	во всей	1	2
145	и ее	2	2
146	о которой	1	2
147	и даже	11	2
148	складывается из	1	2
149	не вполне	4	2
150	что в	11	2
151	в советской	2	2
152	для своего	1	2
153	в конце	7	2
154	то ни	3	2
155	вопрос о	3	2
156	себя и	1	2
157	если не	4	2
158	в случае	3	2
159	оказывается не	1	2
160	она и	2	2
161	так или	6	2
162	ее в	1	2
163	во всех	2	2
164	бы то	2	2
165	стороны и	4	2
166	как мы	5	2
167	на то	6	2
168	его в	3	2
169	сознания и	2	2
170	и тогда	1	2
171	тем что	4	2
172	что у	1	2
173	по себе	8	2
174	им в	1	2
175	как раз	8	2
176	жизни не	1	2
177	еще и	5	2
178	для меня	5	2
179	раз в	1	2
180	связи с	5	2
181	так же	5	2
182	на себя	1	2
183	как таковое	1	2
184	что не	5	2
185	для себя	9	2
186	а и	1	2
187	или иной	5	2
188	а на	1	2
189	и об	1	2
190	не знаю	1	2
191	время в	1	2
192	быть только	3	2
193	не менее	13	2
194	на свете	4	2
195	не знает	3	2
196	и потому	1	2
197	и на	5	2
198	в нем	1	2
199	под знаком	1	2
200	той или	5	2
201	если это	2	2
202	с которой	3	2
203	все более	1	2
204	как о	3	2
205	нас к	1	2
206	и сам	2	2
207	и при	2	2
208	же самое	6	2
209	представляет собой	2	2
210	а так	1	2
211	подобно тому	2	2
212	о нем	2	2
213	для того	3	2
214	у нас	18	2
215	ни было	1	2
216	и наоборот	1	2
217	не означает	1	2
218	вещей в	1	2
219	можно сказать	6	2
220	знает что	2	2
221	мы и	6	2
222	числе и	2	2
223	и с	10	2
224	отношение к	1	2
225	другой стороны	5	2
226	все же	8	2
227	далеко не	4	2
228	оно не	3	2
229	еще раз	1	2
230	к предмету	3	2
231	здесь это	1	2
232	целом и	1	2
233	и только	4	2
234	это последнее	1	2
235	но отнюдь	1	1
236	без того	2	1
237	иное как	3	1
238	нами и	1	1
239	до самого	1	1
240	по причине	1	1
241	и теперь	1	1
242	здесь очевидно	1	1
243	так сказать	1	1
244	в свете	3	1
245	является той	1	1
246	даже не	3	1
247	ничем не	2	1
248	исследования в	2	1
249	значение в	4	1
250	с собой	1	1
251	но вот	2	1
252	не просто	11	1
253	и она	1	1
254	к своему	1	1
255	тех пор	4	1
256	действительность в	1	1
257	как ему	1	1
258	а то	1	1
259	если для	1	1
260	случае не	4	1
261	людей не	1	1
262	к нему	2	1
263	это уж	2	1
264	мы его	1	1
265	и действительно	2	1
266	а а	6	1
267	не что	3	1
268	даже таких	1	1
269	и и	1	1
270	а с	1	1
271	на пути	1	1
272	слова и	4	1
273	в действительности	2	1
274	а во	1	1
275	только по	2	1
276	все это	4	1
277	нас в	3	1
278	к другим	1	1
279	слово есть	1	1
280	языка и	5	1
281	оно в	1	1
282	так что	11	1
283	собственно говоря	2	1
284	и того	3	1
285	есть не	6	1
286	и до	1	1
287	видения мира	1	1
288	для нас	9	1
289	вообще в	1	1
290	своего собственного	5	1
291	существовать в	1	1
292	из самых	2	1
293	не есть	33	1
294	перед нами	2	1
295	у них	1	1
296	в истории	3	1
297	речь не	2	1
298	и есть	4	1
299	общения людей	3	1
300	функционирует как	3	1
