N	3gram	Losev_Dial_4	Problema
1	с точки зрения	9	11
2	той или иной	1	11
3	тем не менее	2	10
4	содержит в себе	1	8
5	в том что	9	8
6	это значит что	7	7
7	по крайней мере	7	6
8	сам по себе	2	6
9	с другой стороны	1	6
10	в данном случае	1	5
11	ни в каком	4	5
12	не только в	1	4
13	не только не	1	4
14	мы имеем дело	1	3
15	в этом смысле	4	3
16	то и другое	2	3
17	ни в коем	2	3
18	точно так же	2	3
19	и тем не	1	3
20	а это значит	1	3
21	в зависимости от	1	3
22	в коем случае	2	3
23	в каком случае	1	3
24	тех или иных	1	3
25	в связи с	1	3
26	той или другой	3	3
27	о том что	1	3
28	и ни в	1	3
29	и т д	15	3
30	ни о каких	1	2
31	что перед нами	1	2
32	не говоря уже	3	2
33	к своему пределу	1	2
34	в предыдущем мы	1	2
35	есть отражение и	1	2
36	что иное как	8	2
37	миф есть символ	1	2
38	хотя бы и	2	2
39	в себе и	1	2
40	или по крайней	3	2
41	это не имеет	1	2
42	и в частности	2	2
43	тут перед нами	1	2
44	имеет ничего общего	2	2
45	не есть ни	9	2
46	в бесконечную даль	1	2
47	в каком смысле	1	2
48	для того чтобы	5	2
49	самом же деле	1	2
50	на самом же	1	2
51	есть не что	5	2
52	не что иное	8	2
53	вовсе не есть	1	2
54	мы должны сказать	1	2
55	ничего общего с	2	2
56	и тем более	4	2
57	и прежде всего	1	2
58	что в данном	1	2
59	но никак не	1	2
60	в то же	6	2
61	каком смысле не	1	2
62	сама по себе	5	2
63	в сравнении с	2	2
64	но если бы	1	2
65	не имеет ничего	2	2
66	в виду и	1	1
67	но все же	1	1
68	в чем не	1	1
69	тут идет речь	1	1
70	о себе в	1	1
71	в силу этого	1	1
72	только потому что	1	1
73	заключается не в	1	1
74	понятие о ней	1	1
75	иметь в виду	2	1
76	дело в том	1	1
77	должны сказать что	1	1
78	это было бы	1	1
79	равно как и	2	1
80	как таковых ничего	1	1
81	он всегда есть	1	1
82	это нисколько не	1	1
83	не есть символ	1	1
84	различить и противопоставить	1	1
85	о том как	2	1
86	но ясно что	1	1
87	что в результате	1	1
88	же как и	1	1
89	по сравнению с	2	1
90	и не в	1	1
91	и не может	1	1
92	и в то	2	1
93	представим себе что	2	1
94	или во сне	1	1
95	а не самые	1	1
96	также и то	1	1
97	то тем самым	1	1
98	ни в чем	1	1
99	и вообще не	1	1
100	только в символе	1	1
101	совершенно ясно что	1	1
102	вполне можно сказать	1	1
103	в основе своей	1	1
104	что каждая вещь	1	1
105	если мы всерьез	1	1
106	тем или другим	2	1
107	говоря уже о	3	1
108	это и значит	1	1
109	в жизни и	1	1
110	с этой точки	2	1
111	тут нет ничего	1	1
112	есть то что	5	1
113	смысле есть не	1	1
114	то понятие которое	1	1
115	и то что	1	1
116	вовсе не думает	1	1
117	если угодно можно	2	1
118	ту или иную	2	1
119	сказать что в	1	1
120	которой уже нет	1	1
121	он есть символ	1	1
122	вплоть до их	1	1
123	не значит что	1	1
124	и не имеет	1	1
125	этом смысле есть	1	1
126	если бы мы	1	1
127	в подлинном смысле	1	1
128	она еще не	1	1
129	как же именно	1	1
130	мы не знаем	1	1
131	в конце концов	1	1
132	в чем же	2	1
133	между собою и	1	1
134	кроме нее и	1	1
135	при помощи диалектического	1	1
136	тех или других	3	1
137	и как бы	1	1
138	а не просто	1	1
139	не в том	4	1
140	на аршине пространства	1	1
141	где же тут	1	1
142	не говорит о	3	1
143	прежде всего в	1	1
144	вопрос о том	1	1
145	однако ясно что	1	1
146	хотя бы на	1	1
147	том что они	1	1
148	и пожалуй даже	1	1
149	разве это не	1	1
150	случае не есть	2	1
151	иной раз даже	1	1
152	само по себе	4	1
153	и даже вообще	2	1
154	миф есть в	2	1
155	и противопоставить все	1	1
156	этой точки зрения	2	1
157	ничто не мешает	1	1
158	а вместе с	1	1
159	самая обыкновенная диалектика	1	1
160	по себе а	1	1
161	д и т	2	1
162	и вместе с	1	1
163	коем случае не	2	1
164	каждая вещь существует	1	1
165	в свою очередь	2	1
166	это и есть	4	1
167	есть символ в	5	1
168	прежде всего с	1	1
169	содержать в себе	1	1
170	ничего не говорит	4	1
171	что это не	1	1
172	на то что	3	1
173	как идея и	1	1
174	можно только при	1	1
175	т д и	3	1
176	как учение о	1	1
177	легко может быть	1	1
178	не думает что	2	1
179	и есть не	1	1
180	значит что и	1	1
181	в это время	1	1
182	для этого необходимо	1	1
183	по себе есть	1	1
184	мы только что	1	1
185	не есть просто	3	1
