1	точки зрения	14	26
2	таким образом	8	26
3	в том	20	24
4	и в	20	23
5	том что	12	21
6	в целом	1	20
7	с точки	11	18
8	того чтобы	2	17
9	в этом	9	17
10	то что	15	17
11	так же	5	16
12	не только	24	16
13	для того	3	15
14	того что	1	15
15	что в	3	14
16	но и	14	14
17	как и	6	14
18	в его	3	14
19	может быть	9	14
20	не может	5	12
21	и мышления	3	11
22	сказать что	7	11
23	как бы	4	11
24	в отношении	4	10
25	прежде всего	11	10
26	с другой	7	10
27	и не	28	9
28	вместе с	5	9
29	в качестве	10	9
30	не является	10	9
31	одной стороны	1	9
32	и с	7	9
33	другой стороны	6	9
34	то же	7	8
35	заключается в	2	8
36	самого начала	1	8
37	с одной	1	8
38	в основе	1	8
39	и на	3	8
40	с самого	1	8
41	в этой	4	7
42	вопрос о	1	7
43	что он	8	7
44	в самом	2	7
45	и ее	4	7
46	в то	4	7
47	в другом	3	7
48	с тем	4	7
49	мы не	7	7
50	так как	5	7
51	мы можем	3	6
52	потому что	15	6
53	к логике	1	6
54	и его	10	6
55	все это	9	6
56	по сравнению	1	6
57	учения о	2	6
58	в силу	1	6
59	мышления с	1	6
60	независимо от	3	6
61	столь же	2	6
62	тем что	3	6
63	и тем	7	6
64	все время	2	6
65	именно в	7	6
66	только в	23	6
67	с этим	4	6
68	в себе	12	6
69	могли бы	1	6
70	же как	1	6
71	с этой	1	6
72	о том	5	6
73	ребенка и	1	5
74	в своих	1	5
75	если бы	8	5
76	слова и	1	5
77	перед нами	13	5
78	тем более	4	5
79	на действительность	1	5
80	и все	8	5
81	он не	2	5
82	сравнению с	1	5
83	что мы	3	5
84	мы должны	3	5
85	бы в	1	5
86	для этого	2	5
87	связан с	1	5
88	и что	2	5
89	тем самым	4	5
90	по себе	11	5
91	в какой	4	5
92	как мы	3	5
93	на то	1	5
94	что может	1	5
95	представить себе	2	5
96	мы пытались	1	5
97	так и	10	5
98	и как	3	5
99	то время	2	5
100	между собой	2	5
101	и более	3	5
102	из этого	3	5
103	что для	1	5
104	но в	8	5
105	можно сказать	5	5
106	по своей	1	5
107	тому что	1	5
108	к действительности	1	5
109	ни в	17	4
110	к выводу	1	4
111	было бы	14	4
112	все эти	16	4
113	при этом	6	4
114	в чем	2	4
115	функции в	2	4
116	в своей	4	4
117	мы видим	1	4
118	говорит что	2	4
119	что все	1	4
120	что она	4	4
121	к тому	3	4
122	только что	2	4
123	выводу что	1	4
124	для всех	3	4
125	как на	1	4
126	и мышление	1	4
127	в одном	4	4
128	в настоящей	2	4
129	с его	2	4
130	в котором	2	4
131	время как	2	4
132	ее на	1	4
133	но не	5	4
134	хотя бы	7	4
135	как раз	4	4
136	до сих	1	4
137	отношений между	1	4
138	не в	13	4
139	и к	3	4
140	для себя	2	4
141	как в	5	4
142	с действительностью	1	4
143	сих пор	1	4
144	в результате	8	4
145	в свою	1	4
146	что оно	1	3
147	обе эти	1	3
148	первую очередь	1	3
149	могут быть	1	3
150	учение о	3	3
151	а не	7	3
152	мы называем	1	3
153	действительностью и	1	3
154	в которой	2	3
155	свою очередь	1	3
156	одного из	1	3
157	сам по	6	3
158	на все	2	3
159	что это	2	3
160	силу этого	1	3
161	всегда и	1	3
162	превращается в	1	3
163	мышление и	1	3
164	и если	5	3
165	о функции	1	3
166	уже в	4	3
167	во всем	2	3
168	во всяком	8	3
169	что именно	2	3
170	и от	6	3
171	том чтобы	2	3
