N	2gram	Vygotskiy__4	Problema
1	и не	13	28
2	то есть	13	27
3	не только	7	24
4	только в	4	23
5	в виде	3	22
6	вовсе не	5	21
7	и в	33	20
8	в том	21	20
9	ни в	3	17
10	не просто	4	16
11	все эти	6	16
12	то что	44	15
13	потому что	24	15
14	точки зрения	6	14
15	у нас	4	14
16	было бы	12	14
17	но и	3	14
18	также и	2	13
19	перед нами	6	13
20	не в	2	13
21	в нашем	1	12
22	в себе	6	12
23	том что	22	12
24	с точки	4	11
25	по себе	9	11
26	прежде всего	2	11
27	как будто	8	11
28	едва ли	2	10
29	и его	5	10
30	так и	3	10
31	при помощи	4	10
32	это значит	1	10
33	не является	2	10
34	в этом	28	9
35	может быть	22	9
36	и даже	1	9
37	все это	13	9
38	но в	2	8
39	таким образом	13	8
40	если бы	10	8
41	что он	20	8
42	в той	3	8
43	в результате	2	8
44	и все	12	8
45	во всяком	3	8
46	то же	9	7
47	мы не	5	7
48	в ней	6	7
49	еще не	1	7
50	и с	2	7
51	ясно что	5	7
52	это не	6	7
53	хотя бы	2	7
54	есть в	1	7
55	с другой	2	7
56	именно в	2	7
57	сказать что	13	7
58	а не	6	7
59	и потому	2	7
60	такого рода	1	7
61	сам по	2	6
62	есть не	1	6
63	мы имеем	2	6
64	при этом	2	6
65	всех этих	3	6
66	об этом	4	6
67	как и	5	6
68	но если	3	6
69	и без	1	6
70	в каком	8	6
71	же самое	6	6
72	в виду	2	6
73	и вообще	1	6
74	а также	1	6
75	так что	7	6
76	но это	1	6
77	и от	2	6
78	для нас	7	6
79	другой стороны	2	6
80	в таком	4	6
81	на самом	6	5
82	действительности и	1	5
83	но не	3	5
84	как в	3	5
85	и если	9	5
86	в нем	7	5
87	да и	3	5
88	те или	1	5
89	в них	2	5
90	в этих	1	5
91	и очень	1	5
92	когда мы	6	5
93	и о	4	5
94	в ее	2	5
95	о том	20	5
96	можно сказать	2	5
97	жизни и	4	5
98	если мы	12	5
99	так как	12	5
100	здесь в	3	5
101	не может	10	5
102	вместе с	8	5
103	так же	13	5
104	в смысле	1	5
105	или в	1	5
106	и ни	1	5
107	ничего общего	1	5
108	и т	6	4
109	это и	5	4
110	но даже	1	4
111	что его	3	4
112	без всякого	2	4
113	человеческих отношений	1	4
114	и есть	4	4
115	и наконец	2	4
116	нет никакой	2	4
117	уже в	2	4
118	в этой	9	4
119	что она	10	4
120	времени и	2	4
121	с тем	4	4
122	несмотря на	1	4
123	в своей	4	4
124	всяком случае	3	4
125	в одном	3	4
126	в отношении	1	4
127	тем самым	3	4
128	отличается от	1	4
