N	2gram	Bakhtin_Fr_7	Problema
1	и в	41	30
2	в своей	3	22
3	то есть	20	21
4	не только	5	18
5	то что	8	18
6	в этом	15	17
7	том что	4	17
8	и даже	1	14
9	таким образом	19	13
10	но и	9	13
11	потому что	5	13
12	также и	2	12
13	о том	6	12
14	в его	12	12
15	в том	11	12
16	и не	7	12
17	так что	1	11
18	в своем	9	11
19	у него	6	11
20	в этой	13	10
21	в виде	1	10
22	точки зрения	5	10
23	все же	1	9
24	на земле	4	9
25	но в	8	9
26	который в	1	9
27	только в	6	9
28	и все	14	9
29	сказать что	1	9
30	хотя и	4	8
31	с точки	3	8
32	в конце	8	8
33	вовсе не	7	8
34	но не	1	7
35	как и	14	7
36	не в	9	7
37	никогда не	2	7
38	на землю	2	7
39	связи с	1	7
40	у нас	1	7
41	здесь не	1	7
42	в дальнейшем	1	7
43	так и	10	7
44	что он	3	7
45	до нас	5	7
46	мы находим	1	7
47	может быть	4	7
48	говорит о	1	7
49	в связи	2	7
50	в результате	2	7
51	вместе с	5	7
52	и на	4	6
53	и как	2	6
54	в нем	7	6
55	при помощи	1	6
56	его в	3	6
57	несмотря на	3	6
58	и его	9	6
59	и что	1	6
60	что и	5	6
61	уже не	2	6
62	так как	3	6
63	прежде всего	11	6
64	как бы	7	6
65	и для	5	6
66	конце концов	4	6
67	а в	5	6
68	и то	2	5
69	в году	5	5
70	не просто	2	5
71	в которой	2	5
72	за это	1	5
73	в силу	1	5
74	и с	4	5
75	в античном	1	5
76	с тем	1	5
77	он и	1	5
78	но он	4	5
79	того как	5	5
80	и о	1	5
81	что у	3	5
82	упоминает о	1	5
83	и у	5	5
84	и их	3	5
85	а не	2	5
86	не может	3	5
87	так же	5	5
88	в самом	1	5
89	что в	9	5
90	человека и	1	4
91	того же	3	4
92	едва ли	1	4
93	и к	5	4
94	в себе	11	4
95	при этом	3	4
96	но все	4	4
97	об этом	1	4
98	было бы	4	4
99	ни в	6	4
100	говорится о	1	4
101	не мог	2	4
102	не так	1	4
103	в то	10	4
104	как о	3	4
105	но даже	1	4
106	за что	2	4
107	некоторой степени	1	4
108	нас в	3	4
109	оказывается что	3	4
110	или в	2	4
111	в качестве	9	4
112	до некоторой	1	4
113	даже и	1	4
114	в период	1	4
115	далеко не	2	4
116	еще и	1	4
117	нового времени	3	4
118	в частности	1	4
119	из этого	1	4
120	время как	1	3
121	в виду	4	3
122	в ней	5	3
123	и самого	2	3
124	еще не	2	3
125	он сам	1	3
126	иное как	1	3
127	что его	1	3
128	в ее	1	3
129	совсем не	3	3
130	что они	1	3
131	от этого	3	3
132	он в	1	3
133	учение о	2	3
134	он не	4	3
135	в другом	1	3
136	с неба	1	3
137	этом смысле	1	3
138	нас не	2	3
139	в отношении	3	3
140	что иное	1	3
141	но только	1	3
142	и после	1	3
143	есть только	1	3
144	указывает на	1	3
145	жизнь и	2	3
146	в эпоху	7	3
147	с ним	2	3
148	только и	1	3
149	после того	4	3
150	а также	2	3
151	все в	1	3
152	к нему	5	3
