1	и в	30	25
2	вместе с	7	22
3	что он	7	22
4	и т	1	20
5	т д	1	18
6	представление о	2	17
7	может быть	7	17
8	мы имеем	2	14
9	но и	13	13
10	не только	18	13
11	в его	12	12
12	уже не	6	11
13	так как	6	11
14	и не	12	11
15	в этом	17	10
16	тем что	2	10
17	все же	9	10
18	в виде	10	9
19	и его	6	9
20	с другой	6	9
21	его в	6	9
22	таким образом	13	9
23	том что	17	8
24	что мотив	1	8
25	что в	5	8
26	и что	6	8
27	еще не	3	8
28	все эти	2	8
29	связи с	7	8
30	и на	6	8
31	на него	2	8
32	с тем	5	8
33	другой стороны	6	8
34	этого мотива	1	8
35	потому что	13	7
36	при помощи	6	7
37	одной стороны	3	7
38	и здесь	1	7
39	в частности	4	7
40	превращается в	1	7
41	в нем	6	7
42	в качестве	4	7
43	то что	18	7
44	как и	7	7
45	только в	9	7
46	с одной	3	7
47	но это	1	7
48	о том	12	7
49	могут быть	1	6
50	и он	4	6
51	или в	4	6
52	этот мотив	4	6
53	в нее	1	6
54	в том	12	6
55	не в	7	6
56	что и	6	6
57	прежде всего	6	6
58	не может	5	6
59	как в	2	6
60	там где	1	6
61	на небо	8	6
62	это не	2	6
63	миф о	5	5
64	входит в	1	5
65	что это	1	5
66	для нас	10	5
67	него и	1	5
68	в море	1	5
69	мы увидим	1	5
70	с этим	1	5
71	как мы	2	5
72	здесь мы	1	5
73	в него	1	5
74	в ней	3	5
75	в образе	1	5
76	но не	7	5
77	но все	4	5
78	ясно что	4	5
79	так же	5	5
80	мы не	2	5
81	от этого	3	4
82	в ее	3	4
83	наряду с	2	4
84	того как	5	4
85	в которой	5	4
86	то же	2	4
87	все это	1	4
88	с ним	3	4
89	и тем	3	4
90	на этой	1	4
91	тем не	5	4
92	он не	3	4
93	мы должны	1	4
94	в преисподнюю	1	4
95	если не	4	4
96	же можно	1	4
97	и это	1	4
98	мы уже	1	4
99	не как	1	4
100	что у	5	4
101	в связи	7	4
102	его на	2	4
103	все еще	4	4
104	в дальнейшем	7	4
105	а именно	12	4
106	не всегда	3	4
107	и хотя	1	4
108	не менее	5	4
109	из себя	1	4
110	он видит	3	4
111	за ним	1	4
112	в этой	10	3
113	и она	1	3
114	того чтобы	2	3
115	в целях	2	3
116	к нему	3	3
117	но когда	1	3
118	состоит из	1	3
119	ему в	1	3
120	в свою	2	3
121	на себя	1	3
122	героя и	1	3
123	они не	2	3
124	что его	3	3
125	и из	1	3
126	и все	9	3
127	его к	1	3
128	и др	1	3
129	никогда не	7	3
130	их в	1	3
131	не ясно	1	3
132	его не	2	3
133	в роли	2	3
134	или же	2	3
135	в форме	1	3
136	как человек	1	3
137	огонь и	4	3
138	и как	6	3
139	но оно	1	3
140	но уже	2	3
141	что здесь	2	3
142	в таких	2	3
143	нем и	1	3
144	никто не	1	3
145	в русской	3	3
146	а в	6	3
147	в данном	2	3
148	если в	1	3
149	дает ему	2	3
150	и вообще	9	3
151	после того	3	3
152	в более	1	3
153	по воздуху	1	3
154	увидим ниже	1	3
155	в то	4	3
156	в греции	1	3
157	в другой	1	3
158	для того	3	3
159	всех людей	1	3
160	в европе	2	3
161	только после	1	3
162	и с	5	3
163	говорится что	2	3
164	несмотря на	6	2
165	под влиянием	1	2
166	огонь в	2	2
167	только тогда	3	2
168	в материалах	1	2
169	после этого	1	2
170	а не	5	2
171	силу и	1	2
172	же в	3	2
173	в наше	1	2
174	образом мы	1	2
175	здесь как	2	2
176	но он	5	2
177	его по	1	2
178	время в	1	2
179	так что	11	2
180	точки зрения	10	2
181	мы можем	5	2
182	а как	1	2
183	здесь можно	1	2
184	перед нами	1	2
185	вопрос о	1	2
186	о сотворении	2	2
187	и вновь	1	2
188	к которым	1	2
189	к этому	2	2
190	или на	1	2
191	и для	6	2
192	а если	1	2
193	в своей	22	2
194	и потому	1	2
195	того же	4	2
196	тогда он	1	2
197	сказать что	9	2
198	один из	2	2
199	оказывается что	4	2
200	как бы	6	2
201	то в	1	2
202	из него	1	2
203	человека и	4	2
204	уже в	2	2
205	во всем	1	2
206	и по	1	2
207	жизни и	2	2
208	говорит о	7	2
209	том чтобы	1	2
210	и стал	1	2
211	как у	1	2
212	не потому	1	2
213	а еще	1	2
214	она не	1	2
215	вовсе не	8	2
216	только у	1	2
217	даже в	1	2
218	есть на	1	2
219	об этом	4	2
220	такой же	1	2
221	ничего не	2	2
222	и вместе	1	2
223	ее в	2	2
224	что этот	5	2
225	им и	1	2
226	по существу	2	2
227	мифа о	19	2
228	когда он	2	2
229	можно найти	6	2
230	находит в	3	2
231	уже и	2	2
232	в это	2	2
233	в других	3	2
234	отправляется на	1	2
235	и сам	4	2
236	данном случае	2	2
237	на то	2	2
238	этот огонь	1	2
239	без всяких	1	2
240	что представление	1	2
241	по себе	2	2
242	и начал	1	2
243	это время	2	2
244	до сих	2	2
245	к его	1	2
246	меня в	1	2
247	из двух	1	2
248	бросается в	2	2
249	и других	1	2
250	что от	3	2
251	по отношению	2	2
252	так например	1	2
253	на нее	1	2
254	в землю	1	2
255	не считать	1	2
256	из которых	1	2
257	землю и	2	2
258	мы приведем	1	2
259	от них	2	2
260	это уже	2	2
261	и этим	1	2
262	именно на	2	2
263	а на	1	2
264	отношению к	2	2
265	то здесь	1	2
266	самом деле	2	2
267	тогда когда	4	2
268	здесь он	1	2
269	своих детей	1	2
270	сих пор	2	2
271	с ней	1	2
272	тех же	1	2
273	должно было	1	2
274	и при	1	2
275	таким же	1	2
276	их на	1	2
277	того что	3	2
278	еще в	5	2
279	должен быть	1	2
280	со стороны	1	2
281	и они	2	2
282	но для	2	2
283	из них	2	2
284	с большой	1	2
285	в одно	1	2
286	о чем	1	2
287	с этой	2	2
288	одновременно с	1	2
289	можно сказать	6	2
290	том как	1	2
291	ли он	2	2
292	мы и	2	2
293	у него	11	2
294	и таким	1	2
295	в горах	1	2
296	этого мифа	2	2
297	в пещеру	1	2
298	что оно	1	1
299	некоторые подробности	1	1
300	бросаются в	1	1
301	сводится к	1	1
302	чем перейти	1	1
303	некоторой степени	4	1
304	в науке	2	1
305	то мы	1	1
306	в риме	1	1
307	и сейчас	2	1
308	то обстоятельство	1	1
309	не развивается	1	1
310	от него	1	1
311	к своему	1	1
312	так у	1	1
313	в своих	1	1
