N	3gram	Propp_Isto_6	Problema
1	о том что	4	9
2	в том что	5	8
3	тем не менее	1	5
4	с другой стороны	8	5
5	что иное как	1	3
6	и то что	1	3
7	точно так же	2	3
8	вместе с тем	3	3
9	то время как	3	3
10	с одной стороны	7	3
11	а с другой	1	3
12	все же не	1	3
13	в то время	3	3
14	можно сказать что	1	3
15	после того как	2	3
16	не что иное	1	3
17	в сравнении с	1	3
18	потому что он	2	2
19	по отношению к	2	2
20	в том числе	1	2
21	том что он	1	2
22	мы находим в	1	2
23	до сих пор	4	2
24	в таком случае	1	2
25	но и в	2	2
26	то и другое	1	2
27	в данном случае	3	2
28	не может быть	3	2
29	все того же	1	2
30	во всяком случае	2	2
31	и знает что	1	2
32	у нас и	1	2
33	но все же	2	2
34	на то что	1	2
35	для того чтобы	1	2
36	таким образом если	1	1
37	а если он	1	1
38	между небом и	1	1
39	на месте в	1	1
40	борьбы с ним	1	1
41	другой стороны он	2	1
42	по существу и	1	1
43	там где нет	1	1
44	на дне моря	1	1
45	о том как	3	1
46	в своей работе	1	1
47	как бы с	1	1
48	в одной из	1	1
49	в других местах	1	1
50	все же можно	2	1
51	и то и	1	1
52	по аналогии с	1	1
53	интересно не только	1	1
54	том числе и	1	1
55	но это не	1	1
56	можно было бы	2	1
57	здесь не в	1	1
58	этот мотив в	1	1
59	с этой стороны	1	1
60	с этой точки	1	1
61	к скале это	1	1
62	по всему миру	2	1
63	только потому что	1	1
64	что они были	1	1
65	не потому что	1	1
66	таким образом мы	1	1
67	не только в	4	1
68	на первый взгляд	1	1
69	одной стороны он	1	1
70	на задний план	1	1
71	потому что оно	1	1
72	и на земле	3	1
73	а также и	1	1
74	друг на друга	1	1
75	в союзе с	1	1
76	так или иначе	1	1
77	на землю и	1	1
78	и при помощи	1	1
79	что у него	1	1
80	к скале за	1	1
81	и в том	1	1
82	этой точки зрения	1	1
83	что этот мотив	1	1
84	похожи друг на	1	1
85	от того что	1	1
86	том смысле что	1	1
87	так и в	1	1
88	что наряду с	1	1
89	и вместе с	1	1
90	что в ней	1	1
91	то или иное	1	1
92	по своей воле	1	1
93	что представление о	1	1
94	от солнца и	1	1
95	не менее в	1	1
96	в том смысле	1	1
97	то же мы	2	1
98	также и с	1	1
99	небом и землей	1	1
100	а именно что	2	1
101	и как будто	1	1
102	но никогда не	1	1
103	и т д	8	1
