1	о том что	9	6
2	в том что	8	6
3	в данном случае	2	5
4	к тому же	1	4
5	по отношению к	2	4
6	состоит в том	1	4
7	с одной стороны	3	4
8	и в этом	1	4
9	содержит в себе	1	3
10	не удивительно что	1	3
11	тем не менее	5	3
12	по крайней мере	4	3
13	в этом отношении	1	3
14	той или иной	1	3
15	не только в	1	2
16	в этом смысле	3	2
17	и то что	3	2
18	с точки зрения	8	2
19	то же время	1	2
20	едва ли не	1	2
21	можно было бы	1	2
22	в то же	1	2
23	то есть в	1	2
24	в таком случае	2	2
25	с другой стороны	5	2
26	на то что	2	2
27	в результате чего	2	2
28	тех или иных	2	2
29	он состоит в	1	1
30	и тем же	1	1
31	но и в	2	1
32	жизнь и смерть	1	1
33	что иное как	3	1
34	в том смысле	1	1
35	никак не может	2	1
36	то есть на	1	1
37	несмотря на то	1	1
38	во времени и	1	1
39	все того же	2	1
40	в самом деле	1	1
41	имеется в виду	1	1
42	сама по себе	1	1
43	с этой точки	1	1
44	еще и до	1	1
45	не может быть	2	1
46	но и всего	1	1
47	не что иное	3	1
48	как раз и	1	1
49	не менее в	1	1
50	нам представляется что	1	1
51	точно так же	3	1
52	том смысле что	1	1
53	так или иначе	1	1
54	но на фоне	1	1
55	можно сказать что	3	1
56	времени и пространстве	1	1
57	как бы с	1	1
58	уже содержит в	1	1
59	в связи с	7	1
60	это не так	1	1
61	тому же и	1	1
62	который в своей	3	1
63	одной из своих	1	1
64	между тем как	1	1
65	до некоторой степени	4	1
66	одним и тем	1	1
67	этой точки зрения	1	1
68	также и на	1	1
69	крайней мере в	1	1
70	то и другое	2	1
71	свидетельствует о том	1	1
