N	4gram	Nazirov_Tv_1	Problemy
1	в то же время	12	9
2	но в то же	4	5
3	в художественном мире достоевского	1	2
4	пространстве а не во	2	2
5	а не во времени	2	2
6	и в то же	1	2
7	в пространстве а не	2	2
8	катастрофическая быстрота действия вихревое	1	1
9	преодолеть время во времени	1	1
10	дело в том что	3	1
11	но это не значит	1	1
12	разобраться в мире значило	1	1
13	преодоление его ибо быстрота	1	1
14	единственный способ преодолеть время	1	1
15	может быть перенесено и	1	1
16	действия вихревое движение динамика	1	1
17	их взаимоотношения в разрезе	1	1
18	то что может быть	1	1
19	помыслить все его содержания	1	1
20	быстрота единственный способ преодолеть	1	1
21	значило для него помыслить	1	1
22	и угадать их взаимоотношения	1	1
23	и в вечность ибо	1	1
24	мы имеем в виду	1	1
25	него помыслить все его	1	1
26	достоевского следовать в романе	1	1
27	романе драматическому принципу единства	1	1
28	торжество времени а преодоление	1	1
29	бы то ни было	1	1
30	все его содержания как	1	1
31	в мире значило для	1	1
32	быстрота действия вихревое движение	1	1
33	ибо быстрота единственный способ	1	1
34	одновременные и угадать их	1	1
35	драматическому принципу единства времени	1	1
36	вихревое движение динамика достоевского	1	1
37	достоевского динамика и быстрота	1	1
38	а преодоление его ибо	1	1
39	преимуществу в пространстве а	1	1
40	не укладывается ни в	1	1
41	времени отсюда же катастрофическая	1	1
42	только то что может	1	1
43	времени а преодоление его	1	1
44	не торжество времени а	1	1
45	единства времени отсюда же	1	1
46	его содержания как одновременные	1	1
47	угадать их взаимоотношения в	1	1
48	в вечность ибо в	1	1
49	взаимоотношения в разрезе одного	1	1
50	стремление достоевского следовать в	1	1
51	в разрезе одного момента	1	1
52	отсюда же катастрофическая быстрота	1	1
53	способ преодолеть время во	1	1
54	принципу единства времени отсюда	1	1
55	перенесено и в вечность	1	1
56	для достоевского не существует	1	1
57	как одновременные и угадать	1	1
58	мире значило для него	1	1
59	быть перенесено и в	1	1
60	движение динамика достоевского динамика	1	1
61	же и стремление достоевского	1	1
62	мир по преимуществу в	1	1
63	все одновременно все сосуществует	1	1
64	вечность ибо в вечности	1	1
65	заключается в том что	1	1
66	раскольников и иван карамазов	1	1
67	как и сам автор	1	1
68	содержания как одновременные и	1	1
69	по преимуществу в пространстве	1	1
70	отсюда же и стремление	1	1
71	динамика достоевского динамика и	1	1
72	же катастрофическая быстрота действия	1	1
73	место в творчестве достоевского	2	1
74	для него помыслить все	1	1
75	в романе драматическому принципу	1	1
76	его ибо быстрота единственный	1	1
77	и стремление достоевского следовать	1	1
78	следовать в романе драматическому	1	1
