N	4gram	Bakhtin_Fr_6	Problemy
1	в то же время	5	5
2	в той или иной	1	3
3	но в то же	1	3
4	мы уже говорили что	2	2
5	с одной стороны и	2	1
6	большей или меньшей степени	2	1
7	в самом деле в	1	1
8	каждом из этих трех	1	1
9	в каждом из этих	1	1
10	о том что он	1	1
11	в большинстве случаев в	1	1
12	и до настоящего времени	1	1
13	с точки зрения этого	1	1
14	как мы уже говорили	3	1
15	в большей или меньшей	2	1
16	дело в том что	1	1
17	и до сих пор	1	1
18	в пределах того же	1	1
19	в сущности лишь в	1	1
