N	3gram	Vygotskiy__6	Problemy
1	с точки зрения	10	9
2	до сих пор	3	8
3	не может быть	2	8
4	и не может	2	7
5	в пределах одного	1	6
6	по отношению к	10	5
7	друг с другом	5	5
8	в самом деле	1	4
9	в том числе	1	4
10	как и все	1	4
11	как раз и	1	3
12	в отличие от	1	3
13	том числе и	1	3
14	сам по себе	1	3
15	с другой стороны	2	3
16	как бы в	1	3
17	как и в	1	3
18	имеют первостепенное значение	1	2
19	по данному вопросу	1	2
20	нет и не	1	2
21	в этом смысле	2	2
22	сами по себе	1	2
23	можно было бы	5	2
24	на этот вопрос	2	2
25	в том что	19	2
26	том или другом	1	2
27	можно сказать что	6	2
28	той или иной	1	2
29	и в конце	1	1
30	первого и в	1	1
31	не может не	1	1
32	но как раз	1	1
33	как то что	1	1
34	иначе обстоит дело	1	1
35	мы и в	2	1
36	на том же	1	1
37	в котором он	1	1
38	те же самые	3	1
39	в том же	2	1
40	не с точки	1	1
41	в этом случае	2	1
42	же как и	1	1
43	не могли быть	1	1
44	и во всех	1	1
45	он сам по	1	1
46	мы остановились на	1	1
47	мы как бы	1	1
48	так как мы	1	1
49	является одним из	1	1
50	лишь тогда когда	1	1
51	точки зрения своей	1	1
52	мы можем говорить	1	1
53	не столько на	1	1
54	что мы имеем	1	1
55	иное отношение к	2	1
56	об этом уже	1	1
57	не совпадает с	1	1
58	там где есть	1	1
59	в том или	1	1
60	так же как	6	1
61	в данном случае	1	1
62	с одной стороны	1	1
63	в конце концов	1	1
64	проблем связанных с	1	1
65	если бы оно	2	1
66	то что мы	2	1
67	по сравнению с	14	1
68	и в их	2	1
69	в связи с	2	1
70	а не как	1	1
71	собственном смысле слова	1	1
72	рядом друг с	1	1
73	вместо того чтобы	2	1
74	в широком смысле	1	1
75	или другом слове	1	1
76	этого нельзя сказать	1	1
77	что совершается в	1	1
78	из того же	1	1
79	была бы совершенно	1	1
80	в собственном смысле	1	1
81	зрения своей собственной	1	1
82	которые сами по	1	1
83	и он сам	1	1
84	с самого начала	7	1
85	его жизнь и	1	1
86	не только в	1	1
87	но в этом	1	1
88	он никогда не	1	1
89	а не на	1	1
90	как мы знаем	1	1
91	друг от друга	1	1
92	к определенному типу	1	1
93	и ту же	1	1
94	после того как	1	1
95	в настоящей главе	1	1
96	первостепенное значение для	1	1
97	к тому что	7	1
98	никак не может	1	1
99	поэтому мы и	1	1
100	в этом пункте	1	1
