N	3gram	Vinokur_Ku_1	Problemy
1	то же время	2	10
2	в то же	2	10
3	на самом деле	2	9
4	по отношению к	8	6
5	во всяком случае	5	4
6	той или иной	1	4
7	в этом смысле	3	3
8	и в самом	2	3
9	одно и то	1	3
10	и то же	1	3
11	с другой стороны	6	3
12	в братьях карамазовых	1	3
13	не может быть	3	3
14	смысле этого слова	1	2
15	сводится к тому	2	2
16	для этого необходимо	1	2
17	как раз и	1	2
18	с точки зрения	9	2
19	и в то	1	2
20	в отличие от	1	2
21	к тому чтобы	1	2
22	можно было бы	3	2
23	что все это	1	2
24	и не в	1	2
25	того что он	1	2
26	на этот раз	1	2
27	так и в	2	2
28	не в силах	1	2
29	и в слове	1	2
30	но все же	2	2
31	в большинстве случаев	1	2
32	в том что	15	2
33	мы увидим что	2	2
34	если бы он	1	1
35	найдем ни одного	1	1
36	но уже и	1	1
37	но кроме того	1	1
38	сплошь да рядом	1	1
39	несколько слов о	2	1
40	в него не	1	1
41	в сущности уже	1	1
42	с ними и	1	1
43	а вовсе не	1	1
44	этого не видел	1	1
45	в самом деле	7	1
46	и в особенности	1	1
47	в том и	2	1
48	никак не может	1	1
49	том что он	4	1
50	того или другого	1	1
51	так и не	1	1
52	в этом случае	2	1
53	что же касается	4	1
54	себе в этом	1	1
55	до сих пор	4	1
56	и говорит и	1	1
57	для себя и	1	1
58	вместе с тем	3	1
59	в строгом смысле	1	1
60	в первом и	1	1
61	первого сына спровадил	1	1
62	но для этого	1	1
63	всего то что	1	1
64	рано или поздно	2	1
65	не укладывается в	1	1
66	не может но	1	1
67	по крайней мере	5	1
68	зачем живет такой	1	1
69	к тому что	2	1
70	о том как	3	1
71	но уже совсем	1	1
72	до конца и	1	1
73	на тот случай	1	1
74	в противоречии с	1	1
75	к своему предмету	1	1
76	не найдем ни	1	1
77	и ничего не	1	1
78	даже и на	1	1
79	но и с	1	1
80	то же слово	1	1
81	я не сказал	1	1
82	потому что они	1	1
83	в свое время	2	1
84	здесь как бы	1	1
85	это потому что	1	1
86	что он есть	1	1
87	это еще не	1	1
88	себя и для	1	1
89	и с этой	1	1
90	и вместе с	1	1
91	в свою очередь	3	1
92	и того же	2	1
93	рядом с этим	1	1
94	о том что	5	1
95	тот случай если	1	1
96	до и после	1	1
97	еще один пример	1	1
98	одного и того	2	1
99	друг от друга	1	1
100	тем не менее	4	1
101	этого слова и	1	1
102	по сравнению со	1	1
103	то что они	1	1
104	для того чтобы	15	1
105	в них не	1	1
106	лицом к лицу	1	1
107	сравнению со словом	1	1
108	что и в	1	1
109	это как не	1	1
110	в этом отношении	5	1
