N	3gram	Vygotskiy__1	Problemy
1	на самом деле	2	9
2	с самого начала	1	8
3	во всяком случае	6	4
4	к нему и	1	4
5	в конце концов	3	3
6	с другой стороны	5	3
7	к тому же	1	3
8	в этом смысле	2	3
9	друг к другу	1	3
10	и то же	1	3
11	он не может	1	3
12	и в самом	2	3
13	одно и то	1	3
14	не может быть	8	3
15	подобно тому как	5	2
16	к тому чтобы	3	2
17	так и в	2	2
18	мы увидим что	2	2
19	и в этом	1	2
20	ни было в	1	2
21	именно потому что	1	2
22	смысле этого слова	2	2
23	в том что	9	2
24	того что он	1	2
25	как мы знаем	1	2
26	в отличие от	3	2
27	в сущности не	1	2
28	в такой же	1	2
29	с точки зрения	2	2
30	в каждом слове	1	2
31	то что я	2	2
32	на этот раз	1	2
33	о том что	7	1
34	в том же	1	1
35	и столь же	1	1
36	то есть оставленная	1	1
37	те же явления	1	1
38	и в этих	1	1
39	вопрос о том	1	1
40	в каждом произведении	1	1
41	и по ним	1	1
42	всяком случае в	2	1
43	благодаря тому что	2	1
44	то что у	3	1
45	том или ином	1	1
46	отношении друг к	1	1
47	в нем не	1	1
48	что почти все	1	1
49	том что он	1	1
50	отношение к другим	1	1
51	и во всяком	1	1
52	мы видели что	2	1
53	что в сущности	1	1
54	как и в	4	1
55	и в том	1	1
56	не только не	3	1
57	до конца и	1	1
58	которая может быть	1	1
59	для того чтобы	5	1
60	потому что в	1	1
61	до сих пор	3	1
62	а вовсе не	1	1
63	там где начинается	3	1
64	можно сказать что	1	1
65	и в особенности	1	1
66	слова то есть	2	1
67	что и в	2	1
68	еще далеко не	1	1
69	больше и больше	1	1
70	она резко отличается	1	1
71	не иначе как	1	1
72	в виду и	1	1
73	никак не может	2	1
74	точки зрения на	1	1
75	то же самое	2	1
76	с такими же	1	1
77	в которой он	1	1
78	и даже у	1	1
79	как бы в	1	1
80	в то время	5	1
81	но она не	1	1
82	то что он	1	1
83	так же и	1	1
84	и то что	1	1
85	резко отличается от	1	1
86	того что на	1	1
87	и может стать	1	1
88	в чем же	1	1
89	все больше и	1	1
90	прямо говорит что	1	1
91	заключает в себе	1	1
92	как будто бы	2	1
93	одного и того	1	1
94	в этом отношении	2	1
95	что на самом	1	1
96	в этом рассказе	1	1
97	в самом деле	7	1
98	и вместе с	1	1
99	особенно в его	1	1
100	вместе с тем	2	1
101	сама по себе	2	1
102	в том или	1	1
103	и в каждом	1	1
104	то что в	1	1
105	имел в виду	1	1
106	человек не только	1	1
107	без всякого сомнения	1	1
108	в свою очередь	1	1
109	в том и	2	1
110	дело в том	1	1
111	то время как	5	1
112	оставляем в стороне	1	1
113	тем не менее	2	1
114	другой точки зрения	1	1
115	видели что в	1	1
116	что это действительно	1	1
117	и того же	1	1
118	таким образом как	1	1
