N	2gram	Tiupa_Disk_2	Psycholo
1	то что	5	32
2	и в	16	31
3	в том	8	30
4	то есть	12	26
5	что в	5	23
6	может быть	16	22
7	таким образом	1	20
8	при этом	17	19
9	не может	9	17
10	художественного произведения	1	17
11	как и	16	16
12	и не	15	16
13	том что	10	16
14	точки зрения	4	15
15	только в	3	14
16	что и	2	13
17	а не	14	13
18	не только	10	13
19	в этом	16	12
20	мы не	1	12
21	не в	3	11
22	в области	2	11
23	в самом	1	11
24	с таким	2	11
25	могут быть	3	11
26	отдельного человека	1	10
27	того что	1	10
28	потому что	4	10
29	в сущности	1	10
30	самом деле	1	9
31	как в	8	9
32	ни в	7	9
33	во всяком	1	8
34	все это	2	8
35	вместе с	2	8
36	никогда не	2	8
37	и что	1	8
38	всякий раз	2	8
39	и его	3	7
40	есть в	2	7
41	сказать что	1	7
42	тому как	2	7
43	о том	4	7
44	что он	2	7
45	вовсе не	1	6
46	отнюдь не	6	6
47	а в	2	6
48	и даже	1	6
49	в его	3	6
50	из этих	3	6
51	всяком случае	1	6
52	одной стороны	4	6
53	до конца	1	6
54	все же	6	5
55	утверждать что	1	5
56	в целом	2	5
57	и для	2	5
58	и все	3	5
59	в какой	1	5
60	так что	1	5
61	иначе говоря	3	5
62	в ее	1	5
63	формы и	1	5
64	в процессе	1	5
65	в то	5	5
66	то же	6	5
67	другой стороны	2	5
68	отдельных лиц	1	5
69	с одной	4	5
70	она не	1	5
71	несмотря на	1	5
72	с другой	5	5
73	подобно тому	2	5
74	и есть	1	5
75	не является	4	5
76	как будто	3	5
77	как бы	4	5
78	в которой	1	4
79	в искусстве	1	4
80	для всех	1	4
81	прежде всего	7	4
82	в котором	3	4
83	в себе	19	4
84	и так	1	4
85	там где	1	4
86	же как	2	4
87	как это	1	4
88	в этих	3	4
89	с этой	1	4
90	между тем	2	4
91	различие между	1	4
92	совпадает с	2	4
93	к тому	1	4
94	один из	1	4
95	отличие от	12	4
96	мы имеем	2	4
97	могло бы	1	4
98	со стороны	10	4
99	в результате	2	4
100	в своих	6	4
101	столь же	3	4
102	к этому	4	4
103	точка зрения	1	4
104	никак не	1	4
105	одной и	1	4
106	указывает на	1	4
107	одна из	1	4
108	точек зрения	1	3
109	им в	1	3
110	исходя из	1	3
111	на деле	1	3
112	вопрос о	1	3
113	в собственном	1	3
114	в состоянии	1	3
115	мышления и	1	3
116	как на	3	3
117	и другой	1	3
118	так и	9	3
119	не было	3	3
120	должна быть	2	3
121	у пушкина	2	3
122	в своей	6	3
123	стороны и	2	3
124	но не	7	3
125	и только	1	3
126	все то	1	3
127	например в	3	3
128	но в	11	3
129	человека не	1	3
130	хотя и	1	3
131	из которых	1	3
132	мысли в	1	3
133	это и	1	3
134	конечном счете	1	3
135	что на	2	3
136	жизни и	3	3
137	и той	1	3
138	в силу	1	3
139	во всем	1	3
140	в одной	1	3
141	той же	2	3
142	в конечном	1	3
143	себе не	1	3
144	в этой	4	3
145	не есть	1	3
146	не могут	1	3
147	в отличие	12	3
148	он не	3	3
149	роль в	4	3
150	состоит в	16	3
151	в частности	12	3
152	в которых	1	3
153	и это	2	3
154	только на	1	3
155	речь идет	1	3
156	но это	3	3
157	в своем	5	3
158	на примере	2	3
159	показывает как	1	2
160	в полном	2	2
161	форму и	1	2
162	сведена к	1	2
163	и может	3	2
164	и здесь	1	2
165	поэзии и	1	2
166	тех же	1	2
167	и там	1	2
168	а слово	1	2
169	о чем	2	2
170	или не	1	2
171	отличается от	1	2
172	случае не	1	2
173	с достаточной	1	2
174	в поэзии	1	2
175	его не	1	2
176	не менее	7	2
177	к числу	1	2
178	из нас	1	2
179	в жизни	1	2
180	только о	1	2
181	с ним	1	2
182	в нем	7	2
183	то чтобы	1	2
184	даже в	1	2
185	тем самым	6	2
186	приводит к	3	2
187	в центр	1	2
188	в лирическом	2	2
189	и составляет	1	2
190	только то	1	2
191	не дает	1	2
192	там же	2	2
193	не знаем	1	2
194	не обладает	1	2
195	в одном	4	2
196	и с	2	2
197	одно из	4	2
198	и во	1	2
199	его в	3	2
200	что же	2	2
201	с совершенно	1	2
202	формы художественного	1	2
203	это в	2	2
204	есть не	1	2
205	к чему	1	2
206	к жизни	3	2
207	действия и	1	2
208	должна была	1	2
209	в себя	2	2
210	с теми	1	2
211	но и	11	2
212	отдельной личности	1	2
213	с точки	2	2
214	идет о	2	2
215	благодаря тому	1	2
216	которое может	1	2
217	им с	1	2
218	совпадают с	1	2
219	из этого	1	2
220	в качестве	16	2
221	одного и	3	2
222	на почве	2	2
223	таким путем	1	2
224	в применении	1	2
225	представляет собой	11	2
226	в чем	1	2
227	самому себе	1	2
228	не то	1	2
229	и от	1	2
230	того же	2	2
231	как она	1	2
232	имеет место	1	2
233	ничего не	1	2
234	в книге	1	2
235	теми же	1	2
236	по самой	1	2
237	тем не	1	2
238	все дело	1	2
239	быть сведена	1	2
240	из виду	3	2
241	уже не	3	2
242	в основе	4	2
243	восприятии и	1	2
244	в них	3	2
245	всякое произведение	1	2
246	но даже	1	2
247	будто бы	1	2
248	том же	1	2
249	приходит к	1	2
250	когда он	1	2
251	этом отношении	4	2
252	такой же	2	2
253	себя и	1	2
254	стало быть	1	2
255	в такой	1	2
256	далеко не	2	2
257	их в	2	2
258	нас в	1	2
259	одном из	3	2
260	и состоит	2	2
261	бы мы	1	2
262	этом не	1	2
263	и их	1	2
264	и то	4	2
265	не быть	1	2
266	отношение к	2	2
267	из них	3	2
268	к другим	1	2
269	и следовательно	1	2
270	мы все	1	2
271	и как	3	2
272	применении к	1	2
273	и другого	2	2
274	может не	1	1
275	в стихотворении	1	1
276	эстетический характер	1	1
277	полной мере	1	1
278	как при	1	1
279	как со	1	1
280	в значительной	1	1
281	нужно и	1	1
282	но она	3	1
283	не между	1	1
284	представление будто	1	1
285	и того	3	1
286	мысль об	1	1
287	еще не	6	1
288	по выражению	1	1
289	одно и	2	1
290	мире в	3	1
291	тогда как	11	1
292	по словам	2	1
293	по двум	1	1
294	с действием	1	1
295	же это	1	1
296	можно сказать	3	1
297	аналогии с	1	1
298	есть по	1	1
299	бы то	1	1
300	его с	1	1
301	как искусство	1	1
302	в нескольких	1	1
303	жизни с	1	1
304	сводить к	1	1
305	своей основе	1	1
306	поскольку речь	1	1
307	для себя	2	1
308	что как	2	1
309	нас не	1	1
310	может служить	1	1
311	о своем	1	1
312	не к	2	1
313	следует указать	1	1
314	чем это	1	1
315	хх столетия	1	1
316	но при	2	1
317	перед ним	1	1
318	в готовом	1	1
319	обращается к	1	1
320	при отсутствии	1	1
321	как такового	1	1
322	о влиянии	1	1
323	ведет к	3	1
324	одновременно и	1	1
325	числе и	1	1
326	рассказа и	1	1
327	же мере	1	1
328	строго говоря	1	1
329	на материале	1	1
330	она оказывается	1	1
331	из двух	3	1
332	было в	3	1
333	как нечто	1	1
334	в тумане	1	1
335	как уже	2	1
336	близко к	1	1
337	включает в	1	1
338	автором и	1	1
339	однако этот	1	1
340	но с	1	1
341	которая может	1	1
342	именно в	2	1
343	этот тезис	1	1
344	можно только	1	1
345	дело не	1	1
346	или иная	1	1
347	человек не	1	1
348	если в	1	1
349	во всех	1	1
350	вследствие этого	2	1
351	здесь в	3	1
352	точке зрения	1	1
353	туман и	1	1
354	действующих лиц	1	1
355	и вне	1	1
356	то в	1	1
357	заключает в	2	1
358	стороны в	1	1
359	между ними	1	1
360	пока еще	2	1
361	слов и	1	1
362	ответ на	1	1
363	собой в	1	1
364	из нескольких	1	1
365	но все	1	1
366	принадлежит к	3	1
367	там и	1	1
368	и была	1	1
369	сводится к	2	1
370	является результатом	1	1
371	повести в	1	1
372	жизни в	3	1
373	оно не	1	1
374	его как	1	1
375	одной из	1	1
376	время в	2	1
377	всем что	1	1
378	своей исходной	1	1
379	на чем	1	1
380	изображения и	1	1
381	уже было	1	1
382	восприятия и	1	1
383	о смерти	1	1
384	вплоть до	1	1
385	содержания и	1	1
386	для него	5	1
387	и оценки	1	1
388	в лирике	7	1
389	в условиях	1	1
390	он описывает	1	1
391	в таких	1	1
392	что ни	2	1
393	оно приобретает	1	1
394	в той	2	1
395	задний план	1	1
396	и лирического	1	1
397	это не	3	1
398	как система	1	1
399	от субъекта	1	1
400	времени и	2	1
401	это отнюдь	1	1
402	различные формы	1	1
403	исторического развития	1	1
404	и мир	1	1
405	написать роман	1	1
406	одном и	1	1
407	поэта он	1	1
408	за пределы	1	1
409	быть признаны	1	1
410	даже при	1	1
411	именно о	1	1
412	что этот	1	1
413	из главных	1	1
414	произведения как	2	1
415	подход к	3	1
416	и на	5	1
417	случае мы	1	1
418	виду что	1	1
419	но если	1	1
420	при всех	1	1
421	существенную роль	1	1
422	в других	1	1
423	для меня	1	1
424	а напротив	1	1
425	к созданию	1	1
426	языка и	1	1
427	звук в	1	1
428	имеем дело	1	1
429	в одних	1	1
430	конечно же	1	1
431	той самой	1	1
432	без которого	1	1
433	в самых	1	1
434	не заключает	1	1
435	лишена смысла	1	1
436	своего рода	10	1
437	дело в	2	1
438	и наконец	3	1
439	живет в	2	1
440	и вследствие	1	1
441	и слушателей	1	1
442	должно быть	2	1
443	только через	1	1
444	все люди	2	1
445	же и	1	1
446	со всей	1	1
447	а с	5	1
448	оба они	1	1
449	в первом	1	1
450	характер и	1	1
451	на базисе	2	1
452	чтобы питать	1	1
453	в быт	1	1
454	еще и	1	1
455	в эпоху	1	1
456	и наоборот	1	1
457	ему в	1	1
458	вместе почему	1	1
459	с их	2	1
460	что стихотворение	1	1
461	по своему	1	1
462	в пределах	4	1
463	лиц с	1	1
464	не дай	1	1
465	является не	2	1
466	в особенности	1	1
467	не приводит	1	1
468	и др	1	1
469	традиции в	1	1
470	но прежде	1	1
471	ни было	1	1
472	не была	1	1
473	по преимуществу	2	1
474	а к	2	1
475	ключом к	2	1
476	мере в	1	1
477	той мере	1	1
478	обращено к	1	1
479	того как	1	1
480	для элегии	3	1
481	с конца	1	1
482	в сторону	1	1
483	слова и	1	1
484	в творчестве	3	1
485	в полной	1	1
486	в мире	11	1
487	тем как	1	1
488	она и	1	1
489	записок охотника	1	1
490	принципиальное различие	1	1
491	и само	1	1
492	поэтому в	1	1
493	пророк пушкина	1	1
494	как у	1	1
495	в это	1	1
496	бы его	1	1
497	существенно для	1	1
498	и том	1	1
499	и столь	1	1
500	и еще	1	1
501	с его	6	1
502	и между	1	1
503	том числе	1	1
504	я не	1	1
505	грань между	1	1
506	того и	2	1
507	истины и	1	1
508	другие как	1	1
509	мы его	1	1
510	и ее	3	1
511	но из	1	1
512	с самого	1	1
513	та или	1	1
514	время и	1	1
515	это время	1	1
516	и полное	1	1
517	же в	1	1
518	он представляет	1	1
519	а также	8	1
520	на этот	1	1
521	не принадлежит	1	1
522	не бывает	1	1
523	из ее	1	1
524	содержание и	1	1
525	системы а	1	1
526	но их	1	1
527	где образ	1	1
528	в ней	2	1
529	бытия и	2	1
530	в рассказе	4	1
531	при изучении	1	1
532	должен быть	1	1
533	он должен	1	1
534	об этом	1	1
535	что может	1	1
536	что лирика	1	1
537	своей природе	1	1
538	соответствии с	3	1
539	случае так	1	1
540	одного из	4	1
541	не следует	3	1
542	законченной и	1	1
543	здесь как	1	1
544	в памяти	1	1
545	о субъективности	1	1
546	перед нами	3	1
547	именно это	1	1
548	а потом	2	1
549	он как	1	1
550	и могут	1	1
551	такая же	1	1
552	о нем	1	1
553	к выводу	1	1
554	человека в	4	1
555	мысль о	3	1
556	как о	1	1
557	как сказано	1	1
558	самого начала	1	1
559	к одному	1	1
560	она была	1	1
561	и более	1	1
562	основе своей	2	1
563	но для	1	1
564	самый процесс	1	1
565	во втором	1	1
