N	4gram	Potebnia_M_4	Psycholo
1	заключается в том что	1	4
2	и то и другое	1	3
3	и вместе с тем	1	2
4	все более и более	2	2
5	таким образом мы видим	1	1
6	что ни слово то	1	1
7	до такой степени что	1	1
8	обратите внимание на то	1	1
9	для меня то что	1	1
10	если обратить внимание на	1	1
11	до сих пор не	1	1
12	одной и той же	1	1
13	в том смысле что	1	1
14	есть не более как	1	1
15	не в том что	1	1
16	сразу догадаться что он	1	1
17	в том случае если	1	1
18	не то что в	1	1
19	один и тот же	2	1
20	одна и та же	1	1
21	только в том что	1	1
22	в том что как	1	1
23	о том что такое	1	1
24	мы старались показать что	1	1
25	а если так то	1	1
