N	2gram	Propp_Isto_7	Psycholo
1	и в	24	38
2	то что	7	35
3	в том	7	25
4	в самом	2	25
5	самом деле	1	21
6	что в	13	20
7	может быть	14	19
8	и что	10	18
9	на то	3	16
10	что она	5	16
11	точки зрения	4	16
12	в ней	1	15
13	и т	17	14
14	том что	10	14
15	если бы	1	14
16	как бы	4	14
17	потому что	9	14
18	в этом	12	13
19	в этой	1	13
20	совершенно ясно	4	13
21	не только	21	12
22	таким образом	7	12
23	было бы	2	12
24	не в	9	12
25	мы видим	10	12
26	мы увидим	6	12
27	что он	21	11
28	то же	8	10
29	что это	6	10
30	и не	4	10
31	же самое	1	10
32	и все	6	10
33	увидим что	2	9
34	о которых	1	9
35	с точки	1	9
36	и то	1	8
37	с этим	2	8
38	все же	9	8
39	и как	1	8
40	с тем	1	8
41	как и	6	8
42	видим что	3	8
43	и это	2	8
44	так что	3	8
45	вовсе не	4	8
46	для того	1	8
47	перед нами	2	8
48	для нас	6	8
49	из этого	1	8
50	показать что	1	7
51	мы уже	4	7
52	с другой	9	7
53	мы можем	4	7
54	не может	14	7
55	как мы	3	7
56	в ее	2	7
57	что у	4	7
58	никак не	1	7
59	а не	8	7
60	а в	10	7
61	и на	2	6
62	в которых	1	6
63	как это	2	6
64	и если	3	6
65	он не	6	6
66	мы видели	7	6
67	в котором	2	6
68	тому что	2	6
69	она не	2	6
70	не имеет	4	6
71	и его	3	6
72	к тому	1	6
73	указывает на	1	6
74	ясно что	1	6
75	и здесь	12	6
76	о том	9	6
77	один из	7	6
78	с одной	5	6
79	из них	2	6
80	так как	8	6
81	до сих	2	6
82	там где	5	6
83	он говорит	2	6
84	должна быть	1	5
85	мы не	4	5
86	я не	1	5
87	в своем	1	5
88	в которой	2	5
89	в другом	1	5
90	в своей	1	5
91	т п	1	5
92	и когда	2	5
93	в его	1	5
94	в какой	1	5
95	но и	11	5
96	одной стороны	5	5
97	вместе с	7	5
98	сих пор	3	5
99	или в	8	5
100	другой стороны	8	5
101	что эти	2	4
102	что если	1	4
103	которую мы	1	4
104	время как	2	4
105	во всех	7	4
106	что они	3	4
107	как в	12	4
108	когда он	3	4
109	в целом	1	4
110	все эти	2	4
111	в тех	5	4
112	если он	3	4
113	в нем	6	4
114	при этом	4	4
115	т д	16	4
116	здесь мы	5	4
117	не мог	1	4
118	но если	1	4
119	не могли	1	4
120	что этот	2	4
121	что эта	1	4
122	и другое	2	4
123	одна из	7	4
124	из него	1	4
125	никогда не	4	4
126	больше чем	1	4
127	в самой	1	4
128	как будто	1	4
129	здесь совершенно	1	4
130	мы все	1	4
131	когда в	1	4
132	согласиться с	2	4
133	образом мы	2	4
134	что и	8	4
135	у всех	1	4
136	только в	6	4
137	конечно не	2	4
138	не можем	2	4
139	при помощи	3	4
140	у него	10	4
141	и даже	3	4
142	из которых	1	4
143	по своему	1	4
144	того что	6	4
145	сказать что	2	4
146	ее в	3	4
147	должен быть	1	3
148	того же	2	3
149	смысл этого	1	3
150	сам автор	1	3
151	по его	2	3
152	совсем не	1	3
153	совершенно другой	1	3
154	что по	2	3
155	и к	1	3
156	но в	5	3
157	та же	2	3
158	из этих	3	3
159	больше не	1	3
160	состоит в	1	3
161	могла бы	1	3
162	его в	3	3
163	и тем	2	3
164	ни в	2	3
165	в них	3	3
166	далеко не	1	3
167	действительно не	1	3
168	в один	2	3
169	она в	3	3
170	всякий раз	1	3
171	в то	2	3
172	того как	3	3
173	смысл этой	1	3
174	в основе	2	3
175	как только	2	3
176	где он	1	3
177	и о	2	3
178	из двух	1	3
179	и которые	1	3
180	он был	1	3
181	из одного	3	3
182	и только	1	3
183	здесь не	2	3
184	тот же	2	3
185	не так	2	3
186	к ним	2	3
187	тем что	6	3
188	такое же	2	3
189	что не	2	3
190	то и	4	3
191	как если	1	3
192	когда она	2	3
193	но это	3	3
