N	3gram	Vinokur_St_2	Psycholo
1	в самом деле	2	18
2	на то что	2	12
3	в том что	16	11
4	с точки зрения	2	9
5	для того чтобы	5	8
6	в сущности говоря	1	7
7	заключается в том	1	6
8	с самого начала	3	6
9	до сих пор	5	5
10	и т п	3	5
11	с другой стороны	3	5
12	и т д	6	4
13	и в этом	2	3
14	не имеет никакого	1	3
15	о том что	11	3
16	речь идет о	3	3
17	в прямом смысле	1	2
18	на самом деле	1	2
19	в таком виде	1	2
20	то что с	1	2
21	то что в	2	2
22	вместе с тем	5	2
23	не то что	1	2
24	одно и то	1	2
25	в данном случае	1	2
26	между тем в	1	2
27	и то же	1	2
28	не в том	2	2
29	во всяком случае	3	2
30	что у него	1	2
31	то что он	2	2
32	я не могу	1	2
33	потому что они	1	2
34	в то время	1	2
35	и вместе с	1	2
36	в свою очередь	1	2
37	к тому что	5	2
38	в том смысле	2	2
39	при помощи которого	1	2
40	как мы видели	1	2
41	и в другом	1	2
42	том что она	1	1
43	но все же	2	1
44	драматической поэзии которая	1	1
45	присутствует в каждой	1	1
46	к которым прибегает	1	1
47	что в этом	1	1
48	где речь идет	1	1
49	только что в	2	1
50	более или менее	2	1
51	внимание на то	1	1
52	каждого из них	1	1
53	и в полном	2	1
54	он не может	1	1
55	идет не о	1	1
56	в зависимости от	1	1
57	что он не	4	1
58	в отличие от	2	1
59	интересно что этот	1	1
60	в этом отношении	9	1
61	с тем что	2	1
62	обратить внимание на	4	1
63	стороны нельзя не	1	1
64	другой стороны нельзя	1	1
65	речь идет не	1	1
66	что в его	1	1
67	здесь нет и	1	1
68	той точки зрения	1	1
69	тот факт что	4	1
70	что оба эти	2	1
71	в той же	1	1
72	в этом месте	2	1
73	что в речи	1	1
74	дело не в	1	1
75	и на этом	1	1
76	между тем легко	1	1
77	мере в какой	2	1
78	действующих лиц на	1	1
79	в комментариях к	1	1
80	и эти два	1	1
81	а между тем	1	1
82	о которых он	1	1
83	по сравнению с	1	1
84	имел в виду	1	1
85	том смысле что	1	1
86	в том чтобы	1	1
87	что в ней	1	1
88	и что следовательно	1	1
89	в сторону от	1	1
90	не только не	2	1
91	в самом факте	1	1
92	по этому поводу	2	1
93	так что в	1	1
94	в предисловии к	2	1
95	совпадает с той	1	1
96	когда говорил о	1	1
97	по его мнению	1	1
98	в высшей степени	1	1
99	к тому же	2	1
100	как раз в	2	1
