N	3gram	Vygotskiy__4	Psycholo
1	в самом деле	6	18
2	на то что	4	12
3	в том что	31	11
4	с точки зрения	11	9
5	для того чтобы	5	8
6	то же самое	7	8
7	мы увидим что	1	7
8	мы видим что	2	7
9	в сущности говоря	1	7
10	заключается в том	14	6
11	с самого начала	1	6
12	с одной стороны	9	5
13	совершенно ясно что	1	5
14	с другой стороны	8	5
15	до сих пор	1	5
16	о том что	3	3
17	мы уже говорили	2	3
18	указывает на то	1	3
19	как если бы	1	3
20	речь идет о	3	3
21	и то что	4	3
22	не имеет никакого	1	3
23	мы могли бы	9	3
24	то и другое	1	3
25	совершенно другой смысл	1	2
26	который говорит что	1	2
27	о том как	1	2
28	и во всех	1	2
29	более и более	2	2
30	мы видели что	2	2
31	ничего не может	1	2
32	он говорит что	1	2
33	того же самого	2	2
34	больше и больше	1	2
35	смысле этого слова	7	2
36	то что с	1	2
37	к тому что	1	2
38	в том смысле	2	2
39	и та же	1	2
40	и как бы	1	2
41	и то же	6	2
42	на самом деле	1	2
43	совершенно прав когда	1	2
44	все больше и	1	2
45	то что в	1	2
46	имеет место в	1	2
47	параллельно с этим	1	2
48	может быть не	1	2
49	только то что	1	2
50	мы видим в	2	2
51	вместе с тем	3	2
52	как мы видели	2	2
53	только в том	2	2
54	в какой мере	1	2
55	то время как	1	2
56	все более и	2	2
57	мы старались показать	1	2
58	во всяком случае	3	2
59	в свою очередь	2	2
60	в данном случае	2	2
61	одно и то	6	2
62	в то время	1	2
63	мы можем сказать	1	1
64	подобно тому как	2	1
65	том смысле что	1	1
66	и тот же	7	1
67	в том виде	2	1
68	что с одной	1	1
69	нового по сравнению	1	1
70	в одном слове	1	1
71	видим что все	1	1
72	самом деле если	1	1
73	одной и той	4	1
74	оно состоит в	1	1
75	что в действительности	1	1
76	мы знаем что	1	1
77	и как мы	1	1
78	тот факт что	1	1
79	по сравнению с	3	1
80	из которых каждая	1	1
81	и здесь мы	1	1
82	так как они	1	1
83	в той же	1	1
84	что они представляют	1	1
85	о которых говорит	1	1
86	один и тот	7	1
87	можно сказать что	1	1
88	не только не	5	1
89	на каждом шагу	6	1
90	но если мы	1	1
91	имеет совершенно другой	1	1
92	и при этом	1	1
93	самом деле то	1	1
94	могли бы сказать	2	1
95	заключает в себе	1	1
96	в русском языке	1	1
97	та мысль что	1	1
98	потому что в	1	1
99	к тому же	1	1
100	не только то	1	1
101	мы сейчас увидим	1	1
102	что в этом	1	1
103	а с другой	2	1
104	что все эти	1	1
105	то же слово	3	1
106	в целом ряде	2	1
107	тех слов которые	1	1
108	так например в	1	1
109	говорит один из	1	1
110	не иначе как	1	1
111	в их основе	1	1
112	что он не	1	1
113	они представляют собой	1	1
114	том случае если	1	1
115	указывают на то	1	1
116	как мы постараемся	1	1
117	во всех остальных	1	1
118	с тем что	3	1
119	не может быть	1	1
120	показывает что в	1	1
121	как это мы	2	1
122	между этими двумя	2	1
123	в целом мы	2	1
124	другой стороны мы	2	1
125	в сложном и	1	1
126	такой же мере	1	1
127	том смысле как	1	1
128	в которой они	1	1
129	и между тем	1	1
130	не только у	1	1
131	в такой же	1	1
132	как бы в	1	1
133	состоит в том	3	1
134	можно было бы	5	1
135	всякий раз в	1	1
136	но как мы	1	1
137	еще дальше и	1	1
138	к одной и	2	1
139	одной и другой	1	1
140	в отличие от	2	1
141	в этом совершенно	1	1
142	было бы назвать	2	1
143	и что следовательно	1	1
144	и той же	4	1
145	по своему значению	3	1
146	в том случае	1	1
147	если мы рассмотрим	1	1
148	иметь ничего общего	1	1
149	как один из	1	1
150	со всеми присущими	1	1
151	внимание на то	1	1
152	а отнюдь не	1	1
153	целым рядом других	1	1
154	есть необходимое условие	1	1
155	том что они	2	1
156	в противоречие с	2	1
157	но все же	1	1
158	таким образом что	4	1
159	мы уже указывали	1	1
160	со всеми остальными	1	1
161	в зависимости от	1	1
162	сплошь и рядом	1	1
163	одна и та	1	1
164	чем перейти к	1	1
165	ни в какой	1	1
166	одновременно с этим	1	1
167	прав когда он	1	1
168	имел в виду	1	1
169	с таким образом	3	1
170	в этом отношении	7	1
171	перед нами в	1	1
172	в том чтобы	2	1
173	в высшей степени	2	1
174	мы говорили выше	1	1
175	или еще чаще	1	1
176	всяком случае очень	1	1
177	здесь мы имеем	1	1
178	как правильно указывает	1	1
179	и что в	2	1
180	если бы мы	1	1
181	таким образом все	1	1
182	мы никогда не	1	1
183	этой точки зрения	4	1
184	как и на	2	1
185	когда он говорит	1	1
186	с этой точки	4	1
187	мы будем иметь	1	1
