1	не только	22	17
2	и в	36	14
3	и не	6	12
4	в области	3	11
5	в этом	12	10
6	н а	5	10
7	в том	17	9
8	то же	3	9
9	но в	2	9
10	в качестве	3	9
11	н и	1	8
12	в пределах	1	8
13	только в	4	7
14	в то	1	7
15	в о	1	7
16	но и	16	6
17	в ней	2	6
18	было бы	1	6
19	е с	1	6
20	быть может	1	6
21	россии в	1	5
22	и о	1	5
23	а н	18	5
24	может быть	8	5
25	в которых	5	5
26	и пр	2	5
27	если бы	1	4
28	же в	1	4
29	г о	1	4
30	а в	9	4
31	из рамок	1	4
32	а также	3	4
33	и к	3	4
34	том что	19	4
35	как бы	5	4
36	что в	19	4
37	мы должны	2	4
38	не может	4	4
39	в своем	3	4
40	то что	6	4
41	и потому	2	4
42	мы не	6	3
43	могут быть	2	3
44	но не	2	3
45	наряду с	1	3
46	хотя и	2	3
47	с тем	8	3
48	в себе	1	3
49	потому что	10	3
50	точки зрения	3	3
51	и т	10	3
52	между тем	7	3
53	и как	2	3
54	т е	17	3
55	в нем	2	3
56	что мы	1	3
57	тот же	1	3
58	в россии	4	3
59	с ними	5	3
60	это не	10	3
61	и без	1	3
62	с точки	3	3
63	м и	1	2
64	с этим	2	2
65	ii в	2	2
66	в начале	1	2
67	церкви и	1	2
68	и тем	1	2
69	а не	2	2
70	бы ни	1	2
71	и и	2	2
72	в виде	6	2
73	не к	1	2
74	и с	2	2
75	есть в	1	2
76	и других	7	2
77	в его	2	2
78	говорить о	1	2
79	для нас	6	2
80	которую мы	1	2
81	все это	6	2
82	в частности	2	2
83	если в	3	2
84	по-видимому не	1	2
85	не столько	1	2
86	никак не	1	2
87	русский народ	1	2
88	между прочим	2	2
89	в них	6	2
90	в е	2	2
91	не менее	3	2
92	во всей	1	2
93	думать что	3	2
94	не было	2	2
95	православия и	1	2
96	например в	2	2
97	другие народы	1	2
98	того что	4	2
99	переход от	2	2
100	было в	1	2
101	одна из	4	2
102	не о	1	2
103	и дети	1	2
104	своем значении	1	2
105	в жизни	2	2
106	из них	8	2
107	которое в	1	2
108	как на	1	2
109	в xix	10	2
110	во всех	4	2
111	в силу	2	2
112	в русском	4	2
113	главным образом	2	2
114	подошел к	1	2
115	отнюдь не	2	2
116	в общем	1	2
117	для них	3	2
118	и мы	1	2
119	точек зрения	1	2
120	и это	1	2
121	и г	1	2
122	не будем	3	2
123	только на	3	1
124	должна быть	1	1
125	связанные с	3	1
126	в различных	2	1
127	его в	1	1
128	и теперь	1	1
129	или его	1	1
130	не связаны	1	1
131	в свете	2	1
132	основные черты	1	1
133	в это	3	1
134	в других	11	1
135	мы можем	2	1
136	них в	2	1
137	взывает к	1	1
138	ли не	1	1
139	к жизни	3	1
140	не как	1	1
141	можно говорить	2	1
142	и смысла	1	1
143	с собой	4	1
144	в отдельности	2	1
145	что дело	1	1
146	силам и	2	1
147	что все	1	1
148	говорить об	1	1
149	ли они	1	1
150	в иной	1	1
151	но церковь	1	1
152	в русских	1	1
153	по преимуществу	1	1
154	как и	10	1
155	прежде чем	1	1
156	на то	1	1
157	теми же	1	1
158	в г	4	1
159	еще не	4	1
160	из чего	1	1
161	одно из	5	1
162	во многих	5	1
163	а с	4	1
164	всяком случае	1	1
165	каждый из	1	1
166	большинстве случаев	2	1
167	с другом	1	1
168	в и	17	1
169	силы они	1	1
170	в которой	1	1
171	представляют собой	7	1
172	сливаются в	1	1
173	находится в	2	1
174	народов как	1	1
175	и должна	1	1
176	представляют собою	1	1
177	рассматривать как	1	1
178	настоящее время	3	1
179	в данном	1	1
180	что от	2	1
181	связь между	2	1
182	есть несколько	1	1
183	так же	3	1
184	вероятно что	1	1
185	и теми	1	1
186	xx в	2	1
187	на себя	2	1
188	поэзии и	1	1
189	в жертву	1	1
190	стремление к	1	1
191	что было	1	1
192	что и	7	1
193	связаны с	3	1
194	в собственном	1	1
195	что это	3	1
196	и менее	1	1
197	друг с	1	1
198	на этой	2	1
199	в основном	3	1
200	которого в	2	1
201	также в	3	1
202	можно рассматривать	1	1
203	собственном смысле	1	1
204	прибегают к	1	1
205	в истории	1	1
206	представить себе	1	1
207	относящиеся к	2	1
208	в развитии	1	1
209	к ним	3	1
210	вместе с	10	1
211	к поздним	1	1
212	и ее	1	1
213	этом не	1	1
214	в большинстве	2	1
215	во всяком	1	1
216	в отрыве	1	1
217	же как	1	1
218	не с	3	1
219	как известно	2	1
220	является и	1	1
221	она не	2	1
222	они не	1	1
223	обратиться к	1	1
224	мы знаем	1	1
225	что не	1	1
226	это значение	1	1
227	эти сроки	1	1
228	борьбе с	1	1
229	с которым	1	1
230	это имеет	2	1
231	только как	1	1
232	и на	10	1
233	судить по	2	1
234	известно не	1	1
235	также и	1	1
236	в отличие	1	1
237	там где	2	1
238	отличие от	1	1
239	и м	14	1
240	не более	1	1
241	возможно что	1	1
242	он был	2	1
243	мы видим	2	1
244	тогда когда	1	1
245	по всему	1	1
246	характер этого	2	1
247	и который	1	1
248	случаях когда	1	1
249	что если	1	1
250	на заре	1	1
251	уже в	1	1
252	говорится о	2	1
253	восстановить и	1	1
254	можно думать	1	1
255	в прошлом	2	1
256	о русском	1	1
257	перечисленных выше	1	1
258	именно здесь	1	1
259	нужно обратиться	1	1
260	тем же	1	1
261	и по	8	1
262	место в	1	1
263	не вполне	1	1
264	на две	1	1
265	этот вывод	1	1
266	христа и	3	1
267	м е	4	1
268	и эти	1	1
269	и многие	2	1
270	и самих	1	1
271	в народе	1	1
272	и при	1	1
273	и здесь	2	1
274	и более	2	1
275	т д	9	1
276	что именно	2	1
277	обе эти	1	1
278	в каждом	2	1
279	коммунистической партии	1	1
280	тем и	2	1
281	в настоящее	3	1
282	не имеет	6	1
283	думается что	1	1
284	чем тот	1	1
285	еще в	4	1
286	скота и	1	1
287	но для	1	1
288	более широкой	1	1
289	в эти	4	1
290	из этих	4	1
291	вопрос о	1	1
292	те же	1	1
293	на будущее	1	1
294	из всех	1	1
295	вознесение и	1	1
296	не были	2	1
297	для этого	2	1
298	о котором	1	1
299	его нет	1	1
300	древней руси	2	1
301	есть некоторая	1	1
302	иной раз	1	1
303	не будут	1	1
304	более как	1	1
305	и другие	13	1
306	весь мир	1	1
307	в древней	2	1
308	что по	4	1
309	и наоборот	1	1
310	и другим	2	1
311	болгар сербов	1	1
312	но есть	2	1
313	прямо на	1	1
314	как по	2	1
315	и духовные	1	1
316	есть и	1	1
317	не означает	2	1
318	и что	4	1
319	наша задача	1	1
320	многих случаях	2	1
321	можно судить	1	1
322	xix в	13	1
323	в какой	2	1
324	в иных	1	1
325	во времена	1	1
326	и всегда	1	1
327	что во	1	1
328	для каждого	1	1
329	не все	1	1
330	на основе	1	1
331	все же	5	1
332	далеко не	3	1
333	на основании	1	1
334	в этих	3	1
335	европы в	2	1
336	известных в	1	1
337	с его	1	1
338	на свои	1	1
339	вносили в	1	1
340	что есть	1	1
341	должна была	2	1
342	с трудом	1	1
343	широкой и	1	1
344	а затем	1	1
345	в одно	1	1
346	в этой	1	1
347	е а	2	1
348	их не	2	1
349	не просто	2	1
350	на каждом	3	1
351	представляет собой	4	1
352	первой половине	1	1
