N	3gram	Bakhtin_fo_2	RusskieA
1	в том что	3	18
2	в этом случае	2	6
3	в данном случае	1	6
4	для того чтобы	7	6
5	и т д	3	5
6	вместе с тем	1	4
7	о том что	1	4
8	там же в	1	4
9	в отличие от	1	3
10	не может быть	1	3
11	в воду и	1	2
12	как можно больше	1	2
13	в то время	1	2
14	с одной стороны	1	2
15	то и дело	1	2
16	смерть и смех	2	2
17	в другом месте	2	1
18	и связанных с	1	1
19	не может не	1	1
20	в народном сознании	1	1
21	в виду что	1	1
22	но в данном	1	1
23	так что в	1	1
24	в том же	4	1
25	о том как	3	1
26	по существу не	1	1
27	в царстве мертвых	2	1
28	на этом же	1	1
29	но и в	3	1
30	как мы увидим	1	1
31	между тем как	1	1
32	а так как	1	1
33	в этом отношении	2	1
34	то что в	1	1
35	по аналогии с	1	1
36	а вместе с	1	1
37	все же в	2	1
38	сюда же относится	1	1
39	но и как	1	1
40	здесь еще не	1	1
41	может быть и	2	1
42	у нас это	1	1
43	на первый взгляд	1	1
44	и в этом	3	1
45	ее к себе	1	1
46	во всех этих	3	1
47	это имеет место	1	1
48	то время как	1	1
49	данном случае мы	1	1
50	том что они	1	1
51	и в человеческом	1	1
52	с другой стороны	1	1
53	и затем в	1	1
54	в свою очередь	1	1
55	в новой форме	1	1
56	можно сказать что	1	1
57	тем более что	2	1
58	за тридевять земель	1	1
59	каждый из этих	1	1
60	как мы уже	4	1
61	до некоторой степени	1	1
62	всех этих случаях	1	1
63	как и в	1	1
64	как мы видели	1	1
65	вне связи с	1	1
