N	3gram	Losev_Prob_2	RusskieA
1	в том что	4	18
2	для того чтобы	2	6
3	в этом случае	7	6
4	в данном случае	5	6
5	и т д	6	5
6	о том что	14	4
7	так же как	1	4
8	вместе с тем	1	4
9	подобно тому как	2	3
10	только тогда когда	3	3
11	в этих случаях	1	3
12	том что это	1	3
13	не может быть	3	3
14	мы не можем	1	2
15	с одной стороны	5	2
16	по этому поводу	2	2
17	и многие другие	2	2
18	мы не будем	1	2
19	но вместе с	1	2
20	не что иное	3	2
21	на самом же	1	2
22	то и дело	1	2
23	может быть только	2	2
24	что иное как	3	2
25	пока еще не	4	2
26	же как и	1	2
27	самом же деле	1	2
28	тем не менее	12	2
29	в то время	1	2
30	так что в	2	1
31	это и есть	2	1
32	всяком случае не	2	1
33	представление о них	1	1
34	для нас важно	1	1
35	том что в	2	1
36	о том как	1	1
37	здесь мы имеем	1	1
38	или даже не	1	1
39	во многих отношениях	1	1
40	прежде всего как	1	1
41	и в этом	3	1
42	к выводу что	1	1
43	но это не	1	1
44	может быть и	2	1
45	имея в виду	2	1
46	а может быть	2	1
47	на то что	4	1
48	иметь в виду	1	1
49	между тем как	1	1
50	бы значительно увеличить	1	1
51	те или другие	4	1
52	в советской науке	2	1
53	того или другого	2	1
54	ни одна из	1	1
55	и во многих	1	1
56	или даже просто	1	1
57	как и вообще	1	1
58	но далеко не	1	1
59	на первый взгляд	1	1
60	можно было бы	2	1
61	и на земле	1	1
62	для нас важны	1	1
63	в настоящее время	16	1
64	а так как	1	1
65	нужно было бы	1	1
66	более или менее	4	1
67	то что в	1	1
68	что представление о	1	1
69	в этом отношении	1	1
70	а это в	1	1
71	вопрос о том	2	1
72	имеет и свои	1	1
73	можно сказать что	3	1
74	этом случае на	1	1
75	на тот же	1	1
76	однако все эти	1	1
77	он был бы	1	1
78	для нас не	1	1
79	далеко не все	1	1
80	не только на	1	1
81	мы и здесь	1	1
82	между собой и	2	1
83	но и в	3	1
84	не может не	1	1
85	то время как	1	1
86	было бы значительно	1	1
87	во всяком случае	10	1
88	как мы уже	1	1
89	с другой стороны	5	1
