N	2gram	Vinokur_Ku_1	RusskieA
1	и в	24	29
2	т е	38	24
3	том что	21	22
4	в том	30	22
5	что в	17	22
6	как бы	7	18
7	состоит в	3	15
8	в других	1	15
9	так как	9	13
10	может быть	13	13
11	в этом	14	11
12	как и	2	11
13	одна из	1	11
14	не только	10	10
15	и с	5	10
16	е в	2	10
17	все это	6	10
18	во многих	2	9
19	а на	2	9
20	о том	9	9
21	в некоторых	1	9
22	а в	5	9
23	его в	1	8
24	показывает что	1	8
25	а а	3	8
26	но и	6	8
27	ее в	2	8
28	как в	4	7
29	мы видели	1	7
30	или в	2	7
31	мы имеем	6	6
32	еще не	5	6
33	и на	4	6
34	при этом	6	6
35	таким образом	12	6
36	того чтобы	17	6
37	для нас	2	6
38	для того	16	6
39	с тем	5	6
40	вместе с	7	6
41	в данном	4	6
42	этом случае	2	6
43	же в	4	6
44	и т	33	5
45	но не	5	5
46	следующим образом	1	5
47	но в	2	5
48	это не	7	5
49	т д	14	5
50	не может	7	5
51	представление о	3	5
52	потому что	23	5
53	для этого	3	5
54	и что	5	5
55	будто бы	1	5
56	или же	1	5
57	к жизни	2	5
58	то что	9	5
59	к этому	1	5
60	же как	1	4
61	то же	8	4
62	вопрос о	2	4
63	не все	2	4
64	уже не	8	4
65	том же	2	4
66	в них	7	4
67	далеко не	1	4
68	в которых	6	4
69	не в	11	4
70	тогда когда	6	4
71	у нас	10	4
72	а также	1	4
73	так что	4	4
74	то и	2	4
75	из них	4	4
76	именно в	6	4
77	а не	8	4
78	о чем	2	4
79	так же	4	4
80	как это	3	4
81	этих случаях	2	4
82	предположить что	1	4
83	по существу	4	4
84	и все	2	4
85	или вообще	1	4
86	в таком	3	4
87	в году	1	3
88	в ее	1	3
89	только тогда	3	3
90	что ее	1	3
91	что это	5	3
92	все эти	6	3
93	в этой	3	3
94	что она	3	3
95	главным образом	1	3
96	чтобы на	1	3
97	и по	1	3
98	на этом	1	3
99	и других	1	3
100	не всегда	2	3
101	на первый	1	3
102	в этих	4	3
103	пишет что	1	3
104	в котором	3	3
105	в отличие	1	3
106	но он	1	3
107	и под	2	3
108	в таких	4	3
109	не имеет	2	3
110	и после	1	3
111	их по	1	3
112	такие же	1	3
113	как мы	1	3
114	должно было	1	3
115	во всех	1	3
116	а именно	2	3
117	того что	9	3
118	что здесь	1	3
119	как например	2	3
120	между тем	5	3
121	в качестве	7	3
122	или даже	1	3
123	отличие от	1	3
124	тем что	8	3
125	в природе	1	3
126	что для	1	3
127	до конца	2	3
128	в честь	1	3
129	и там	1	3
130	и от	1	3
131	было бы	15	3
132	но если	2	3
133	вряд ли	1	2
134	также что	1	2
135	прав когда	2	2
136	одним из	2	2
137	и то	3	2
138	на самом	2	2
139	переход от	4	2
140	в стороне	2	2
141	это и	4	2
142	так чтобы	1	2
143	что иное	1	2
144	на себя	3	2
145	которое в	2	2
146	это время	1	2
147	иное как	2	2
148	не был	1	2
149	с одной	1	2
150	очевидно что	3	2
151	тогда как	2	2
152	а через	1	2
153	с этим	4	2
154	все же	12	2
155	и как	2	2
156	не было	3	2
157	них как	1	2
158	та же	1	2
159	в которой	6	2
160	из этих	4	2
161	после чего	2	2
162	том чтобы	8	2
163	связанные с	1	2
164	об этом	1	2
165	полагает что	1	2
166	для них	2	2
167	по рукам	1	2
168	должно быть	3	2
169	и еще	2	2
170	в своей	2	2
171	в их	3	2
172	не столько	2	2
173	должны были	1	2
174	тем не	4	2
175	не менее	7	2
176	что с	2	2
177	в то	2	2
178	дело не	2	2
179	того как	4	2
180	когда они	1	2
181	никогда не	2	2
182	связи с	7	2
183	кроме того	1	2
184	что на	1	2
185	все то	1	2
186	когда мы	2	2
187	о происхождении	1	2
188	говорит о	1	2
189	должен быть	4	2
190	в виду	5	2
191	принимают форму	1	2
192	за пределами	1	2
193	можно было	6	2
194	не с	3	2
195	образом в	1	2
196	влияние на	1	2
197	после того	1	2
198	с другой	7	2
199	связь между	1	2
200	что и	4	2
201	в форме	1	2
202	также в	1	2
203	в г	3	2
204	в него	1	2
205	он есть	3	2
206	и е	1	2
207	один из	4	2
208	сразу же	1	2
209	совсем не	1	2
210	и дело	1	2
211	этот вопрос	1	2
212	есть в	4	2
213	рассматриваться как	1	2
214	на эту	2	2
215	одно из	2	2
216	моментов в	1	2
217	связано с	3	2
218	каждый из	1	2
219	сюда же	1	2
220	здесь в	1	2
221	а с	3	2
222	прежде всего	9	2
223	и пр	15	2
224	одной стороны	1	2
225	из наиболее	1	2
226	там где	4	2
227	научной литературе	1	2
228	совершенно не	1	2
229	в европе	1	2
230	многих случаях	1	2
231	могут быть	1	2
232	быть только	1	2
233	как средство	1	2
234	с этой	2	2
235	видно что	2	2
236	этом и	1	2
237	говорить что	1	2
238	пока еще	1	2
239	и для	2	2
240	жизни в	1	2
241	имеет целью	1	2
242	только как	1	2
243	и при	2	2
244	не что	1	2
245	в своих	1	2
246	ту же	1	1
247	отношение к	1	1
248	е как	4	1
249	того великого	1	1
250	показать что	1	1
251	в среду	1	1
252	и есть	2	1
253	из самых	1	1
254	отличия в	1	1
255	можно говорить	2	1
256	смысл этого	1	1
257	нас на	1	1
258	что эти	4	1
259	очень много	2	1
260	применении к	1	1
261	с основной	2	1
262	с таким	1	1
263	например в	5	1
264	следует обратить	1	1
265	жизни по	1	1
266	необходимо указать	1	1
267	что если	2	1
268	на место	1	1
269	представлением о	1	1
270	говорить о	1	1
271	их с	1	1
272	из того	1	1
273	один пример	2	1
274	мы и	1	1
275	то это	3	1
276	речь это	1	1
277	так называемые	3	1
278	в ней	6	1
279	и иначе	1	1
280	на нем	1	1
281	слова эти	1	1
282	что его	2	1
283	в различных	1	1
284	без особой	1	1
285	тем как	1	1
286	если в	2	1
287	большое значение	2	1
288	отличаются от	1	1
289	что они	4	1
290	к сожалению	1	1
291	относится к	2	1
292	отнюдь не	1	1
293	по обычаю	1	1
294	имеют целью	1	1
295	что именно	1	1
296	так называемая	2	1
297	не это	1	1
298	в своем	3	1
299	в противном	1	1
300	перед нами	1	1
301	и где	1	1
302	тех случаях	2	1
303	хотя и	3	1
304	когда он	3	1
305	по пути	1	1
306	какой смысл	2	1
307	более или	3	1
308	состояло в	1	1
309	увидим что	2	1
310	от этого	2	1
311	следует остановиться	1	1
312	в особую	1	1
313	в самом	10	1
314	уже в	3	1
315	что так	3	1
316	выражение в	1	1
317	однако как	1	1
318	тому же	1	1
319	как он	1	1
320	на то	4	1
321	но на	1	1
322	чтобы установить	1	1
323	и если	3	1
324	вообще не	1	1
325	не следует	1	1
326	в нем	4	1
327	так сказать	5	1
328	образом на	1	1
329	всех этих	1	1
330	в первую	4	1
331	он должен	1	1
332	не убита	1	1
333	необходимо для	1	1
334	применение в	1	1
335	только в	11	1
336	по аналогии	1	1
337	именно это	1	1
338	на этих	1	1
339	но все	2	1
340	от нее	1	1
341	а вместе	1	1
342	к г	2	1
343	что все	2	1
344	значение в	1	1
345	связанных с	1	1
346	на все	1	1
347	того или	4	1
348	те или	1	1
349	не хуже	1	1
350	они по	1	1
351	связанным с	1	1
352	чаще всего	1	1
353	не соответствует	1	1
354	должен стоять	1	1
355	нет в	1	1
356	их как	1	1
357	иных местах	1	1
358	для чего	1	1
359	в развитии	1	1
360	в научной	1	1
361	или менее	3	1
362	нужно чтобы	1	1
363	задачу но	1	1
364	которая имеет	1	1
365	в такой	1	1
366	это только	3	1
367	своего рода	1	1
368	возвращение к	1	1
369	только для	1	1
370	ряда других	1	1
371	п с	1	1
372	но они	1	1
373	так называемое	1	1
374	однако в	1	1
375	русские и	1	1
376	что этот	1	1
377	и таким	1	1
378	из одного	3	1
379	случае мы	1	1
380	человеку не	1	1
381	по образцу	1	1
382	стоит в	4	1
383	i в	1	1
384	можно понимать	1	1
385	как о	2	1
386	дело в	1	1
387	в науке	4	1
388	и притом	1	1
389	которая принадлежит	1	1
390	каждый день	1	1
391	что представление	1	1
392	о таких	1	1
393	это еще	1	1
394	есть уже	1	1
395	ничего не	2	1
396	учения о	1	1
397	с одним	1	1
398	сущность его	1	1
399	и его	5	1
400	так например	2	1
401	можно рассматривать	1	1
402	происхождению и	1	1
403	до того	2	1
404	как будто	1	1
405	этом отношении	5	1
406	не является	2	1
407	же до	2	1
408	и здесь	3	1
409	он называет	1	1
410	в духе	3	1
411	во все	2	1
412	чтобы сделать	1	1
413	как только	1	1
414	с полной	1	1
415	наоборот в	1	1
416	например на	1	1
417	как некое	1	1
418	оно не	3	1
419	на долю	3	1
420	ничего общего	1	1
421	в применении	1	1
422	иметь в	1	1
423	себе в	3	1
424	свою очередь	3	1
425	и сами	2	1
426	всем этим	1	1
427	здесь не	3	1
428	говорит и	1	1
429	без всякого	1	1
430	на основе	1	1
431	со слов	1	1
432	в особенности	3	1
433	в пределах	4	1
434	ряду с	1	1
435	идет речь	2	1
436	и когда	1	1
437	что у	1	1
438	так и	7	1
439	мог бы	1	1
440	можно только	1	1
441	к тем	1	1
442	том как	3	1
443	но у	1	1
444	без всякой	1	1
445	с этого	1	1
446	если бы	9	1
447	с ним	5	1
448	из других	1	1
449	находится в	1	1
450	сводится к	3	1
451	ему нужно	3	1
452	на этой	1	1
453	случае как	1	1
454	настоящее время	1	1
455	утверждает что	1	1
456	можно сказать	3	1
457	аналогии с	1	1
458	и во	1	1
459	нас в	1	1
460	состоит не	1	1
461	в его	12	1
462	не надо	1	1
463	все время	1	1
464	как правило	1	1
465	выбор и	1	1
466	если это	1	1
467	более что	1	1
468	применение теории	1	1
469	в литературе	1	1
470	которой и	1	1
471	но с	2	1
472	тот же	2	1
473	к свету	2	1
474	в основном	1	1
475	с ними	4	1
476	что он	6	1
477	мы увидим	3	1
478	в какой	6	1
479	и является	4	1
480	к их	1	1
481	и так	1	1
482	который в	1	1
483	указывает что	1	1
484	в эти	1	1
485	же и	2	1
486	можно установить	1	1
487	вопроса о	1	1
488	в большинстве	2	1
489	только на	1	1
490	значение и	2	1
491	здесь это	1	1
492	а это	3	1
493	е не	2	1
494	в данной	1	1
495	которые несут	2	1
496	был бы	2	1
497	обратить внимание	2	1
498	не так	1	1
499	для него	1	1
500	всяком случае	5	1
501	на глаза	1	1
502	могло бы	1	1
503	в одном	3	1
504	в конце	1	1
505	в состоянии	2	1
506	к ним	1	1
507	как его	1	1
508	не составляет	1	1
509	это слова	1	1
510	как раз	8	1
511	на некоторые	1	1
512	не просто	5	1
513	это по	2	1
514	случае с	1	1
515	может рассматриваться	1	1
516	рядом с	5	1
517	из своих	1	1
518	в это	2	1
519	когда пишет	1	1
520	нужно было	2	1
521	и даже	3	1
522	даже не	1	1
523	живой и	1	1
524	в н	1	1
525	и эту	1	1
526	по своим	2	1
527	сил при	1	1
528	в ряде	2	1
529	от другого	1	1
530	без особых	1	1
531	притом не	1	1
532	превращается в	2	1
533	не на	4	1
534	зависит от	1	1
535	понимать как	2	1
536	и своим	1	1
537	и поставил	1	1
538	если эти	1	1
539	него не	1	1
540	и следовательно	1	1
541	на которые	1	1
542	под влиянием	3	1
543	в одно	1	1
544	может иметь	2	1
545	это на	1	1
546	или другого	1	1
547	эти слова	1	1
548	в одной	1	1
549	и потому	4	1
550	в иных	2	1
551	к себе	4	1
552	в москве	2	1
553	одном ряду	1	1
554	от самих	1	1
555	по своему	1	1
556	в область	1	1
557	это делается	1	1
558	что за	1	1
559	существу не	1	1
560	на тот	1	1
561	смысле этого	3	1
562	был в	2	1
563	в тех	4	1
564	многих других	1	1
565	в современной	2	1
566	и более	2	1
567	этого слова	3	1
568	и не	12	1
569	этот не	1	1
570	но это	1	1
571	внимания на	1	1
572	что касается	2	1
573	и тогда	4	1
574	же значение	1	1
575	при всем	1	1
576	он видел	1	1
577	случаях когда	2	1
578	времени его	1	1
579	бы говорить	1	1
580	ли в	2	1
581	на улице	2	1
582	ее но	1	1
583	первую очередь	2	1
584	в настоящее	1	1
585	в двух	1	1
586	нас совершенно	1	1
