N	3gram	Propp_Isto_4	SlovoVZh
1	не может быть	4	7
2	можно сказать что	1	5
3	и не может	1	3
4	тем не менее	2	3
5	сколько бы мы	1	3
6	может быть и	1	3
7	до сих пор	5	3
8	бы мы ни	1	3
9	и то же	1	2
10	с другой стороны	4	2
11	то же самое	2	2
12	в зависимости от	1	2
13	с этой стороны	2	2
14	одно и то	1	2
15	в данном случае	3	2
16	но все же	4	1
17	то время как	1	1
18	это только одна	1	1
19	но то же	1	1
20	жизни и на	1	1
21	же как и	4	1
22	в то время	1	1
23	от того кто	1	1
24	но уже в	1	1
25	является то что	1	1
26	таким образом мы	1	1
27	свою связь с	1	1
28	таким образом к	1	1
29	но и в	1	1
30	берет на себя	1	1
31	о том что	2	1
32	ничего общего с	1	1
33	совершенно ясно что	1	1
34	другой ничего не	1	1
35	когда он не	1	1
36	подобно тому как	1	1
37	в основе своей	1	1
38	мы имеем в	2	1
39	можно найти в	1	1
40	только одна сторона	1	1
41	может быть только	1	1
42	на передний план	1	1
43	так же как	12	1
44	в виду не	1	1
45	как и в	1	1
46	мы увидим что	2	1
