N	3gram	Bakhtin_Pr_5	Sotsiolo
1	в том что	2	2
2	в конце концов	3	2
3	по отношению к	6	2
4	но только в	1	1
5	в каждом своем	1	1
6	в том и	1	1
7	а между тем	3	1
8	и в этом	2	1
9	по крайней мере	1	1
10	то что в	1	1
11	то же самое	1	1
12	о том как	1	1
13	сама по себе	1	1
14	благодаря тому что	1	1
15	друг от друга	1	1
16	в то же	10	1
17	это вовсе не	1	1
18	что все это	2	1
19	то же время	10	1
20	главным образом в	1	1
21	бы они ни	1	1
22	они ни были	1	1
23	и наконец в	2	1
24	и в то	2	1
25	бы он ни	1	1
26	во всяком случае	4	1
