N	2gram	Vygotskiy__2	Sotsiolo
1	все это	5	7
2	в этом	13	5
3	в том	37	5
4	для нас	2	3
5	более чем	1	3
6	не только	12	3
7	в его	2	3
8	и в	32	3
9	но ведь	1	3
10	не в	8	3
11	и только	2	3
12	только в	7	2
13	может быть	18	2
14	и что	22	2
15	в результате	1	2
16	это и	1	2
17	главным образом	3	2
18	то же	13	2
19	было бы	11	2
20	она может	1	2
21	далеко не	5	2
22	и заключается	3	2
23	и мы	6	2
24	ведь это	1	2
25	таким образом	21	2
26	но и	10	2
27	как будто	7	2
28	тем более	2	2
29	еще не	2	2
30	то что	21	2
31	конце концов	3	2
32	нужно было	1	2
33	за пределы	1	2
34	только как	3	2
35	заключается что	1	2
36	в частности	3	2
37	литературы и	1	2
38	к которому	2	2
39	им не	1	2
40	очевидно что	2	2
41	по существу	3	2
42	как только	2	2
43	в конце	3	2
44	что в	20	2
45	как бы	6	2
46	в смысле	3	2
47	том что	21	2
48	дело не	1	2
49	и не	10	1
50	факт мы	1	1
51	по достоинству	1	1
52	формальным методом	1	1
53	эти вопросы	1	1
54	в область	1	1
55	самому существу	1	1
56	кто не	1	1
57	и затем	1	1
58	этих вопросов	1	1
59	в этой	6	1
60	столь же	4	1
61	в процессе	2	1
62	в своей	3	1
63	бы в	1	1
64	произведение как	2	1
65	слишком много	2	1
66	по себе	12	1
67	все эти	7	1
68	только то	1	1
69	не один	1	1
70	представить себе	3	1
71	и его	7	1
72	не дает	1	1
73	а между	1	1
74	в целом	4	1
75	влияет на	1	1
76	с другой	3	1
77	их друг	1	1
78	в сущности	7	1
79	именно на	2	1
80	переходим к	1	1
81	связи с	1	1
82	и должно	1	1
83	от друга	1	1
84	быть не	1	1
85	крайней мере	1	1
86	что она	16	1
87	в них	2	1
88	в связи	1	1
89	что он	13	1
90	тем же	1	1
91	точке зрения	1	1
92	это происходит	2	1
93	происходит не	1	1
94	что все	9	1
95	не было	2	1
96	в каждом	2	1
97	никаких положительных	1	1
98	этот основной	1	1
99	в соответствующих	1	1
100	приводной ремень	1	1
101	образом в	3	1
102	когда мы	2	1
103	а с	2	1
104	ли не	1	1
105	конечном счете	3	1
106	но не	2	1
107	факта что	1	1
108	его утверждение	1	1
109	никак не	4	1
110	этой области	2	1
111	зависит от	2	1
112	различает два	1	1
113	и более	4	1
114	вовсе не	2	1
115	все же	4	1
116	что на	4	1
117	мы думаем	1	1
118	между тем	4	1
119	но как	3	1
120	а в	4	1
121	выходит за	1	1
122	это значит	3	1
123	в конечном	3	1
124	это не	2	1
125	в то	5	1
126	те же	6	1
127	придется не	1	1
128	мы должны	3	1
129	между ними	1	1
130	писателя не	1	1
131	конечно не	1	1
132	он по	1	1
133	и наконец	1	1
134	для этого	3	1
135	в чем	4	1
136	сплошь из	1	1
137	никогда не	9	1
138	в силу	1	1
139	и самые	1	1
140	во всяком	2	1
141	в противном	1	1
142	на тех	3	1
143	в котором	1	1
144	к вопросам	1	1
145	стоит только	2	1
146	больше того	2	1
147	тому что	4	1
148	в него	2	1
149	благодаря этому	1	1
150	отнюдь не	5	1
151	по крайней	1	1
152	иначе говоря	4	1
153	и о	1	1
154	в этих	2	1
155	том как	2	1
156	творчество в	1	1
157	как и	10	1
158	с помощью	1	1
159	правильно говорит	1	1
160	но именно	1	1
161	хотелось бы	1	1
162	психологии и	2	1
163	будто в	1	1
164	место в	2	1
165	ни на	3	1
166	на все	5	1
167	том и	2	1
168	один из	3	1
169	из себя	2	1
170	стало быть	1	1
171	поэта и	2	1
172	раньше всего	1	1
173	этого и	1	1
174	и как	7	1
175	же не	1	1
176	существу своему	3	1
177	его в	1	1
178	методы и	1	1
179	с одной	1	1
180	о том	6	1
181	на что	1	1
182	же по	1	1
183	одной стороны	1	1
184	и должны	1	1
185	же самое	6	1
186	связь между	1	1
187	хотя бы	3	1
188	по необходимости	1	1
189	в таких	1	1
190	время в	1	1
191	и по	4	1
192	ничего не	4	1
193	все то	1	1
194	формальный метод	1	1
195	что это	8	1
196	что таким	1	1
197	на основании	1	1
198	бы о	1	1
199	на этот	2	1
200	мы не	3	1
201	новые и	1	1
202	не может	17	1
203	же время	2	1
204	но только	4	1
205	даже не	1	1
206	прежде всего	1	1
207	они не	1	1
208	по самому	3	1
209	противном случае	1	1
210	из понимания	1	1
211	благодаря тому	1	1
212	изучения литературы	1	1
213	всяком случае	2	1
214	он говорит	5	1
215	друг от	1	1
216	тем что	9	1
217	полагает что	2	1
218	так и	3	1
219	в данном	4	1
220	в виде	1	1
221	именно в	1	1
222	что без	2	1
223	трудность и	1	1
224	только тогда	1	1
225	эти два	1	1
226	может служить	3	1
227	в области	1	1
