1	и т п	3	15
2	в том что	16	9
3	и т д	6	8
4	на то что	2	8
5	в том чтобы	1	7
6	в самом деле	2	7
7	о том что	11	7
8	во всяком случае	3	6
9	заключается в том	1	6
10	в зависимости от	1	5
11	для того чтобы	5	5
12	не в том	2	5
13	в то время	1	5
14	с другой стороны	3	5
15	так же как	3	4
16	том что она	1	3
17	до сих пор	5	3
18	в отличие от	2	3
19	что у него	1	3
20	в сущности говоря	1	3
21	точно так же	1	3
22	что в этом	1	3
23	в конце концов	1	3
24	не только не	2	3
25	в этом смысле	1	2
26	так и в	2	2
27	с точки зрения	2	2
28	по этому поводу	2	2
29	тем не менее	2	2
30	он не только	1	2
31	в этом отношении	9	2
32	более или менее	2	2
33	на самом деле	1	2
34	при помощи которого	1	2
35	и что следовательно	1	2
36	в одном из	3	2
37	вместе с тем	5	2
38	в настоящее время	1	2
39	отличие от других	1	1
40	здесь нет и	1	1
41	в том числе	1	1
42	то что он	2	1
43	и тем же	1	1
44	одни и те	1	1
45	и в особенности	1	1
46	в статье г	1	1
47	то что в	2	1
48	дело в том	4	1
49	совершенно непохож на	1	1
50	в прямом смысле	1	1
51	одному и тому	1	1
52	в известном смысле	1	1
53	с самого начала	3	1
54	той мере в	2	1
55	но я не	1	1
56	против того что	1	1
57	он не может	1	1
58	и другие произведения	1	1
59	ответ на вопрос	1	1
60	как своего рода	2	1
61	вот что писал	2	1
62	произведения но и	1	1
63	потому что оно	1	1
64	совершенно независимо от	1	1
65	одно и то	1	1
66	в связи с	1	1
67	совершенно так же	2	1
68	том что он	5	1
69	из этой аналогии	1	1
70	и в полном	2	1
71	и в этом	2	1
72	в каком он	1	1
73	друг к другу	1	1
74	по сравнению с	1	1
75	то что мне	1	1
76	имел в виду	1	1
77	не так легко	1	1
78	что почти все	1	1
79	возникает целый ряд	1	1
80	и как он	1	1
81	к выводу что	1	1
82	виде в каком	1	1
83	и тому же	1	1
84	к тому же	2	1
85	не то что	1	1
86	он никогда не	1	1
87	мере в какой	2	1
88	вместо того чтобы	1	1
89	и в результате	1	1
90	во внимание что	1	1
91	одном из писем	2	1
92	на вопрос о	1	1
93	а затем уже	1	1
94	принять во внимание	2	1
95	и в области	1	1
96	мысли об этом	1	1
97	в свою очередь	1	1
98	речь идет о	3	1
99	и в том	1	1
100	поскольку речь идет	1	1
101	вопрос о том	3	1
102	что и для	1	1
103	была бы выполнена	1	1
104	дело не в	1	1
105	в чем же	1	1
106	но вместе с	1	1
107	в этом вопросе	1	1
108	сами по себе	2	1
109	и вместе с	1	1
110	если принять во	2	1
111	на основании анализа	1	1
112	ни в каком	1	1
113	т п в	1	1
114	в это время	2	1
115	в приложении к	1	1
116	и те же	1	1
117	не до конца	2	1
118	является прямым следствием	1	1
119	в том же	2	1
120	речь идет не	1	1
121	и то же	1	1
122	же как в	1	1
123	потому что это	2	1
124	одним и тем	1	1
125	в той мере	2	1
