N	3gram	Bakhtin_Fr_6	StatiiOP
1	в том что	2	11
2	не может быть	1	5
3	с точки зрения	2	4
4	в этом отношении	3	4
5	с другой стороны	2	4
6	о том что	5	4
7	в то время	1	4
8	это связано с	1	3
9	в мировой литературе	1	3
10	в конце концов	1	3
11	в связи с	1	3
12	то же время	5	3
13	не только в	1	3
14	в то же	5	3
15	а потому что	1	2
16	в эту эпоху	1	2
17	но и в	2	2
18	до сих пор	3	2
19	в этой области	1	2
20	с одной стороны	4	2
21	такие выражения как	1	2
22	во всех этих	2	2
23	между тем как	1	2
24	заключается в том	1	2
25	но все же	1	2
26	к смертной казни	1	2
27	а с другой	1	2
28	в предисловии к	1	2
29	можно сказать что	1	1
30	несколько слов о	1	1
31	между этими тремя	1	1
32	более или менее	1	1
33	и так сказать	1	1
34	в самом деле	4	1
35	в одной из	1	1
36	что же касается	1	1
37	точку зрения на	1	1
38	мы находим и	1	1
39	том что он	1	1
40	именно то что	1	1
41	сам по себе	1	1
42	вместе с тем	1	1
43	является одним из	1	1
44	так как его	1	1
45	никогда не был	1	1
46	в лучшем случае	1	1
47	в значительной мере	1	1
48	говорит о том	1	1
49	как раз в	1	1
50	эта борьба с	1	1
51	и с его	2	1
52	этот образ был	1	1
53	в нос и	1	1
54	и что он	1	1
55	нос и в	1	1
56	в чем же	1	1
57	то что он	1	1
58	как и вообще	1	1
59	но каждый раз	1	1
60	это один из	1	1
61	прежде всего образ	1	1
62	в той или	1	1
63	было бы неправильно	1	1
64	до нас не	3	1
65	еще подчеркнуть что	1	1
66	же года в	1	1
67	до наших дней	1	1
68	что не имеет	1	1
69	таким образом в	2	1
70	но уже в	2	1
71	он говорит и	1	1
72	в одном из	1	1
73	кроме того из	1	1
74	той или иной	1	1
75	или иной мере	1	1
76	важно подчеркнуть что	1	1
77	в ней на	1	1
78	что все они	1	1
79	у него были	1	1
80	что из этого	1	1
81	к нему все	1	1
82	думать что все	1	1
83	для того чтобы	1	1
84	то есть с	1	1
